id,title,original_title,year,reason,n_candidates
30512,Terror Talk,Terror Talk,2012,runtime_residual_no_tt,0
83035,Waldile - Der Schlimme Killerhund,Waldile - Der Schlimme Killerhund,2008,runtime_residual_no_tt,0
171285,The Toy Box,The Toy Box,2014,runtime_residual_no_tt,0
240665,Tiang Seri,Tiang Seri,2013,runtime_residual_no_tt,0
276036,Short Cut Road,Short Cut Road,2003,runtime_residual_no_tt,0
282534,Shock,Shock,2010,runtime_residual_no_tt,0
287528,The Vampyre Wars,The Vampyre Wars,1996,runtime_residual_no_tt,0
294776,Til Death,Til Death,2006,runtime_residual_no_tt,0
295711,The Border,The Border,2015,runtime_residual_no_tt,0
305159,City of Lust,City of Lust,2014,runtime_residual_no_tt,0
320781,Bit Parts,Bit Parts,2007,runtime_residual_no_tt,0
346560,Legend of Dark Rider,Legend of Dark Rider,2016,runtime_residual_no_tt,0
374114,Ada Apa Dekat Bus Stop,Ada Apa Dekat Bus Stop,2015,runtime_residual_no_tt,0
407118,The Outer Limits: The New Series - Time Travel and Infinity,The Outer Limits: The New Series - Time Travel and Infinity,2002,runtime_residual_no_tt,0
421151,Midnight Bride,Midnight Bride,1990,runtime_residual_no_tt,0
441451,Massacre At Rocky Ridge,Massacre At Rocky Ridge,2002,runtime_residual_no_tt,0
471201,The World of Dracula,The World of Dracula,1979,runtime_residual_no_tt,0
478810,Psycho Space Demons,Psycho Space Demons,2003,runtime_residual_no_tt,0
478813,Blood Boy,Blood Boy,2014,runtime_residual_no_tt,0
478924,Photo Murders,Photo Murders,1996,runtime_residual_no_tt,0
478975,Dracula: Bloodline,Dracula: Bloodline,2015,runtime_residual_no_tt,0
479320,Trilogy of Death,Trilogy of Death,1991,runtime_residual_no_tt,0
479345,Sisters,Sisters,1988,runtime_residual_no_tt,0
482245,Born of the Devil,Born of the Devil,2001,runtime_residual_no_tt,0
504213,Halloween Lurking,Halloween Lurking,2009,runtime_residual_no_tt,0
508388,Rodentia,Rodentia,2022,runtime_residual_no_tt,0
512835,Reyes,Reyes,2021,runtime_residual_no_tt,0
530523,Love Is a Stranger Again,Love Is a Stranger Again,1998,runtime_residual_no_tt,0
533294,Miss Werewolf,Miss Werewolf,2001,runtime_residual_no_tt,0
534656,Vampirisa's Velvet Vault Of Horror!,Vampirisa's Velvet Vault Of Horror!,2001,runtime_residual_no_tt,0
537200,Dream Man: Lời Kết Bạn Chết Chóc,Dream Man: Lời Kết Bạn Chết Chóc,2018,runtime_residual_no_tt,0
543733,1 B-TV,1 B-TV,2018,runtime_residual_no_tt,0
557513,Bus to Dublin,Bus to Dublin,2018,runtime_residual_no_tt,0
565522,The Sadist,The Sadist,2014,runtime_residual_no_tt,0
578280,Maleorvs,Maleorvs,1990,runtime_residual_no_tt,0
596709,The Hourglass,The Hourglass,2020,runtime_residual_no_tt,0
596725,Oldtowne,Oldtowne,2019,runtime_residual_no_tt,0
602332,the coming of baphomet,the coming of baphomet,2019,runtime_residual_no_tt,0
602889,Between Night And Dawn,Between Night And Dawn,2024,runtime_residual_no_tt,0
604654,Uncertain Doom,Uncertain Doom,2020,runtime_residual_no_tt,0
617778,Night Out,Night Out,2019,runtime_residual_no_tt,0
617868,Jericho Bridge,Jericho Bridge,2019,runtime_residual_no_tt,0
676613,The Great American Novel,The Great American Novel,2020,runtime_residual_no_tt,0
677108,Seeing Double,Seeing Double,2020,runtime_residual_no_tt,0
680379,CLAPTRAP,CLAPTRAP,2020,runtime_residual_no_tt,0
682994,Gift from the Abyss,Gift from the Abyss,2018,runtime_residual_no_tt,0
690122,Beauty Is in the Details,Beauty Is in the Details,2018,runtime_residual_no_tt,0
690124,Just the Tip,Just the Tip,2018,runtime_residual_no_tt,0
690127,Last Number Dialled,Last Number Dialled,2018,runtime_residual_no_tt,0
690128,Emoticon,Emoticon,2018,runtime_residual_no_tt,0
690131,The Deli-Very,The Deli-Very,2018,runtime_residual_no_tt,0
690135,The Crows of Culver,The Crows of Culver,2018,runtime_residual_no_tt,0
690136,Psycho Messenger,Psycho Messenger,2018,runtime_residual_no_tt,0
690137,CPR,CPR,2018,runtime_residual_no_tt,0
690138,Broken Heart,Broken Heart,2018,runtime_residual_no_tt,0
703882,Il Volto della Follia,Il Volto della Follia,2018,runtime_residual_no_tt,0
706565,Ripper,Ripper,1996,runtime_residual_no_tt,0
713504,Blind Date,Blind Date,2020,runtime_residual_no_tt,0
726124,Bestiarii,Bestiarii,2019,runtime_residual_no_tt,0
736308,Alien: Covenant - Prologue: The Secrets of David’s Lab,Alien: Covenant - Prologue: The Secrets of David’s Lab,2017,runtime_residual_no_tt,0
738110,There's a Ghost in the House,There's a Ghost in the House,2020,runtime_residual_no_tt,0
745047,Static Tears,Static Tears,2020,runtime_residual_no_tt,0
749173,TWD World Beyond: The Journey So Far,TWD World Beyond: The Journey So Far,2020,runtime_residual_no_tt,0
752144,Mr. Ticklez,Mr. Ticklez,2019,runtime_residual_no_tt,0
752148,Scary Stories to Tell by the Campfire: The Green Ribbon,Scary Stories to Tell by the Campfire: The Green Ribbon,2021,runtime_residual_no_tt,0
752281,SCOURGE OF IRON,SCOURGE OF IRON,2014,runtime_residual_no_tt,0
759665,Hunters,Hunters,2020,runtime_residual_no_tt,0
760272,"A Boat, Beneath A Moonlit Sky","A Boat, Beneath A Moonlit Sky",2020,runtime_residual_no_tt,0
760608,In The Wild,In The Wild,2015,runtime_residual_no_tt,0
764814,Lumberjacked,Lumberjacked,2020,runtime_residual_no_tt,0
768632,To Be Devoured,To Be Devoured,2020,runtime_residual_no_tt,0
774118,EverymanHYBRID,EverymanHYBRID,2010,runtime_residual_no_tt,0
776094,Kababalaghan,Kababalaghan,2017,runtime_residual_no_tt,0
783340,Quarantine Comic,Quarantine Comic,2021,runtime_residual_no_tt,0
792251,Turn Your Bloody Phone Off,Turn Your Bloody Phone Off,2012,runtime_residual_no_tt,0
796945,Seasons,Seasons,2021,runtime_residual_no_tt,0
