sample n=100 from /Users/juanpabloduque/Documents/what-fear-looks-like/pipeline/data/qa/ocr_pilot_v2/sample_ids.txt
models: ['nova-lite']
loaded 1000 prior rows from /Users/juanpabloduque/Documents/what-fear-looks-like/pipeline/data/qa/ocr_pilot_v2/results.csv
  [91/100] id=1346645 status=ok chars=4 overlap=1.0 0.789s
  [92/100] id=1351896 status=ok chars=194 overlap=1.0 0.899s
  [93/100] id=1363776 status=ok chars=9 overlap=1.0 0.749s
  [94/100] id=1379480 status=ok chars=17 overlap=1.0 0.6s
  [95/100] id=1405670 status=ok chars=32 overlap=0.0 0.603s
  [96/100] id=1463113 status=ok chars=4 overlap=1.0 0.593s
  [97/100] id=1483020 status=ok chars=33 overlap=1.0 0.757s
  [98/100] id=1483743 status=ok chars=6145 overlap=0.6667 14.013s
  [99/100] id=1541944 status=ok chars=13 overlap=1.0 0.676s
  [100/100] id=1578643 status=ok chars=34 overlap=0.0 0.76s
  nova-lite: 100/100 ok

LISTO → /Users/juanpabloduque/Documents/what-fear-looks-like/pipeline/data/qa/ocr_pilot_v2/results.csv (1100 rows)
