id,full_ocr,n_lines,n_words,mean_conf,latency_s,error
3763,ONIBABA,1,1,0.9682,0.938,
4241,visitor,1,1,0.9327,0.743,
4325,"Parapsycho
SPEKTRUM DERANGST
William Berger
Marisa Mell
Mathieu Carrière
DVD
CTIV
VIDEO
LASERVISION",9,13,0.8295,1.079,
4443,"""ABSURDLY EXTRAVAGANT FUN!""
Shadowman
GERT GOLDFINGER) FROEBE . JOSEPHINE CHAPLIN : GAYLE HUNNICUTT
Directed by GEORGES FRANJU A TERRA FILM - In EASTMANCOLOR
I E I
From NEW LINE CINEMA",6,30,0.8621,1.448,
4494,"- ""AN ABSOLUTE
""A - VAMPIRE STORY
MODERN CLASSIC."" +
WITHOUT VAMPIRES
PEDIO ALMODOVAR
A MASTERPIECE.""
SCREEN SLATE
REUBATO NOOZ
ENDLED
LENS
""RAPTURE""
APRILABY
IVANZULUETA
- MERO and 2011 ER NID
assess",15,32,0.636,1.708,
4552,"ATALE OF
TWO SISTERS",2,3,0.8962,1.581,
4567,"THE
FEMALES",2,2,0.9661,0.875,
4627,"Alles auf dieser Welt
hat seinen Preis.
4
(in Films von
THE
MARCO KREUZPAINTNER
KRABAT
David
Daniel
Christian
Robert
Paula
KROSS
BRUHL
REDL
STADLOBER
KALENBERG",17,25,0.8825,1.748,
5067,"the burning court
A HAUNTING THRILLER WITH A ""DIABOLIQUE"" TWIST
Starring NADJA TILLER - JEAN CLAUDE BRIALY
A TRANS-LUX RELEASE",4,20,0.9517,0.766,
5336,"X NN NN NN
NII
NN NN
NN
NN THI N NN
SALÒ
X NII NN NN
OR THE 120 DAYS OF SODOM
Z
NN
NN
NNI
NN NN NN NII",13,31,0.7516,0.784,
5421,"with GEORGE EASTMAN
ANNIE BELLE - CHARLES BORRONEL
WARNING X RATED
and IAN DANBY
The - - - - . - .
Running time:
story and screenplay by JOHN CART
96 minutes opoΓox. Colour
directed by PETER NEWTON",9,38,0.905,2.709,
5424,ANTHROPOPHAGOUS,1,1,0.6991,1.366,
5425,"BEYOND TH
D",2,3,0.8708,3.402,
5434,"Death
Smiles
on
a
MURDERER
A FILM BY
JOE D'AMATO",7,10,0.9905,3.923,
5481,"NOOHS
O",2,2,0.3085,1.762,
5483,AND THE,1,2,0.7815,1.592,
5485,,0,0,,2.067,
5486,"BAY OOT
BAY
OF",3,4,0.7637,2.049,
5620,"COUNT
Dracula",2,2,0.8442,1.779,
5842,"E
A S {
R
S
U
M",6,8,0.6829,3.385,
5844,"THE
****
-- 9)23 MR MR% RBS NEIVE 80% B***
n
T
ALIVE
-",7,14,0.4274,0.856,
5845,"ARAGAMI
578
E",3,3,0.4719,0.798,
5846,"SKYHIGH
A FILM BY RYUNEI KITAMURA",2,6,0.9391,1.561,
6222,"SUSANNA SIMON
STEFAN JÜRGENS
DIE
KRÄHEN",4,6,0.8819,1.277,
6312,Botherlood of the Wolf,1,4,0.699,1.949,
6404,"osferatu
VAMPYRE
⑉",3,3,0.6321,0.976,
6498,"WATCH
NIGHT",2,2,0.9742,0.823,
6537,"THE
RPHA NAGE",2,3,0.9671,0.576,
6591,WHAT HAVEYOU DONE TO SOLANGE,1,5,0.9848,0.759,
7092,"VAN HELSING
THE LONDON ASSIGNMENT",2,3,0.7902,1.142,
7216,"ZOMBIE
HOLOCAUST",2,2,0.9996,0.942,
7219,AMPIE,1,1,0.246,0.647,
7513,CHOSIN®,1,1,0.677,1.212,
8329,"[
REC]
EXPERIENCE FEAR",3,4,0.9717,1.908,
8332,"ANTIBODIES
4",2,2,0.3372,1.826,
8689,"OCAUST
United W",2,3,0.5829,1.77,
8690,"ALIVE!
EATEN",2,2,0.9448,1.717,
8691,"INNIBAL
CONY",2,2,0.6634,1.625,
8692,"10
APOCA
CANN",3,3,0.4587,0.623,
8983,R,1,1,0.518,0.594,
9060,DUMPLINGS,1,1,0.9892,1.346,
9299,E | S TESIS,1,4,0.89,2.336,
9412,"TOUCHSTONE
HOME VIDEO
Das Böse schläft nie.
Sieben
monde
41
Jan Josef Liefers, Marie Baumer",7,15,0.8846,1.178,
9439,"THE
NAMELESS",2,2,0.9972,0.733,
9463,"SEAL
VAMPIRE HUNTER
3",3,3,0.6108,1.351,
9539,MARTYRS,1,1,0.9984,1.635,
9666,"""
JU-ON THE GRUDGE 2",2,5,0.8261,1.692,
9669,RING,1,1,0.5656,1.178,
9674,RINO,1,1,0.2443,1.738,
9677,"Staplerfahrer Klaus
A
DER ERSTE ARBEITSTAG
T",4,7,0.7669,2.065,
9694,"ONE
MTSSED",2,2,0.795,1.019,
9696,"CHI=KILLER
THE",2,2,0.8085,0.86,
9706,RING,1,1,0.9977,1.282,
9938,RAPTOR,1,1,0.9996,1.151,
9984,,0,0,,0.734,
10086,"MAN BITESDOG
IT HAPPENED IN YOUR NEIGHBORHOOD",2,7,0.9411,1.73,
10100,"HARK
ATTACK IN THE MEDITERRAN
-",3,6,0.8493,1.729,
10175,"matHieu CARRIERE
CORA CHILCOTT PeteR martell
TEARS OE KALI
UNRATED DIRECTOR'S CUT
evil Has
OUND its
way out",7,18,0.7989,1.774,
10226,"HIGH TENSION
W",2,3,0.6621,0.791,
10234,UNN,1,1,0.5141,0.995,
10253,"WAR
JRAGUI",2,2,0.3885,1.22,
10255,AB-NORMAL BEAUTY,1,2,0.9795,0.766,
10370,"REMUTOS
FALLEN
ANGEL",3,3,0.9676,1.98,
10389,THEREYE,1,1,0.595,1.367,
10444,"Ein neuer Grusel-Krimi der harten"" Welle .
spannend bis zur letzten Sekunde
Das Testament
des Dr. Mabuse
mit Gert Frobe-Senta Berger-Helmut Schmid
Charles Regnier . Walter Rilla-Harald Juhnke
Leon Askin und Wolfgang Preiss
Regis: Werner Klingler
Leboles
E
and
L
State
uses
Part
-
A-05
Tab
the
Ein CCC-Film . Verleib:
Constantin
Film",22,52,0.6686,2.339,
10492,FLASHBACK,1,1,1.0,1.339,
10542,"CONDO
AZZ
m",3,3,0.3636,1.167,
10593,"hantom
the per
to",3,4,0.8007,2.102,
10664,,0,0,,1.728,
10722,"THE
DAY OF
THE
BEAST",4,5,0.7742,1.228,
10776,,0,0,,1.406,
10832,THEM,1,1,0.9977,2.628,
10842,"STRANGE
CIRCUS
-
ONE",4,4,0.5202,1.273,
10980,NEW SOUND OF TERROR,1,4,0.9762,1.306,
11075,"""
AUDITION",2,2,0.5925,2.553,
11226,"STRIP NUDE
FOR YOUR
KILLER",3,5,0.8543,3.187,
11303,"DEEP IN THE
WOODS",2,4,0.9962,0.92,
11366,THE,1,1,0.3675,2.083,
11417,THE LIFT,1,2,0.9738,0.827,
11482,"TENANT
THE
7",3,3,0.7801,2.066,
11594,"THE
HUNCHBACK
OF
NOTRE DAME",4,5,0.9999,1.987,
11655,"CRONOS
THE",2,2,0.7322,1.86,
11662,,0,0,,1.651,
11669,UN FILM DE FRANCIS LEROI,1,5,0.9925,1.224,
11717,"Overrumplende spandingsfilm
efter FRITS REMAR's bestseller.
En Lekkerbidsken for nervesystemed
DET
PARALLELLE
LIG
BUSTER LARSEN
JORGEN KIIL
AGNETA EKMANNER
MASSA DESSAU JOHN HARN-PITERSEN . POLL BUNDGAARD - IN BROBERG - NEIS . GYRD LOTQUIST
. MOSSIN . RUNN PUGGAARD-MULLER - VALNE NOLM . KIELD NENGAARD . ANNE WERNER I THOMSEN
PETER STEEN . SOREN SPANNING PETER RONSO . AN ZANGENBERG - HUCO HERRESTEUP WILLY RATHNOV
HENNING KRISTIANSEN - - SVEN WICKMANN GRETE MOLDRUP - HANS-ERIK PHILIP
MOREN MELSON of HANS-ERIX PHILIP",14,80,0.702,11.409,
11786,"S
25
246
DRACULA
G
AND SON",6,7,0.4455,2.268,
11822,,0,0,,2.089,
11838,"no UP
JU-ON THE GRUDGE",2,5,0.7025,9.574,
11906,"spiric
-",2,2,0.2006,1.186,
11927,ANHUNT,1,1,0.4913,1.874,
12128,"NIGHT OF THE
""I CAN'T
RECOMMEND
LIVING
THIS FILM
ENOUGH
IT REALLY IS
DORKS
THAT COOL!""
Quint
AIN'T If COOL NEWS
Being A Loser Was Never This Cool",12,28,0.9868,9.436,
12135,"S
left bank
19tf pank",3,5,0.6256,2.006,
12176,"THE CORRUPTION
OF CHRIS MILLER",2,5,0.9939,2.922,
12205,"Dark
Water",2,2,0.9886,5.683,
12272,"BERNARD BUER
KLAUS KINSKI
MARIE DUBOIS
JEAN-LUC BIDEAU
.
CHARLES VANEL
NUIT D'OR
ANNY DUPEREY
FRANÇOISE VERNY - SERGE MOATI
MAURICE RONET
SERGE MOATI
NEAU
DUSSART",13,25,0.8808,11.042,
12416,"THE
SUBSTITUTE",2,2,0.9995,11.919,
12487,Я,1,1,0.296,2.633,
12517,,0,0,,2.629,
12550,"TURN OF THE
EVIL",2,4,0.9311,8.492,
12561,DZULA,1,1,0.4138,12.046,
12587,ARACHNID,1,1,0.9996,7.759,
12601,"GARD EN
of LOVE",2,4,0.982,7.778,
12602,"Corture Chamber
DR. SADISM",2,4,0.9804,9.364,
12677,"THE
BACKWOODS",2,2,0.998,7.657,
12720,LU,1,1,0.5586,6.892,
12903,"SCOOBY-DOO!
AND THE
GOBLIN KING
Original Movie
FA",5,8,0.8658,5.873,
13013,"Son of
Dracula
BITE IT!
BITE IT!
BITE IT!
a",6,9,0.8653,5.882,
13190,STATE S,1,2,0.2066,9.206,
13204,"ANIMATE
LOOD & IR
K",3,5,0.7615,3.18,
13309,"""THIS IS A GODIAMN FON MOVIE!""
""EINE ABSOLUTE EMPFERLONG!!""
DREATCENTRAL.COM
a
INTEREST
AUF BOSEM
BODEN
ON EVIL GROUNDS
11 FILM 111 PETER COLLER
()
(=) (#)
SPECIAL 2 BISC EDITION
DVD
VIDEO",14,32,0.6718,3.772,
13310,"LET
THE RIGHT
ONE IN",3,5,0.9991,2.603,
13312,INSIDE,1,1,0.9976,3.386,
13319,"CREATURES OF THE NIGHT
WITHOUT CURFEW",2,6,0.9993,3.246,
13402,"A
RECYCLE",2,2,0.5369,2.126,
13436,"DEATH
GAME
.₹",3,3,0.5863,2.884,
13492,"FRONTIER
(S
A FILM BY XAVIER GENS",3,7,0.9366,2.876,
13648,"resident evil
DEGENERATION",2,3,0.9839,2.765,
13742,,0,0,,2.607,
13828,,0,0,,3.032,
13964,"THE MACHINE
GIR",2,3,0.7349,1.584,
14021,ONE MISSED CALL 2,1,4,0.9971,2.058,
14029,DEMONS,1,1,0.9452,0.915,
14145,DARKFLOORS,1,1,0.7538,0.835,
14217,REINCARNATION,1,1,0.9992,0.96,
14235,EDEN LOG,1,1,0.7318,1.28,
14353,"EPO!
THE OPERA GENETIC",2,4,0.8294,0.639,
14409,"""AN AIRPLANE STYLE SPOOF
THAT CANNOT FAIL TO ENTERTAIN...""
QUISTEARTH
VAMPIRE
PARTY
THIS PARTY IS GOING TO SUCK.",6,18,0.9154,1.686,
14451,"A
DEAD SNOW",2,3,0.7125,1.07,
15021,"THE
BABY'S ROOM",2,3,0.9982,0.7,
15203,"C
По
witely
CRO
A",5,5,0.2703,1.602,
15206,TEARS,1,1,0.3072,1.039,
15440,OLD PREY,1,2,0.964,1.447,
15483,RD DIAVER,1,2,0.3691,1.854,
15724,"HIG
OR
K
has
SPOOKY
ENGOUNTERS",6,6,0.4699,1.029,
15736,"der
TodesKin",2,2,0.7532,2.204,
15742,TAXIDERMIA,1,1,0.9903,2.063,
15826,BAG DET STILLE YDRE,1,4,0.8993,2.69,
15831,"SONJA
ANDERS W.
RICHTER
LARS
BERTHELSEN
MIKKELSEN
CECILIE",7,8,0.9983,1.453,
15843,"ECHO
A FILM BY
ANDERS MORGENTHALER
VIM
BODNTA",5,8,0.8322,2.075,
15978,"DREAM PRODUCTION PRESENTS
The
Eyes
that saw the
Dead
and
Death
URMILA MATONDKAR
is
NAINA
. FRM BY BY SHRIPAL MORAKHIA
- SPE - - -
Amt",13,26,0.8488,1.075,
15979,PHOONK,1,1,0.9809,1.96,
15980,"RAAZ
shud
THE MYSTERY
CONTINUES",4,5,0.8347,1.082,
15999,"VAMPIRE
HUNTER D
BLOODLUST
Yr",4,5,0.816,1.262,
16008,"THE MAKERS OF 30 DAYS OF NIGHT
AND THE GRUDGE PRESENT
ROOM
205
UNDERGRO
GHOST HOUSE
""A FAST-PACED
SUPERNATURAL
TEEN SLASHER""",9,21,0.9455,1.385,
16009,"offscreen
i film og kærlighed gælder alle kneb:",2,8,0.958,1.686,
16032,"MIDSOMMER
WID?OWWEN",2,2,0.5792,1.216,
16061,"TOKYO
GLAE
POLICE",3,3,0.7378,3.522,
16079,"BR
OD",2,2,0.1516,2.419,
16092,"HOW CAN YOU SAVE THE ALREADY DEAD?
THE APPEARED",2,9,0.9998,0.675,
16137,"FEAR(S)
OFTHEDARK",2,2,0.6418,0.89,
16138,"DPO
PO",2,2,0.5679,2.218,
16166,"by N ANNILA
SAUNA",2,4,0.7377,2.107,
16184,"Oao
HAPPING",2,2,0.3362,1.764,
16221,"DORORO
THE QUEST OF A SAMURAI WARRIOR",2,7,0.9957,1.448,
16226,"adyDear
MATIO",2,2,0.4287,1.355,
16231,"A
K
CO
O
and
SV
We",7,7,0.1645,1.228,
16313,"COMING
SOON",2,2,0.94,1.813,
16371,tell me something,1,3,0.9865,0.888,
16395,"8
Inferno",2,2,0.8039,0.889,
16440,"L
FREIGHTER
of the tales BLACK",3,5,0.8951,2.06,
16774,"HELLBOY
ANIMATEI
SWORD of STORN",3,5,0.8468,1.239,
16785,,0,0,,1.037,
16882,"I HAVE TO END THIS MYSELF.
THE
CHARD TOOP",3,9,0.8015,0.764,
16925,"8
У",2,2,0.3338,1.899,
17111,6,1,1,0.4202,1.566,
17173,"HIRVE ..... THE
SSA IVNMALI (INY
unas THE ANY ****
""SNYROH HILK 013R
WHEN MONSIERS
KIBAKICHI
RYUJI HARADA MIKI TANAKA MUBU NAKAYAMA",7,22,0.6216,4.176,
17214,,0,0,,3.722,
17278,"It's The
Silliest Party of the Year
and
you're
all
invited!
set FRANKENSTIES
BRACILA
I
TXE CREATURE
WEREWOLF
:
= THE MUNNY
set THE NUNCESSION
#
NOTICE
I
at X INSURED
A Rankin Bass Production
BORIS KARLOFF
MaD
MONSTER
SAT-SUN
I
PARTY
Only
and ate items be - al
- - - I Ethel Ennis-Sale Sanet
-
PHYLLIS DILLER
-
,",32,61,0.6462,7.525,
17343,"vampyros
Cesbos",2,2,0.6512,1.794,
17408,,0,0,,1.915,
17457,INS EFFEC,1,1,0.6853,0.814,
17778,"in
HE JUST WANTED ICE CREAM.
ALL THEY FOUND WAS A 8A0 DREAM
Sera",4,14,0.6998,1.378,
17886,MUTANTS,1,1,0.9984,3.72,
17921,PLANETOF,1,1,0.7655,1.046,
17991,"712
ODY HAMMER
/",3,4,0.7258,1.018,
18178,"From the director of BEFORE THE RAIN
A film by MILCHO MANCHEVSKI
SHADOWS
Sometimes the dead
speak louder
than the living",6,21,0.9674,5.203,
18289,"GODZILLA
VERSUS BIOLLANTE",2,3,0.9307,0.776,
18333,,0,0,,4.642,
18334,"GUINEA
PIG
AM",3,3,0.6968,0.811,
18352,"THE
DD
CREMATOR",3,3,0.7014,4.254,
18754,"WE
** R# Timer
as
BLAND
M REST
Ali ля-1
E
THE
------------------------- МЕРКИМ - was 100 18 FRANOR
- ""AS
7.7 ****
-",12,24,0.2896,6.102,
18897,"NETE
RETOURNE
PASSNE
PAS",4,4,0.7015,0.579,
18912,ANGST,1,1,0.9951,4.176,
18939,Little Otik,1,2,0.8791,4.106,
19025,4L,1,1,0.1525,4.087,
19034,"THE KIMSTIM COLLECTION
""ONE OF CINEMAS MOST VISIONARY SURREALISTS!""
NY.Times
THE COLLECTED SHORTS OF
JAN SVANKMAJER",5,16,0.9221,3.951,
19095,"IRGIN AMONG
LIVING DEAD",2,4,0.872,4.848,
19204,"AND ALL CHEREIN CHAC MAY BE EXPLORED 2
AND you WILL FACE CHESEA OF DARKNESS
Die Der Combins, Code Dese CANA Au Deta, Fire-
BEYOND
A Film By LUCIO FULCI
MATURA AMEXICANE - LAZAR
Special
I
PRODUCTS
I",10,38,0.6457,2.833,
19742,D,1,1,0.1722,2.722,
19950,"13B
FEAR HAS A NEW ADDRESS",2,6,0.9748,3.519,
19951,1920,1,1,0.9628,3.721,
19963,BERNIE,1,1,0.9997,2.631,
20015,M,1,1,0.2843,6.52,
20019,"AVEZ-VOUS LE SENS
DU SACRÍFICE?
BROCELIAND
UN FILM DE DOUG HEADLINE
DVD",5,12,0.9195,2.761,
20044,"HARD
REVENGE
MILLY
REVENGE NEVER
LOOKED THAT
BEAUTIFUL
MK MZUNO
NAO NAGASAWA
KAZUKI TSUUMOTO
RAY FULITA
MASAHIRO KOUMOTO
MITSUKI KOGA
WRITEN AND DIRECTED IT
SAKANORI TSUUMOTO
EXECUTIVE PRODUCER BY
FULM
PRODUCED If
UN ALBO
ORGINAL MSC If
MKARU FUSHCA
CHEMIOGRAPHY BY
HAME ENCA
TAKANORI TSUMOTO
ACTION DIRECTOR If
KENSUKE SONDMURA
SPECIAL CORE EFFECTS ARTST BY
YOSHIHRO NISHIMURA",27,57,0.6775,7.628,
20089,"Twitight the
Dark Master",2,4,0.9599,4.912,
20115,"ODED
And",2,2,0.3114,5.026,
20126,"DEEP RED
?
I
:",4,4,0.6401,4.893,
20130,VALL,1,1,0.3885,4.87,
20345,"THE
BIRD
WITH THE
CRYSTAL
PLUMAGE",5,6,0.9994,4.866,
20507,"UTV
UTV MOTION PICTURES PRESENTS A DREAMFORCE PRODUCTION
-
if you could hear it, you could run.
if you could see it, you could hide
if it had a body, you could kill.
A RAM GOPAL VARMA FILM
AGYAAT
SOMETIMES TERROR HAS FORM
PRODUCED "" RONNIE SCREWVALA MD RAM GOPAL FARMA
1600 our
www.agyaal-theuniknown.com
3APTA",13,55,0.8562,6.598,
21156,"G
STATE",2,2,0.5807,4.945,
21198,HOUSE OF VOICES,1,3,0.9997,4.724,
21266,"INVINCIBLE
INDESTRUCTIBLE!
WHAT WAS THIS BEAST
BORN FIFTY MILLION
YEARS OUT OF TIME?
REPTILICUS AMERICAN INTERNATIONAL presents",6,17,0.9956,3.733,
21325,Zin graster -Yang,1,3,0.3732,5.632,
21380,"THEY EAT THE LIVING
NIGHT
OF THE
ZOMBIES",4,8,0.9996,4.834,
21453,"MMM
Vicked Cit",2,3,0.6108,4.87,
21484,"ISABELLE ADJANI SAM NEILL
POSSESSION
ANDRZEJ ZULAWSKI
BASHI
HEINZ BENNENT - CARLO RAMBALDI
NONUTITES",6,14,0.8256,4.768,
21506,LA,1,1,0.2921,4.715,
21513,MO ON CHILD,1,3,0.9191,1.849,
21588,"NAME
TREY W",2,3,0.2726,2.249,
21766,"Every dorm has a tale
But this tale
You will never forget
DORM",4,13,0.9622,2.137,
21781,ID DER FOREST,1,3,0.6807,1.89,
21784,exte,1,1,0.7195,2.819,
21785,"EVERY LITTLE PIECE WILL RETURN...
25",2,6,0.9281,2.093,
21786,"1
forsvunget
COLD PREV",3,4,0.5516,2.061,
21789,"LUCIO FULCI
PRESENTA
the Masque of Killer)
ASSACRE
UN FILM DI ANDREA BIANCHI",5,13,0.9418,3.854,
21792,"GHOST
THE",2,2,0.999,1.76,
21795,"SOME MEMORIES NEVERDIE
VOICES",2,2,0.7083,1.588,
21797,,0,0,,1.05,
21930,"CANAL
GAMERA
THE GIANT MONSTER",3,5,0.7479,1.408,
22130,"OMBIELA
LA",2,2,0.6427,1.388,
22137,"THE
KINGDOM oM
LARS VON TRIER",3,6,0.907,1.081,
22140,The Kinadom,1,2,0.9659,1.0,
22194,"PAR LE PRODE OCTEUR CHARLES BAND
(PUPPET MASTERTHE LEGACY)
LES DEMONS SONT DE RETOUR
ET ILS VONT TOUT DETRUIRE !
DVD",5,21,0.9058,1.06,
22422,"THE
COFFIN
as
AAAAM
MAAAA",5,5,0.5188,1.708,
22470,sleepwalker,1,1,0.9542,1.972,
22536,THIRST,1,1,0.5367,0.923,
22577,"The
SUI OIDE
SONG
A Masato I larada Film",4,9,0.9635,1.437,
22758,"BLOODY PiT
1: OF HORROR
©",3,6,0.8413,1.688,
22899,,0,0,,1.534,
23127,"THE HAUNTED WORLD OF
EL SUPERBEASTO
TTM PAPA
S
SHERI MOON COMBIE
ROSARIO DAWSON
PAUL CIAMATTI
TRAN POSERN",8,18,0.752,1.768,
23508,"COFFIN JOE
EMBODIMENT EVIL",2,3,0.6517,1.746,
23530,"A
PARTY
TO DIE
FOR
INVITATION
ONL
""HORROR FANS WILL
WALK AWAY HAPPY""TWITER",8,12,0.8934,0.976,
23688,FACE,1,1,1.0,1.331,
23793,"uf
agrigui
sago from as
a the 3000
a are said age
at stog ag
50
-
timber
-
dosago
surfix
Aaan I subside I I I .",13,28,0.4398,0.986,
23936,"Vampir
h
Subtitle",3,3,0.9458,1.322,
24092,2LDK,1,1,0.9437,1.401,
24103,"S
CANADA",2,2,0.4921,1.735,
24417,"From The Team behind Ju-On (The Grudge)
Les
Open the door to
the ultimate terror...
PARTMENT
1303
15",7,17,0.9095,1.736,
24674,"EYE2
THE",2,2,0.3372,1.816,
24745,"ANGELA LANSBURY GEORGE HEARN
Sweeney Todd
THE Demon
OF FLeeT STReeT",4,10,0.8803,2.419,
24821,"SKJULT
W
IN",3,3,0.5386,2.763,
24829,"Evil has
a new
enemy.",3,5,0.9949,2.508,
24916,BIOZOMBIE,1,1,0.9593,1.627,
