id,text_x,text_top,text_w,text_h,ocr,score
27785,0.404,0.0092,0.596,0.2851,Misty Mundae Sinful,1.0189
27796,0.0,0.4115,0.9918,0.1261,STRIPPED TO KILL,0.2083
27798,0.0,0.0048,1.0,0.2837,in association with Allied Horror Present The Deepening Terror Comes in Any Shap,1.7832
27803,-1.0,-1.0,-1.0,-1.0,,0.0
27808,0.0132,0.5701,0.8966,0.3349,Suburban NigHtman,1.1918
27818,0.0196,0.0,0.9194,0.3014,SKELPTON JOHN JOHNSON'S KEY,1.4761
27836,0.0,0.0543,1.0,0.3401,SUMMER CAMP NIGHTMARE,2.1841
27848,0.0,0.0541,1.0,0.29,RAMA SHOCK-O-,1.397
27851,0.0015,0.0147,0.9985,0.2722,RICHARD MALIK LILA BLAKE PALMER CARROLL JR. BURKE MPIYAZ VA,1.495
27855,0.0,0.0056,1.0,0.2986,The controversial film that landed its filmakers in jail! vourre hourined the Ri,1.3069
27856,0.0,0.0382,0.4253,0.295,DAY of the,0.5626
27951,0.0607,0.454,0.8508,0.2911,"ghostwood EVIL HAS JUST AWAKENED, EVIL IS ABOUT TO RISE...",0.4659
28077,0.0,0.6501,0.9009,0.3499,REAST,0.8985
28147,0.0338,0.667,0.9569,0.2349,Centerfold the Girls,1.2918
28148,0.1514,0.8253,0.6845,0.1489,NINJA II THE DOMINATION,0.4417
28173,0.0291,0.0,0.9681,0.2574,WAR TROMA'S,1.2797
28184,0.0212,0.7632,0.9603,0.2189,SHOCKHEADED,0.932
28185,0.0,0.1293,1.0,0.2838,NORTH N,1.7171
28196,0.0,0.6958,1.0,0.3042,LAvensing The Conscience,1.399
28230,0.0,0.7269,1.0,0.2234,Serial Killer MASSACRE,1.3951
28231,0.0,0.6521,1.0,0.2616,Tales from the CA HNIBAL SiDE,1.4261
28277,0.0,0.5251,0.9192,0.2757,99WOMEN,0.8351
28310,0.0374,0.7452,0.9056,0.2081,"HOUSE OF IDIOTS PAUL SCRARO PATRENTI DERME ROCHONIN ""DR HORROR'S EROTIC HOUSE OF",0.9132
28312,0.0,0.0,1.0,0.287,B.MOVIE BLOOD PRESENTS: Massacre The Shooting of Farmhouse,1.6227
28317,0.2098,0.1672,0.7902,0.2633,BLOOD LEGEND Rosty Nelson film,0.6506
28341,0.0,0.2369,0.9438,0.2527,The Malibu Beach VAMPIKE,0.654
28350,0.0093,0.0121,0.956,0.1378,BIMBO MOVIE BASH!,0.734
28383,0.2461,0.5548,0.7539,0.2998,Vampire's in S Seduction,0.6978
28388,0.1276,0.7003,0.7474,0.2018,SEVERE INJURIES,0.8513
28483,-1.0,-1.0,-1.0,-1.0,,0.0
28505,0.2831,0.1221,0.4527,0.209,WINGED SERPENT,0.5095
28579,0.0092,0.0708,0.6266,0.2429,She t Demons of the Black Sun,0.8651
28582,0.0347,0.0642,0.924,0.1191,RISE THE OF GHOSTS,0.5232
28643,0.0,0.0285,1.0,0.2943,2-DISC 10TH ANNIVERSARY COLLECTOR'S EDITION THE HAPPY GHUCK PRESENTS OF AMERICA ,1.6547
28653,0.0026,0.753,0.9974,0.2109,& SCREAM RATED x IN COLOR,1.1534
28726,0.0,0.0,1.0,0.1201,BASELINE,0.7233
28743,0.2626,0.2497,0.7374,0.2862,VIKING MOTEL The Off Season,0.6578
28757,0.0,0.6649,1.0,0.2952,swinging The barmaids,1.3831
28765,0.0,0.5525,0.9985,0.2961,kannibal,0.8999
28865,0.0082,0.0046,0.9918,0.2921,MARILYN ALIVE AND BEHIND BARS Missing Gi ued SL and expand the,1.6649
28870,-1.0,-1.0,-1.0,-1.0,,0.0
28952,0.0015,0.0063,0.9765,0.2356,These Queens make YOU scream! Deman Divos and the Lanes of Damnation,1.2379
28953,0.0132,0.669,0.955,0.1523,SILENT VENGEANCE,0.8136
28957,0.0601,0.88,0.9004,0.1183,A MATT SPEASE FILM EVIL ON QUEEN STREET,0.5688
28959,0.0,0.0,1.0,0.1701,To Dance,0.979
29203,0.108,0.7337,0.892,0.2663,WEET AVIOUR,1.295
29222,0.0793,0.2202,0.8484,0.1761,STOPPED DEAD,0.4683
29227,0.3831,0.012,0.6169,0.2016,Dev ils Moon,0.7369
