id,title,year,genre_names
126006,Blood Reign: Curse of the Yoma,1989,"Animation, Fantasy, Horror, Science Fiction"
62736,Baoh: The Visitor,1989,"Action, Animation, Horror, Science Fiction"
245529,Shuten Doji - The Star Hand Kid,1989,"Adventure, Animation, Fantasy, Horror, Mystery"
208505,The Dark Planet,1989,"Animation, Fantasy, Horror, Mystery, Science Fiction"
911708,Star of David,1989,"Animation, Horror"
172128,Karura Mau Movie,1989,"Action, Adventure, Animation, Drama, Fantasy, Horror"
37629,Angel Cop,1989,"Animation, Crime, Horror, Science Fiction, Thriller"
319223,Nuklear Zombies,1989,"Animation, Horror, Science Fiction"
838888,Expunged Chronicle of Miroku,1989,"Action, Animation, Fantasy, History, Horror, Science Fiction"
616347,Guest,1990,"Animation, Horror, Science Fiction"
353127,Exit,1990,"Animation, Comedy, Horror"
142356,Vampire Wars,1990,"Action, Animation, Crime, Horror"
461506,Magical Beast Front,1990,"Action, Animation, Fantasy, Horror, Science Fiction"
45660,Devilman - Volume 2: Demon Bird,1990,"Action, Animation, Fantasy, Horror"
611258,Spirit Warrior: A Harvest of Cherry Blossoms,1990,"Action, Animation, Fantasy, Horror"
928274,St. Michael Academy,1990,"Action, Animation, Drama, Horror, Science Fiction"
96654,Violence Jack: Hell's Wind,1990,"Animation, Fantasy, Horror"
172133,The Curse of Kazuo Umezu,1990,"Animation, Horror"
747817,Fujiko Fujio A no Mumako,1990,"Animation, Horror, Mystery"
597879,Devil Hunter Yohko,1990,"Action, Animation, Comedy, Drama, Fantasy, Horror"
835951,Karura Mau OVA,1990,"Animation, Horror"
68922,Sword for Truth,1990,"Animation, Horror"
97187,Cyber City Oedo 808,1990,"Action, Animation, Crime, Horror, Science Fiction"
904267,Fright-Muzzles,1991,"Animation, Horror"
911361,Baku Yumemakura's Twilight Theatre,1991,"Animation, Horror"
48581,The Sandman,1991,"Animation, Fantasy, Horror"
416642,The Witch And The Cow,1991,"Animation, Comedy, Horror"
213706,Mermaid Forest,1991,"Animation, Horror"
51096,Judge,1991,"Action, Animation, Crime, Fantasy, Horror, Mystery, Thriller"
53543,Will Vinton's Claymation Comedy of Horrors,1991,"Animation, Comedy, Horror"
836519,Horror News,1991,"Animation, Horror"
466569,School Super Girl Team,1991,"Action, Animation, Fantasy, Horror"
48626,Urotsukidōji II: Legend of the Demon Womb,1991,"Animation, Fantasy, Horror"
774559,Rex the Runt: Dreams,1991,"Animation, Fantasy, Horror"
911711,Star of David: Incubus Legend,1991,"Animation, Horror"
911357,Behind Hyakutarou,1991,"Animation, Horror"
911731,Youkai Ningen Bem: Part II,1992,"Animation, Horror"
911694,Sho is Flying in the Sky,1992,"Animation, Horror, Science Fiction"
53064,Midori,1992,"Animation, Drama, Horror"
897361,Gahan Wilson's Diner,1992,"Animation, Horror"
88780,Devil Hunter Yohko 2,1992,"Animation, Horror"
59363,Stille Nacht II: Are We Still Married?,1992,"Animation, Horror, Mystery"
642237,Monster in My Pocket: The Big Scream,1992,"Animation, Comedy, Family, Fantasy, Horror"
448801,A few pages from the life of a ghost,1992,"Animation, Horror"
689918,Cursed One-Piece,1992,"Animation, Horror, Romance, TV Movie"
30785,Evil Toons,1992,"Animation, Comedy, Horror"
54827,Not Without My Handbag,1993,"Animation, Comedy, Horror"
110768,Stille Nacht III: Tales from Vienna Woods,1993,"Animation, Horror, Mystery"
88784,Devil Hunter Yohko 4-Ever,1993,"Animation, Horror"
136601,The Restaurant of Many Orders,1993,"Animation, Fantasy, Horror"
110772,Stille Nacht IV: Can't Go Wrong Without You,1993,"Animation, Horror, Music, Mystery"
88781,Devil Hunter Yohko 3,1993,"Animation, Horror"
48628,Urotsukidōji III: Return of the Overfiend,1993,"Animation, Horror"
568282,Transrexia,1993,"Animation, Horror, Romance"
584466,My Love,1994,"Animation, Horror"
129213,Ghost Sweeper Mikami,1994,"Action, Adventure, Animation, Comedy, Fantasy, Horror"
796057,Nanja Monja Obake,1994,"Animation, Horror"
958900,Sins of the Sisters,1994,"Animation, Fantasy, Horror"
120253,Genocyber,1994,"Animation, Horror, Science Fiction"
796585,Tamio Kageyama's Double Fantasy,1994,"Animation, Comedy, Horror"
643718,Spirit Warrior,1994,"Action, Animation, Fantasy, Horror"
478706,Spirit Warrior: Rumbling Kunlun Mountains,1994,"Action, Animation, Fantasy, Horror"
88789,Devil Hunter Yohko 5: Hell on Earth,1994,"Action, Animation, Comedy, Horror"
51576,Darkside Blues,1994,"Animation, Horror, Mystery, Science Fiction"
8983,Felidae,1994,"Animation, Horror, Mystery, Thriller"
452341,Paranoid,1994,"Animation, Horror"
467882,Rakthavira,1994,"Animation, Horror"
203847,Tiny Toons Night Ghoulery,1995,"Animation, Comedy, Family, Horror, TV Movie"
67166,Runaway Brain,1995,"Animation, Comedy, Horror"
523033,The Ketchup Vampires,1995,"Adventure, Animation, Horror"
88790,Devil Hunter Yohko 6: Double Jeopardy,1995,"Animation, Horror"
438237,"Caracol, col, col",1995,"Animation, Horror"
797935,Mechano: Scientific Attack Force,1995,"Animation, Comedy, Fantasy, Horror"
92976,Tokyo Revelation,1995,"Animation, Horror"
48630,Urotsukidōji IV: Inferno Road,1995,"Animation, Fantasy, Horror"
797006,Dark Night's Historical Drama,1995,"Animation, History, Horror"
57224,Bio Hunter,1995,"Action, Animation, Horror"
76724,Spooky Kitaro: The Great Sea Beast,1996,"Animation, Fantasy, Horror"
140149,Season's Greetings,1996,"Animation, Horror"
836311,Hanako of the Toilet,1996,"Animation, Comedy, Horror"
214163,The Chicken from Outer Space,1996,"Animation, Comedy, Horror, Science Fiction"
834437,Lesson of Darkness,1996,"Animation, Horror"
48631,Urotsukidōji V: The Final Chapter,1996,"Animation, Fantasy, Horror"
194992,The Hard: Bounty Hunter,1996,"Action, Animation, Crime, Horror"
578374,Pharmacist from Hell,1996,"Adventure, Animation, Horror"
764923,Honto ni Atta Gakkou Kaidan,1996,"Animation, Horror"
825305,Blue Seed Beyond,1996,"Action, Animation, Comedy, Drama, Horror, Mystery, Science Fiction"
382464,Hell Teacher Nube,1996,"Adventure, Animation, Fantasy, Horror"
