id,title,original_title,year,year_mode
637040,Mutilated Movies,Mutilated Movies,2007,none
640786,R.I.P. - Bis zum Morgengrauen,R.I.P. - Bis zum Morgengrauen,1996,none
645828,Cold Storage,Cold Storage,1988,none
652860,Vampire Tales,Vampire Tales,1993,none
665921,Festival Of Fright,Festival Of Fright,2006,none
674259,The Offerings,The Offerings,2015,none
690085,Italy Possessed: A Brief History of Exorcist Rip-Offs,Italy Possessed: A Brief History of Exorcist Rip-Offs,2020,none
698074,Zombie Scumbags,Zombie Scumbags,2020,none
707031,Hag of Black Howe Moor,Hag of Black Howe Moor,2020,none
715486,Coldwater St. Massacre,Coldwater St. Massacre,2019,none
715894,The Great Satan At Large,The Great Satan At Large,1991,none
718617,Jade of Tai Chi,Jade of Tai Chi,2017,none
720959,Goodnight City Radio,Goodnight City Radio,2020,none
721940,Night Visions,Night Visions,2020,none
729722,Afterward,Afterward,1983,none
736189,Dorm,Dorm,2016,none
745213,Life in the Dead Zone,Life in the Dead Zone,2018,none
751801,Full Moon Massacre,Full Moon Massacre,2006,none
758772,Duck Dynasty: Quack Or Treat,Duck Dynasty: Quack Or Treat,2013,none
772318,3 Dukun Santet,3 Dukun Santet,2020,none
774763,Method to the Madness,Method to the Madness,2020,none
784147,Ile Alatau,Заилийский Алатау,2021,none
800302,The Man With The Top Hat,The Man With The Top Hat,2021,none
803182,Moon Men,Moon Men,2017,none
804392,Sleepover Massacre: The Curse,Sleepover Massacre: The Curse,2016,none
813263,Sweaty Dreams,Sweaty Dreams,2020,none
813724,Smut Without Smut: Bizarro Horror Nite,Smut Without Smut: Bizarro Horror Nite,2018,none
814686,Insect,Insect,2021,none
814678,Die Moorde Van Boven,Die Moorde Van Boven,2021,none
817869,The Milkman Returns,The Milkman Returns,2021,none
818072,The Impalers,The Impalers,2021,none
818664,Kuyang the Movie,Kuyang the Movie,2021,none
819660,Curse of the Full Moon,Curse of the Full Moon,1971,none
826135,Hantu Rimau,Hantu Rimau,1959,none
831529,Preys of Torture,เหยื่อทรชน,1987,none
837286,Semangat Ular,Semangat Ular,1972,none
839647,Pemuja Kubur,Pemuja Kubur,2021,none
843039,Camp Summerstar,Camp Summerstar,2021,none
