id,title,original_title,year,year_mode
721257,Channel 309 (1-3),Channel 309 (1-3),2019,none
728690,The Intercessor,The Intercessor,1983,none
732550,In Search of the Real Frankenstein,In Search of the Real Frankenstein,2006,none
735423,TAKAYAMANIA EMPIRE II,TAKAYAMANIA EMPIRE II,2019,none
742191,Autophobia,Autophobia,2020,none
757360,How to Build a Haunted House,How to Build a Haunted House,1985,none
759802,A Soundass Halloween,A Soundass Halloween,2020,none
766069,Fright Night of the Living Dead,Fright Night of the Living Dead,1986,none
771820,The Monstrologist,O Monstrólogo,2015,none
791335,Lord of the Shadows,Lord of the Shadows,1990,none
802657,Dracula Is Not Dead,Dracula Is Not Dead,2017,none
805748,Wilderness,Wilderness,1996,none
812341,FUBAR Vol. 1,FUBAR Vol. 1,2014,none
822075,The Tenderizer,The Tenderizer,2001,none
828192,Kidnapped and Chloroformed Again,Kidnapped and Chloroformed Again,2000,none
834192,I Speak for the Dead: The Legacy of Jigsaw,I Speak for the Dead: The Legacy of Jigsaw,2018,none
842819,The Hair Witch Project,The Hair Witch Project,1999,none
865008,A Darker Light,A Darker Light,1996,none
881800,The Hound of Hannibal: An American Werewolf,The Hound of Hannibal: An American Werewolf,2020,none
882157,The Black Beyond,The Black Beyond,1992,none
896662,Banned & Exposed 200X II,Banned & Exposed 200X II,2005,none
904669,Dying IV,Dying IV,1989,none
934611,Sheets of Gore,Sheets of Gore,2018,none
936852,The Ominous Project Universe Presents: CARNAGE,The Ominous Project Universe Presents: CARNAGE,2021,none
958633,Archimime!,Archimime!,2021,none
973970,Deathday,Deathday,1971,none
975026,Welcome Home,Welcome Home,1971,none
977639,Within 304,Within 304,2003,none
982498,Elvira's Movie Macabre: The Satanic Rites Of Dracula,Elvira's Movie Macabre: The Satanic Rites Of Dracula,2010,none
1006453,Witchfinder 2,Witchfinder 2,2008,none
1012855,Kidnapped & Chloroformed Coeds,Kidnapped & Chloroformed Coeds,1998,none
1017752,The Shackled Demon Project,The Shackled Demon Project,2022,none
1027876,No Sleep: Fragments of Horror,No Sleep: Fragments of Horror,2021,none
1029539,"100 Best Kills: Texas Birth Control, Dick Destruction","100 Best Kills: Texas Birth Control, Dick Destruction",2022,none
1034245,APOPHENIA,APOPHENIA,2022,none
1035882,Cannibal Sacrifice 2,Cannibal Sacrifice 2,2010,none
1037017,Dead Body Man Chronicles,Dead Body Man Chronicles,2008,none
1037684,Cicada: I Was a Teenage Horror Movie!,Cicada: I Was a Teenage Horror Movie!,2022,none
1038092,John Doe: Video Diary of a Serial Killer,John Doe: Video Diary of a Serial Killer,2017,none
1038454,DVD,DVD,2016,none
1040938,The Sleep Study Murders,The Sleep Study Murders,2016,none
1042091,The Witch of Devils Canyon,The Witch of Devils Canyon,2017,none
1042114,They're Gone,They're Gone,2022,none
1042158,Hoax,Hoax,2022,none
1042678,Toilet Paper Soldiers,Toilet Paper Soldiers,2021,none
1047376,Valley of Sickness and Death,Valley of Sickness and Death,2022,none
1050988,Hadron,Hadron,2016,none
1052907,Trepidation,Trepidation,2015,none
1054422,Blamed,Blamed,2022,none
1055384,Maniacal Night,Maniacal Night,2022,none
1061347,3: All Hallow's Eve,3: All Hallow's Eve,2014,none
1069869,Suicide School Girls,Suicide School Girls,2003,none
1071607,Tales of the Undead,Tales of the Undead,1985,none
1078479,The Harvester,The Harvester,1992,none
1078492,One for the Road,One for the Road,1995,none
1089235,The Man Who Went Missing in Black Hawk County,The Man Who Went Missing in Black Hawk County,2020,none
1098008,Horrifying Tales From the Dead,Horrifying Tales From the Dead,2020,none
1100841,Sailor Fight!,Sailor Fight!,1993,none
1100849,Sailor Fight!,Sailor Fight!,2014,none
1106982,15/05/11 - ABANDONED GRAIN ELEVATOR,15/05/11 - ABANDONED GRAIN ELEVATOR,2011,none
1109928,Necrophiliac and the Killer Gimps,Necrophiliac and the Killer Gimps,2018,none
1113305,Slay Ride,Slay Ride,2022,none
1113412,Guinea Pig: Slaughter Special,Guinea Pig: Slaughter Special,1988,none
1115037,453%%#$**---,453%%#$**---,2021,none
1117178,Majestic Mountains,Majestic Mountains,2010,none
1125639,"The Haunted Jizo of Shimo-Mizuno, Sayama City","The Haunted Jizo of Shimo-Mizuno, Sayama City",2022,none
1138689,The Eyes of the Panther,The Eyes of the Panther,1989,none
1144180,Bloody Bluefield,Bloody Bluefield,1998,none
1144279,Crypts,Crypts,2018,none
1150497,Shock-X-Treme Vol 2: Death.com,Shock-X-Treme Vol 2: Death.com,2006,none
1151692,Mondo Shock 2,Mondo Shock 2,2021,none
1151713,The Horror House Cult Murders,The Horror House Cult Murders,2009,none
1152303,Ravenwing & Cybercop vs Spellbynder,Ravenwing & Cybercop vs Spellbynder,1999,none
1152639,Watch Them Die Slowly,Watch Them Die Slowly,2021,none
1164563,Return of the Redneck Zombies,Return of the Redneck Zombies,2017,none
1166592,Neethraa,Neethraa,2020,none
1167553,Frankenstein (I Swear on My Mother's Eyes) The True Story,Frankenstein (I Swear on My Mother's Eyes) The True Story,1983,none
1167764,Sympathy,Sympathy,2004,none
1169439,"Strange Encounters: Vampires, UFOs and Hauntings","Strange Encounters: Vampires, UFOs and Hauntings",2010,none
1170919,Pizza Express,Pizza Express,1999,none
1172491,Skinny Puppy: Last Rights Backing Film,Skinny Puppy: Last Rights Backing Film,1992,none
1172493,Skinny Puppy: Too Dark Park Backing Film,Skinny Puppy: Too Dark Park Backing Film,1990,none
1173124,Pill Head Ed,Pill Head Ed,2020,none
1173316,The Silver Scream 2: Welcome to Horrorwood,The Silver Scream 2: Welcome to Horrorwood,2021,none
1183096,Elvira’s Movie Macabre: Night Of The Living Dead,Elvira’s Movie Macabre: Night Of The Living Dead,2010,none
1186362,The Man Who Would Be Michael,The Man Who Would Be Michael,2019,none
1187937,Halloween Top 20,Halloween Top 20,2016,none
1188626,Operation Storm Cloud,Operation Storm Cloud,2005,none
1189016,A Haunting on Adams Street: The Haunted Saginaw Museum,A Haunting on Adams Street: The Haunted Saginaw Museum,2022,none
1195715,Psychoville Halloween Special,Psychoville Halloween Special,2010,none
1205119,Ghostwriter: Attack of the Slime Monster,Ghostwriter: Attack of the Slime Monster,1995,none
1206952,Shocktail Hour: Werewolves! Zombies! ...and Blobs!,Shocktail Hour: Werewolves! Zombies! ...and Blobs!,2022,none
1213042,Manananggal,Manananggal,1984,none
1215712,Suburban Strangler,Suburban Strangler,2004,none
1220973,Realm of the Bizarre,Realm of the Bizarre,1999,none
1223357,Mummy A Gore Gore,Mummy A Gore Gore,1986,none
1223359,Cokehead The Soda Slasher,Cokehead The Soda Slasher,2008,none
1226585,Godzilla Resurrection,Godzilla Resurrection,2018,none
1228244,Nightmare City,Nightmare City,1984,none
1236249,Dead Guys 2: Blind Date,Dead Guys 2: Blind Date,2005,none
1239491,Sinema,Sinema,2014,none
1239817,W.A.V.E.'s Triple Feature,W.A.V.E.'s Triple Feature,2018,none
1247276,The Torture Memos,The Torture Memos,2021,none
1253367,The starving dead,The starving dead,2001,none
1256600,Club Dead Presents: The Dead Files,Club Dead Presents: The Dead Files,1990,none
1258604,Bigfoot In Kentucky,Bigfoot In Kentucky,2021,none
1259560,Party Levitation,Party Levitation,2021,none
1259895,Psychotic Bimbo,Psychotic Bimbo,1998,none
1262718,Twisted Weekend III: Slacker Holocaust,Twisted Weekend III: Slacker Holocaust,2003,none
1265633,Curse of the Wolf,Curse of the Wolf,2004,none
1272407,Killer sprite mega movie.,Killer sprite mega movie.,2022,none
1277427,Glomer,Glomer,2022,none
1278924,The Great Satan At Large (666israel),The Great Satan At Large (666israel),1991,none
1281640,Plantasma,Plantasma,2022,none
1287025,The Last Lonely Man,The Last Lonely Man,1969,none
1293005,The Terrorists,The Terrorists,1998,none
1300172,The Passion of Dracula,The Passion of Dracula,1980,none
1309747,FortySix,FortySix,2015,none
1315974,The Jersey Devil: Monster in the Pines,The Jersey Devil: Monster in the Pines,2020,none
1316590,"Seducer of the Night: Terror in the summer resort, bloodsucking fangs for blonde beauties","Seducer of the Night: Terror in the summer resort, bloodsucking fangs for blonde beauties",1982,none
1317781,At The Edge Of Darkness,At The Edge Of Darkness,2010,none
1320604,Hauntings,Hauntings,2002,none
1327541,George Romero's Golden Tales 2,George Romero's Golden Tales 2,1995,none
1328527,Welcome To My Vibe,Welcome To My Vibe,2021,none
1339155,George Romero's Golden Tales 3,George Romero's Golden Tales 3,1995,none
1339159,George Romero's Golden Tales,George Romero's Golden Tales,1993,none
1354783,Necrosluts,Necrosluts,2001,none
1365740,Desolation,Desolation,2022,none
1369744,KCAL Halloween Scream,KCAL Halloween Scream,1997,none
1373173,Cold Hands,Cold Hands,1991,none
1374767,28 Months After,28 Months After,2010,none
1384139,Hitwoman,Hitwoman,1998,none
1384614,Wet and Wild 1,Wet and Wild 1,1993,none
1390583,The Hammer Trailer Collection,The Hammer Trailer Collection,1999,none
1392630,Witchfinder 3,Witchfinder 3,2016,none
1398669,The Grisly Crimes of Dollman,The Grisly Crimes of Dollman,2021,none
1398943,The Mysterious Madame Zola,The Mysterious Madame Zola,2010,none
1399072,Sweeney Todd: the Demon Barber of Fleet Street,Sweeney Todd: the Demon Barber of Fleet Street,2009,none
1402358,The Hypnotic Spy,The Hypnotic Spy,1997,none
1417712,The Bikini Girl Killer,The Bikini Girl Killer,2010,none
1428606,Deadbangers,Deadbangers,1994,none
1429283,Night of the Living Dead Live,Night of the Living Dead Live,2020,none
1429429,The Death of the Killer Papangu,The Death of the Killer Papangu,2014,none
1431446,Lost Love,Lost Love,1995,none
1435585,Invisible Psycho,Invisible Psycho,2019,none
1435755,Nightmare on Beacon Street,Nightmare on Beacon Street,1996,none
1436559,Elvira's Movie Macabre: Legacy of Blood,Elvira's Movie Macabre: Legacy of Blood,1982,none
1437118,10/32,10/32,2021,none
1439182,Rodan! The Flying Monster,Rodan! The Flying Monster,1957,none
1439434,Dead Boys Club 2,Dead Boys Club 2,2003,none
1439929,Jaret's 2022 Halloween Special,Jaret's 2022 Halloween Special,2022,none
1440137,Simulacrum,Simulacrum,1993,none
1446781,A Night to Dismember: The Original Cut,A Night to Dismember: The Original Cut,2018,none
1447506,The Golem,The Golem,1960,none
1455078,KCW: Cold November Pain,KCW: Cold November Pain,2021,none
1455634,Naughty Dreams of Miss Owen,Naughty Dreams of Miss Owen,1987,none
1461690,Analogue Aneurysm,Analogue Aneurysm,2019,none
1463635,Terror Tapes,Terror Tapes,2021,none
1465119,Graves,Graves,2016,none
1467276,"""Midnight Stories 3"" - The Birthday Party","""Midnight Stories 3"" - The Birthday Party",2020,none
1472426,Jogger's Nightmare,Jogger's Nightmare,2016,none
1480129,Perforations 2001,Perforations 2001,2001,none
1480140,Perforations 2001 Part 2,Perforations 2001 Part 2,2001,none
1509057,Sun Dog,Sun Dog,1993,none
1510954,Nuclear Death: Unalive in Texas,Nuclear Death: Unalive in Texas,1990,none
1517854,Angel Abuse,Angel Abuse,2020,none
1518962,French Kills,French Kills,2015,none
1537732,Synthwave Horror: Night Of The Living Dead,Synthwave Horror: Night Of The Living Dead,2018,none
1540652,The New Necktie Strangler,The New Necktie Strangler,2011,none
1545469,Echoes From The Grave,Echoes From The Grave,2022,none
1548647,Big Wakes of Horror,Big Wakes of Horror,2004,none
1549019,Evil Night,Evil Night,2003,none
1549071,Roommatez,Roommatez,2002,none
1551756,"Hey, Melissa!","Hey, Melissa!",2022,none
1554394,Lizard's Leg and Owlet's Wing,Lizard's Leg and Owlet's Wing,1962,none
1554844,Grizzly Redux,Grizzly Redux,2005,none
1560057,The Pharmacist,The Pharmacist,2007,none
1562195,Stories From Tír na nÓg,Stories From Tír na nÓg,2021,none
1575465,The Master of the Discipline,The Master of the Discipline,1984,none
1578424,New Year's Day,New Year's Day,2008,none
1592491,Night of the Living Dead: 30th Anniversary Edition 1999,Night of the Living Dead: 30th Anniversary Edition 1999,1999,none
1608097,The Ungrateful Dead,The Ungrateful Dead,2010,none
1613002,The Slenderman,The Slenderman,2013,none
1613145,The Peeping Nun,The Peeping Nun,2002,none
1616669,The Shed Part Two,The Shed Part Two,1987,none
1620030,Never Ever EVER Alone,Never Ever EVER Alone,2017,none
1632384,Silent Hill 2: The Movie,Silent Hill 2: The Movie,2014,none
1639192,The Chopper,The Chopper,1971,none
1645114,Deadrock Zombies,Deadrock Zombies,1995,none
1646442,The Ominous Project Universe Presents: Monsters Are Real,The Ominous Project Universe Presents: Monsters Are Real,2020,none
1649704,Something in the Cellar,Something in the Cellar,1969,none
1649727,Taste of Evil,Taste of Evil,1971,none
1650098,The Sons and Daughters of Tomorrow,The Sons and Daughters of Tomorrow,1971,none
1650115,The Last Witness,The Last Witness,1971,none
1650124,The Shattered Eye,The Shattered Eye,1971,none
1655673,Dracula,Dracula,2002,none
1655937,The Hardcore Collection,The Hardcore Collection,2000,none
1657117,Non Compos Mentis (Not of Sound Mind),Non Compos Mentis (Not of Sound Mind),2003,none
1659151,The Cry of Mann,The Cry of Mann,2017,none
1661191,Going Under Part 2,Going Under Part 2,1998,none
1662495,The Rocky Horror Pixel Show,The Rocky Horror Pixel Show,2022,none
1663979,Scream Again,Scream Again,1998,none
1669469,Ticci Toby,Ticci Toby,2018,none
1669999,Alien Butchers,Alien Butchers,2022,none
1676367,Come To Brazil,Come To Brazil,2019,none
1680041,To Face Reality: A Scare You Trilogy,To Face Reality: A Scare You Trilogy,2007,none
1680368,Exandria Unlimited: Calamity,Exandria Unlimited: Calamity,2022,none
1681395,BLOODGOD,BLOODGOD,2013,none
1687720,The Groundhog's Day Massacre 2,The Groundhog's Day Massacre 2,1990,none
1688634,Dead is dead,Dead is dead,2000,none
1693137,Serurta,Serurta,2022,none
1701052,Dodgy and Abandoned,Dodgy and Abandoned,2019,none
1703073,Bible Black: New Testament,Bible Black: New Testament,2004,none
1706110,Amityville Horror House,Amityville Horror House,2021,none
1707736,Beetlejuice The Musical. The Musical. The Musical.,Beetlejuice The Musical. The Musical. The Musical.,2018,none
1711077,Hiding in Plain Sight,Hiding in Plain Sight,2021,none
1716852,Bent: Volume One,Bent: Volume One,2002,none
1722917,Thunderbirds: Attack of the Alligators!,Thunderbirds: Attack of the Alligators!,1966,none
1735570,Akhari Page,Akhari Page,2006,none
1199546,HOUSE 6,HOUSE 6,,any
1544212,Channel 9,Channel 9,,any
1650534,Hollow Trees,Hollow Trees,,any
1696337,Twin Demons,Twin Demons,,any
