id,imdb_id,original_title,title,original_language,overview,tagline,release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name
53953,tt0473553,The Tooth Fairy,The Tooth Fairy,en,A woman and her daughter (Nicole Muñoz) encounter a deadly legend at a bed-and-breakfast.,,2006-08-08,/i0dms1hH1ObbysPscPDKjgqNns0.jpg,1.2031,55,4.364,0,0,89,Released,False,/gEJcuqzvjFDzOvN20K9l2UGjb7l.jpg,Horror,,
57203,tt0914813,Mega Snake,Mega Snake,en,"Duff Daniels (John T. Woods), the younger, stupider brother of Les (Michael Shanks), can't help himself from stealing a rare snake that's been kept in a jar by a Native American snake dealer (Ben Cardinal), and which has to follow some rules: don't let it out of the jar, then don't let it eat anything anything living, and never fear the heart of the snake.",,2007-07-28,/7ke1UaoEootRB5v01RqloxaSF4k.jpg,1.0834,22,2.795,0,0,90,Released,False,/1S0H4RgJCC6hAD2Rv3Yv6K5WgYA.jpg,Horror,,
59546,tt0363565,The Legend of Diablo,The Legend of Diablo,en,The small California town of Diablo is plagued with mysterious deaths after Sheriff Roberts Lopez unearths an ancient box. Legend has it that the box holds the sixteenth-century Mexican demon named Azar.,,2003-03-02,/656IuZirADIuuI7D3ZTUVCs6Qp0.jpg,0.3035,1,8.0,0,0,85,Released,False,,"Thriller, Horror, Fantasy",,
61904,tt0095483,Pembalasan Ratu Laut Selatan,Lady Terminator,en,"The spirit of an ancient evil queen possesses the body of a young anthropological student, who then goes on a murderous rampage.",She Mates... Then She Terminates,1988-06-08,/lwOK1GHK8KRgiWhfBkEnQKPLgEi.jpg,1.8164,82,5.317,0,0,81,Released,False,/hKMtdiOWe6z32lFx1hgZLcQwwLM.jpg,"Action, Horror, Fantasy, Science Fiction",,
64343,tt0321961,DeathBed,DeathBed,en,"When Karen and her significant other move to a new apartment, they discover an old antique bed. Karen absolutely loves it and she soon allows it to inspire her artwork. However, a series of disturbing dreams begin to haunt Karen. Eventually she starts to become unhinged and her paranoia overtakes every aspect of her life.",The bed is waiting...,2002-09-24,/enIA7ZCmoDuNAADFnU1vtaYKNPd.jpg,0.6032,21,4.262,35000,0,80,Released,False,/9pWPLoR5SkEXotshfI7jLhQEOf8.jpg,"Thriller, Romance, Horror",,
66237,tt1134671,No Time to Fear,No Time to Fear,en,Friends encounter an evil spirit that assumes the form of its prey.,,2009-03-19,/zBUmnWx7P6VWxJyHds7iAPf4bar.jpg,0.5043,6,2.333,0,0,0,Released,False,/7PqjzGNOVmzgOy16dIho7hnHvyE.jpg,"Horror, Thriller",,
66795,tt1386583,Infection: The Invasion Begins,Infection: The Invasion Begins,en,"A mystery surrounds a small town that was attacked on September 9, 2009. Now sixty years later, the last survivor, Sarah, sends a high profile reporter a letter suggesting what really happened on that day. The government calls 9/9/09 the start of the ""Modern Plague"", and the reporter soon realizes that the truth may be harder to uncover than the lies.",Don't look to the skies...the invaders are inside us!,2010-01-04,/9XAxqJ5OcA1O1OabxmRnQOXD4Vy.jpg,0.7093,11,2.8,0,0,95,Released,False,,"Horror, Science Fiction",,
70810,tt0073042,The Ghoul,The Ghoul,en,"In 1920s England, former clergyman Dr Lawrence keeps his cannibal son locked in the attic after the young man is exposed to savage practices in India. When an auto race is held at the estate, Lawrence worries that his son may escape and terrorise the youth.",,1975-06-01,/28A5LZfY2W9FUZqBxOzEYPlXxG0.jpg,0.8771,35,4.986,0,0,90,Released,False,/uhEJwdWBcEXHIraV6G4oJ9pd7cW.jpg,"Horror, Mystery",,
72909,tt0385961,Premonition,Premonition,en,"After a violent car wreck nearly takes his life, Detective Jack Barnes begins having inexplicable and terrifying premonitions of horrible disasters. At first his warning calls go unheeded, but as the premonitions begin to come true Jack is shocked to find himself wanted for questioning by the FBI. He goes on the run, narrowly avoiding both the FBI and a band of terrorists on the verge of unleashing a deadly attack. As he scrambles to unlock the meaning of the visions, he must race against the clock to stop the terrorists before they can strike again.",,2005-08-16,/2Lo6USMKuPtoAzZwVqyKu5mgdMC.jpg,0.6676,22,4.409,0,0,90,Released,False,/aohETzneZWOW5ooOD1qikCm9HGx.jpg,"Horror, TV Movie, Mystery",,
75077,tt0091617,Necropolis,Necropolis,en,"A reincarnated ""Satanic Witch"" from New Amsterdam, circa 1600's comes back to revive her cult members by sucking the life force out of people.",Beneath the metropolis is...,1986-10-10,/sVY1TUU0uktvkRHLlTpiTDeit8.jpg,0.7194,35,3.414,0,0,77,Released,False,/c0sqIBlZxagZsjL7iudYpP261lB.jpg,Horror,,
