id,cluster,file_path,is_rep,is_canonical,vote_average,vote_count,iso_639_1
395,0,/2DKoPom57PVtJWcJlq7bS7JpahU.jpg,1,0,5.616,13,en
395,1,/ySWu5bCnnmgV1cVacvFnFIhgOjp.jpg,1,1,6.312,8,en
395,1,/sVRgdYhvJzoJwUmV6rJ7EuZ3Dwp.jpg,0,0,3.334,2,en
395,2,/wX7KQ4MQtxwFmPqidClOlv6iw5V.jpg,1,0,3.334,1,en
395,3,/tWumK9OHGbNwrmbDWFau5MqlRkh.jpg,1,0,5.25,8,en
440,0,/5iTwPDNtvK6ZZF607BHBbU3HO0B.jpg,1,1,5.616,13,en
440,1,/q7QbNlkOVLevqasM1qRa0qQvQIC.jpg,1,0,2.278,3,en
440,2,/bboGXJ02UiBr5SYlXADVG4viR6w.jpg,1,0,3.334,1,
440,3,/5271Y6P5Z97hgOh55zeSGMdcHSS.jpg,1,0,3.334,2,en
440,4,/phMtN7lT1CDqQXqL0uqKQzsPeRs.jpg,1,0,3.334,1,en
467,0,/kPs5esHjKdrVyPri5b9fw7NU40f.jpg,1,0,0.0,0,
467,1,/n5aMoI6AZLJzUoNbjMj0P60EYMJ.jpg,1,1,3.334,2,en
467,2,/zVDhZHjcE0ksNfFSsJVoxDdAYCJ.jpg,1,0,2.278,3,en
467,3,/7P0pidRkOY419xfMCCVpHqI7ihc.jpg,1,0,0.0,0,en
467,4,/bi8z2hL0hwxP2ihy9P1s2XrT3or.jpg,1,0,1.222,3,en
539,0,/uK46P78BvWGDW4dbq9C13LAwpmw.jpg,1,1,4.918,43,en
539,1,/yZBfcfUKlXBx3Khciau7W1XLaJv.jpg,1,0,8.362,6,en
539,2,/nXjkXxpsE7ZGRCVd6PKkrf9tgsL.jpg,1,0,6.33,44,en
539,3,/fqKbTHbbH27ulQ16kaReRI71gvY.jpg,1,0,6.722,9,en
539,4,/d9BTbT0Qda0cGT0JOlunuKg2ey9.jpg,1,0,5.786,7,en
561,0,/1y1n7ZVlNyol4U26yZZAnhcqqfb.jpg,1,1,6.438,24,en
561,1,/vs3rNZ0hLysEuYTeX6nn6iDoKMQ.jpg,1,0,5.53,17,en
561,2,/cLFIWpYTNL6pfq92U74fAZoLdhB.jpg,1,0,4.934,15,en
561,3,/oaWsGohG0HA9Ps6831OgZU2CJ3k.jpg,1,0,2.542,4,en
561,4,/9F62kExCyd3Ngope00yKbKujN8V.jpg,1,0,3.334,1,
565,0,/gghD2ZIPjMzLnnBuT3AZQGYnIW9.jpg,1,1,6.834,24,en
565,1,/ohVQGUxohlMkRXszJYhlrfGgKrE.jpg,1,0,5.682,11,en
565,2,/ydbhpumrzSjIKquXhztaUyqFQwH.jpg,1,0,3.334,1,en
565,2,/OmRfOATEWqKINcCBUAvAdaY2zK.jpg,0,0,3.334,1,en
565,3,/e2t5CKMox7tjv3iD3Ko7NdFa5lJ.jpg,1,0,5.928,15,en
571,0,/nNP2Eo48r0xbUQ1atHX9Sb8Q6gu.jpg,1,0,5.476,21,en
571,1,/ADoJaT1s9Jlcfx3Tw2MIZ1BMxo.jpg,1,0,5.25,23,en
