id,imdb_id,title,original_title,year,imdb_title,imdb_year,qid,year_delta,match
984225,tt14763752,The Resurgence,,2022,Resurgence,2021,movie,1,movie_year_pm1
1200877,tt1340094,Crow,,2023,The Crow,2024,movie,1,movie_year_pm1
