id,imdb_id,title,year,director,imdb_directors,match,title_sim,year_match,candidates
1019123,tt21651888,Spookie Dookie,2022,Brian Papandrea,Brian Papandrea,unique_director_match,1.0,2,tt13996652:2022:Chris Gatrost:d0|tt21651888:2022:Brian Papandrea:d1
725283,tt20250342,The Circle,2020,Michael Lansu,Michael Lansu,unique_director_match,1.0,2,tt11080442:2020:Margit Lillak:d0|tt11833800:2020:Charles Davis:d0|tt20250342:2020:Michael Lansu:d1
770456,tt13571948,A Christmas Carol,2019,Girish Patel,Girish Patel,unique_director_match,1.0,2,tt10476682:2019:Marc Hamill:d0|tt10778144:2019:Steven Salgado:d0|tt13571948:2019:Girish Patel:d1
466607,tt12603432,Love Is a Stranger,1994,Dave Castiglione,Dave Castiglione,unique_director_match,0.857,2,tt0143456:1994:Alex Scarry:d0|tt12603432:1994:Dave Castiglione:d1
1477709,tt36054825,Whispers,2025,Queenny Nguyen,Queenny Nguyen,unique_director_match,1.0,2,tt35680929:2025:Miroslav Petkov:d0|tt36054825:2025:Queenny Nguyen:d1
1522558,tt33245062,Intruder,2025,Christian Grillo,Christian Jude Grillo,unique_director_match,1.0,2,tt33245062:2025:Christian Jude Grillo:d1|tt33365542:2025:Steve Moon:d0
1567770,tt37727297,Threshold,,Ashley Dahl,Ashley Dahl,unique_director_match,1.0,0,"tt0083197:1981:Richard Pearce:d0|tt0120326:1997::d0|tt0339789:2003:Chuck Bowman:d0|tt0425360:1988:Rollan Sergienko:d0|tt10909734:2020:Rouzbeh Akhbari,Felix Kalmenson:d0|tt13443576:2020:Coraci Ruiz:d0|tt22263454:2016:Darlington Chukwunyere:d0|tt22456808:2022:Reuben Reng:d0|tt37727297::Ashley Dahl:d1|tt39636133:2026:Lars Brinkema,Torsten Brinkema:d0|tt4002210:2019:Jason Eric Perlman:d0|tt4669328:2015:Pushan Kripalani:d0|tt4738196:2015:Vincenzio Libertini:d0|tt8008938::Brian Kelly Jones,George Kaplan:d0|tt9297478:2020:Powell Robinson,Patrick R. Young:d0"
1705685,tt43312702,Red Lips,,João Augusto de Nardo; Regan Fox,Joao Augusto De Nardo,unique_director_match,1.0,0,tt0019315:1928:Melville W. Brown:d0|tt0114245:1995:Donald Farmer:d0|tt0141531:1960:Giuseppe Bennati:d0|tt1206483:2011:Rafa Lara:d0|tt43312702::Joao Augusto De Nardo:d1
