id,title,year,runtime,new_kind,new_id,new_url,status,reason
42903,Category 7: The End of the World,2005,169,tv,126193,https://www.themoviedb.org/tv/126193,medium,tmdb_404_remap_to_tv
731103,Resident Evil: First Hour,2011,18,tv,329581,https://www.themoviedb.org/tv/329581,medium,tmdb_404_remap_to_tv
917597,Be My Guest,2021,9,tv,239230,https://www.themoviedb.org/tv/239230,medium,tmdb_404_remap_to_tv
943662,Scarecrow,2022,4,tv,54767,https://www.themoviedb.org/tv/54767,low,tmdb_404_remap_to_tv
968949,This Little Piggy,2022,6,tv,27390,https://www.themoviedb.org/tv/27390,low,tmdb_404_remap_to_tv
991215,The Vent,2022,16,tv,21584,https://www.themoviedb.org/tv/21584,low,tmdb_404_remap_to_tv
997727,The Clown,2021,3,tv,235692,https://www.themoviedb.org/tv/235692,low,tmdb_404_remap_to_tv
1023467,Waterboy,2020,3,tv,327483,https://www.themoviedb.org/tv/327483,low,tmdb_404_remap_to_tv
