id,title,year
333347,This Girl's Gun,2012
333395,Abdullah,2014
333416,Manuer,2014
333420,The White Lie,2006
333422,Eating Razors,2005
334715,Kvistur,2012
334720,Red Love,2014
335220,The Scree,2004
335772,How to make a Nightmare,2015
336081,Cabaret Diabolique,2015
339798,Dracula,1973
341341,In Residence,2015
341733,46 Miles,2015
342687,The Garage,2014
342991,Prognosis,2015
343336,Plot 7,2007
343478,Weedwolf,2011
343773,Corpus Earthling,2012
346346,Bailout!,2011
346964,Screen,2013
347679,Thresher,2014
348176,International Necktie Strangler,2000
348761,Making Friends,2011
348924,Realm,2015
349114,The Grand Horror,2006
351075,Moderngrumble,2012
352166,Catastasis,2015
352172,A Voice from Hell,2011
352816,My Lovely Burnt Brother and His Squashed Brain,1988
352823,Playing with the Devil,2014
353038,Aanteni,2011
353862,T is for Tantrum,2011
353940,Amberpark: The Beginning,2013
354334,Polly,2010
355272,Assignment: Witches Talisman,2013
355487,O Negative,2015
355713,Quiver,2015
356891,37,2013
357611,Showreel,2012
358602,Night of the Chihuahuas,2004
360018,Death Faces,1988
360703,The Taking,2004
361144,Massacre Up North,2001
361495,Jessica's Room,2012
362738,Massage Parlor of Death,2015
363036,Happy Helladays,2011
363459,Witches Brew,2013
364194,I Am Legend: Awakening - Story 2: Isolation,2008
364308,Fast Zombies Suck,2015
364347,The Ties That Bind,2009
364400,Monster Problems,2015
364759,Home Sweet Home,2015
365252,Blood Runs Black,2015
365860,The Pride of Strathmoor,2014
366005,Lullaby,2015
366084,Ghosting,2015
366090,Pillow Fright,2015
366096,The King and Queen of Halloween,2014
366123,Reunited,2015
366129,In the Dark,2015
366296,This Is How You Haunt Your House,2014
366719,Unnatural History,2014
368347,Nocturne,1998
370133,Deimosimine,2016
371440,Delirium,2015
371886,Wake Me When I Leave,2015
372052,"3 Guys, A Girl, and A Demon",2014
372577,Midsummer Nightmares II: Summer's End,2014
374706,Season's Greetings,2015
377567,More Than You Can Chew,2011
377603,The Horror Seasons,2005
379096,Don't Scream,2015
379098,Twas the Night of the Tree Beast,2012
379865,Never Tear Us Apart,2016
381702,The Woods,2016
381782,Summer of the Zombies,2011
382049,House on Nightmare Lane,2014
382050,The Underpass,2015
382275,Dinner,2014
382858,The Baker,2013
383648,Spook,1988
384830,Crocodile,2015
385033,Mindless,2016
385038,KEEN-wah,2015
386867,White With Red,2013
386878,Behind Closed Doors,2009
387034,Nasty Nancy,2010
387039,Succubus,2016
387468,Boxgirl,2014
389735,Die! Sitter! Die! : Rupert,2016
390576,Colonel Kill Motherfuckers,2008
391218,Murder for Pleasure,2014
392048,Postpartum,2015
393148,Empty Bed,2015
393210,Knockers,2016
393318,The Babysitter Murders,2015
395380,Demented,2016
395483,Flat 6,2004
396041,Dead Is Dead Again,2011
396822,Gutter Punk Massacre,2014
397167,Peter Coukis: Gimoire,2013
397392,Return of the Curse,2006
398896,Nobody Ordered Love,1972
398986,Break My Bones,2016
399130,Campground: The Requel,2015
399592,Instruments of Evil,2016
400871,Maxwell,2015
401422,Lilith's Awakening,2016
402195,Anorexia,2010
402735,The Man's Name is Spade,2016
403830,Under Dark,2014
404193,The Outsider,1994
404205,The Picture in the House,2010
404963,Eight,2015
405205,Stanley's Girlfriend,2006
405930,Crimson Dance,2016
406137,Tik-Tik,2016
406717,Return of the Bloodsucking Nazi Zombies,2012
407326,I Dream of Zombies,2016
407802,City of the Dream Demons,2014
408060,All You Can Eat,2014
408064,The Cyclist,2014
408139,Testimony of the Unspeakable,2015
410865,Eight Clouds Rising,1997
412273,Awaiting Lazarus,2014
412351,I Love You So Much It's Killing Them,2016
413840,Meth to Madness,2011
413995,Goblin?,2014
414600,Blood Bath,2016
414609,Burlap,2016
414763,Heavy Makeup,2016
414836,Lasiurus,2016
415480,Urban Nightmare,2003
415907,Stella Buio,2012
416209,Scientifically Perfect,1996
416219,"Post Mortem, America 2021",2013
416277,Liquid Memories,2010
416360,Teddy Scares,2006
416459,The Cabinet in the Woods,2016
416504,Scrotal Vengeance,2001
416674,Miss Strangelove,2013
416681,Psychotic State,2014
416725,For Christ's Sake,2010
416915,Tortured Soul 3: The Willing Flesh,2004
417025,Theater Dark Video Magazine,1996
417072,The Landlady,2013
417304,Help Me First,2016
417821,Mind Games,1996
418258,Curse of the Swamp Creature,1993
418263,The Vegas Showgirl Strangler,2002
418450,Grave Walkers,2015
418567,Valerie,1992
418984,Visions,1989
419777,Jonathan of the Night,1987
419918,Eve,2016
420742,Scary Clown,2016
420766,Leaning,2014
420772,Creeping,2015
420773,Rest my Bones,2016
420847,Sharkasaurus,2014
420916,Popo,2008
420928,Deep 6,2016
421054,The Sleeping Plot,2013
421080,Bloody Snow,2016
422427,Dream Car,1989
422873,Adam Peiper,2015
422943,Death Beach,2016
423340,The Call of Charlie,2016
423389,The Day I Vanished,1959
423391,Wrath of the Sun Demon,1965
423543,Cured,2016
423654,Semblance,2014
423658,Sleeper,2014
424031,West Skerra Light,2016
424305,Blood Bonding,2016
424594,Dolls,2016
424596,Under the Apple Tree,2015
424654,Tainted Milk,2009
425163,I've Killed Before,1995
