id,title,year,width,height,aspect,reason
424031,West Skerra Light,2016,1000,500,2.0,landscape
424594,Dolls,2016,1000,424,2.3585,landscape
425264,Last Day At The Beach,1990,300,223,1.3453,landscape
425272,Lady In Danger,1992,300,226,1.3274,landscape
429021,The Last Abduction,2015,1000,557,1.7953,landscape
431215,A Visit From Krampus,2015,1000,563,1.7762,landscape
433849,The Tunnel,2017,300,166,1.8072,landscape
435861,The Evil of 1327,1984,300,169,1.7751,landscape
436118,T is for Talk,2011,1000,563,1.7762,landscape
437931,House of Spirits,2017,1000,452,2.2124,landscape
438470,Empathy,2007,1000,992,1.0081,landscape
445671,Archie: A Wee Ghost Story,2012,1000,752,1.3298,landscape
460876,Set Yourself Free,2014,1000,519,1.9268,landscape
467438,King Spawn,2019,1000,562,1.7794,landscape
472672,Sick Building Syndrome,2013,300,169,1.7751,landscape
473002,Hunger,2013,300,169,1.7751,landscape
480761,Fwd,2017,300,133,2.2556,landscape
492540,Ghosts of Fear Street,1998,300,187,1.6043,landscape
494618,Dear Albion,2016,1000,666,1.5015,landscape
502923,Don't Run,2016,1000,434,2.3041,landscape
522806,Dead Week,2014,1000,625,1.6,landscape
554075,The Wicked Little Witch,2017,1000,750,1.3333,landscape
560771,Cromwell,2008,300,200,1.5,landscape
563085,The Storymaker,2009,1000,606,1.6502,landscape
567501,World War Mud,1982,1000,646,1.548,landscape
577919,Antoni Psycho,2018,1000,564,1.773,landscape
593438,The Yellow Wallpaper,2013,300,235,1.2766,landscape
594553,The Dump,2012,300,103,2.9126,landscape
606638,Nightride,1997,1000,750,1.3333,landscape
615582,Respite Care,2019,300,200,1.5,landscape
632205,Be Still My Beating Heart,2019,1000,750,1.3333,landscape
637159,The Helsinki Axe Murders,2009,300,169,1.7751,landscape
645182,Orfeus,2012,300,225,1.3333,landscape
659788,Curse,2008,1000,537,1.8622,landscape
676735,Danse Macabre,2020,1000,563,1.7762,landscape
689132,Eva of the Succubi,2012,1000,667,1.4993,landscape
697404,Hecatomb,2006,1000,675,1.4815,landscape
699633,Doll of the Dead,2010,1000,631,1.5848,landscape
716472,The Vampire,1910,1000,572,1.7483,landscape
724484,Omega Shell,2001,1000,687,1.4556,landscape
732675,The Eliminator,1996,1000,563,1.7762,landscape
733638,The Carver,2017,1000,678,1.4749,landscape
738583,The Appointment,2007,1000,667,1.4993,landscape
740686,Rations,2009,1000,750,1.3333,landscape
743305,Alone on County Road,2019,1000,419,2.3866,landscape
744405,Song of the Dead,2004,1000,750,1.3333,landscape
744442,Shadows of the Dead,2004,1000,563,1.7762,landscape
744553,First Kill,2008,300,169,1.7751,landscape
746173,Bury the Hatchet,2013,1000,425,2.3529,landscape
746667,Log Out,2014,300,169,1.7751,landscape
751197,Daddy Christmas,2014,1000,558,1.7921,landscape
752473,None of the Above,2020,1000,500,2.0,landscape
752763,Witches in the Window,2020,1000,625,1.6,landscape
754905,Coven,2019,1000,563,1.7762,landscape
754909,Third Shift,2010,300,129,2.3256,landscape
757707,The Grudge 1.5,2006,1000,577,1.7331,landscape
765847,Barbatachthian,2020,1000,565,1.7699,landscape
766506,The Walkers,2004,1000,587,1.7036,landscape
784577,Moonlight Sonata,2010,1000,431,2.3202,landscape
785148,Facility 4,2005,1000,563,1.7762,landscape
785154,Harvest Moon,2008,1000,563,1.7762,landscape
785160,Prombies,2007,1000,563,1.7762,landscape
809645,Mommy,2017,1000,563,1.7762,landscape
811087,Expecting,2016,300,214,1.4019,landscape
811734,Teeth,2019,1000,561,1.7825,landscape
813852,Wererock,2020,1000,647,1.5456,landscape
814895,Howl,2015,1000,434,2.3041,landscape
815072,Breaking Lights,2021,1000,800,1.25,landscape
823849,Roller Girl,2020,1000,563,1.7762,landscape
824351,Gas Guzzling Ghoulie,2009,300,194,1.5464,landscape
825741,Spooky Town,2021,1000,670,1.4925,landscape
832607,The Lone Wolf,2013,300,126,2.381,landscape
842135,Scare Maze,2018,1000,428,2.3364,landscape
845020,Island,2007,1000,667,1.4993,landscape
851717,Mockingbird,2021,300,125,2.4,landscape
852766,The Shadows,2013,1000,563,1.7762,landscape
854746,Midnight Kiss,2015,1000,1000,1.0,square
860721,Til Death Do Us Part,2019,1000,739,1.3532,landscape
872475,Free Range,2006,300,240,1.25,landscape
878413,The Grime,9999,1000,426,2.3474,landscape
880557,The Invite,2021,1000,500,2.0,landscape
880650,From the Woods to the Cosmos: John Leman Riley on the History of Soviet Fantasy and Sci-Fi Film,2019,1000,553,1.8083,landscape
883316,The Mannequin,2019,1000,563,1.7762,landscape
884996,The Holy Sound,2013,1000,563,1.7762,landscape
887347,Jagen GroßFuß,2018,1000,562,1.7794,landscape
888997,Coronoia 21,2021,1000,517,1.9342,landscape
896192,Vile & Sweet,2021,1000,500,2.0,landscape
898349,Want to Hear A Story?,2021,1000,1000,1.0,square
915275,The Sheltered Women,2020,300,169,1.7751,landscape
928119,Don't Open the Box,2022,1000,586,1.7065,landscape
945176,LSD,1994,300,241,1.2448,landscape
