sample n=100 from data/qa/ocr_pilot_v2/sample_ids.txt
posters_dir=data/qa/_ocr_pilot_v2_stage/posters
out_dir=data/qa/ocr_pilot_v2_gemma31
models=['gemma31']
OPENROUTER_API_KEY=set (value not logged)

=== key=gemma31 result=gemma4-31b api=google/gemma-4-31b-it n=100 posters=data/qa/_ocr_pilot_v2_stage/posters ===
  [82/100] id=652004 status=ok chars=23 overlap=1.0 0.611s tok=298
  [83/100] id=931940 status=ok chars=18 overlap=1.0 0.928s tok=297
  [84/100] id=949486 status=ok chars=352 overlap=1.0 3.046s tok=267
  [85/100] id=988142 status=ok chars=25 overlap=1.0 0.885s tok=307
  [86/100] id=1085262 status=ok chars=39 overlap=1.0 1.136s tok=175
  [87/100] id=1148920 status=ok chars=448 overlap=1.0 2.99s tok=447
  [88/100] id=1229586 status=ok chars=7 overlap=1.0 0.741s tok=302
  [89/100] id=1273536 status=ok chars=29 overlap=1.0 0.912s tok=299
  [90/100] id=1294319 status=ok chars=13 overlap=1.0 0.693s tok=297
  [91/100] id=1346645 status=ok chars=4 overlap=1.0 2.148s tok=295
  [92/100] id=1351896 status=ok chars=202 overlap=1.0 6.142s tok=348
  [93/100] id=1363776 status=ok chars=9 overlap=1.0 2.389s tok=302
  [94/100] id=1379480 status=ok chars=17 overlap=1.0 3.165s tok=297
  [95/100] id=1405670 status=ok chars=22 overlap=0.0 2.739s tok=298
  [96/100] id=1463113 status=ok chars=4 overlap=1.0 6.848s tok=301
  [97/100] id=1483020 status=ok chars=43 overlap=1.0 3.798s tok=309
  [98/100] id=1483743 status=ok chars=708 overlap=1.0 24.258s tok=535
  [99/100] id=1541944 status=ok chars=13 overlap=1.0 2.239s tok=297
  [100/100] id=1578643 status=ok chars=34 overlap=1.0 2.748s tok=306
  gemma4-31b: this_run ok=100 err=0 tok=32441
final sidecar merge → 100 rows into data/qa/ocr_pilot_v2_gemma31/results.csv
  gemma4-31b: 100/100 ok mean_overlap=0.9521

LISTO → data/qa/ocr_pilot_v2_gemma31/results.csv (100 rows)
sidecar → data/qa/ocr_pilot_v2_gemma31/openrouter_sidecar.csv
usage → data/qa/ocr_pilot_v2_gemma31/openrouter_usage.csv
