id,title,year,runtime,imdb_id
826135,Hantu Rimau,1959,118.0,nan
831529,Preys of Torture,1987,76.0,nan
837286,Semangat Ular,1972,91.0,nan
839647,Pemuja Kubur,2021,90.0,nan
843039,Camp Summerstar,2021,145.0,nan
845251,Cut,2003,67.0,nan
854114,Sissy Sorcery,2021,73.0,nan
855044,Ordalie,2020,54.0,nan
861418,Dr Sander´s Hour of Horror,2021,60.0,nan
862789,Garin Movie Project,2012,102.0,nan
870542,Suzanne's Hypnosis,1997,48.0,nan
876177,Killer Horizon,2008,96.0,nan
881219,Night of the Ghoul Log,2021,60.0,nan
881402,Followers of the Dead Light,2020,110.0,nan
883275,From The Depths Of Depravity: Forgive Me Father For I Have Sinned,2004,120.0,nan
884826,Irving Undead,2021,90.0,nan
896268,Man-Horse,2021,65.0,nan
897260,The Project,2017,56.0,nan
914572,Pandemic Hotel,2021,63.0,nan
916042,"Shinshu, A Curse Video Legend: 13 Infectious Straw Dolls",2020,82.0,nan
930765,The Undying Curse,2020,80.0,nan
930308,Beasts: Baby,1976,51.0,nan
937693,1-900 Vampire,2017,70.0,nan
963140,Chupa La Mingus Presenta: Una Noche Solo en Tijuana,2022,122.0,nan
969005,UFO・UMA 11,2017,50.0,nan
971725,Di Gal Bite Mi,2013,68.0,nan
973936,The Ghost of the Mikogami Festival,2018,60.0,nan
979094,Expediente 212 Archivo Fantasma,2019,70.0,nan
978071,Dead Vision,2021,60.0,nan
981631,"Tales of Terror from Tokyo and All Over Japan (Volume 3, Part 1)",2007,65.0,nan
983825,Broadcast Dekinai Forbidden Spiritual Video,2014,51.0,nan
984072,Ghost Tower: A Complete Urban Legend from Hell,2011,67.0,nan
985276,Honto ni Atta! Noroi no Video: Vol. 83,2019,63.0,nan
987102,Turd Merchants of Death,2009,74.0,nan
988498,Highland Invasion,2022,85.0,nan
999981,Death Cabin,2000,96.0,nan
1009154,Horny as Hell for Evil,2015,75.0,nan
1016519,S.O.V. The True Independents,2018,140.0,nan
1022828,Octoberland,2016,74.0,nan
1025508,Junji Inagawa's Mystery Night Tour 2020,2020,90.0,nan
1032667,Shaye Saint John: The Triggers Compilation,2006,92.0,nan
1031989,The Mutilator Watchalong Live,2021,90.0,nan
1173172,Monster Cat Akabe Daimyojin,1938,65.0,nan
1026401,The Ghost Catcher,1939,89.0,nan
966661,Ghost Woman of the Old Mansion,1949,93.0,nan
1298828,The Razor's Edge,1949,77.0,nan
1173194,Monsters Catcher Oedo Seven Changes,1949,80.0,nan
1173196,Yaji Kita Cat Ghost Road,1949,74.0,nan
957841,Silent Monologues,2023,97.0,nan
1045940,Barkley Dubis' Danse Macabre,2023,90.0,nan
1046021,I am Perfectly Normal: Part II,2023,80.0,nan
1064418,Auteur,2023,64.0,nan
1074103,The Awnik,2023,87.0,nan
1083669,Between the Ocean and the Clouds,2024,43.0,nan
1086611,Monotonous Green,2023,46.0,nan
1093098,MUSTARD,2025,50.0,nan
1101818,Imposter Cleaning Crew,2023,52.0,nan
1103391,The James Allen Vianes Show,2023,128.0,nan
1117550,Scared Crazy,2023,84.0,nan
1124630,Dinner By Breakfast,2023,70.0,nan
1139126,The Pill,2023,74.0,nan
1145765,"Up, Up, & Up",2023,148.0,nan
1161988,The Redeye Tapes,2023,65.0,nan
1163878,Saco Part II,2025,53.0,nan
1166240,Our House Is Not Haunted,2023,78.0,nan
1173214,Mama Casserole,2023,51.0,nan
1183937,Auditions for Her Nightmare,2023,69.0,nan
1185927,I Heard You Edit Baby Videos,2023,48.0,nan
1185950,Black Forest,2023,167.0,nan
1185980,Black Forest 2,2023,122.0,nan
1185988,Black Forest 3,2023,84.0,nan
1189281,Grand Hampton the Movie: Anthology,2023,70.0,nan
1193038,Maya Valai,2023,110.0,nan
1194372,Hiding Henry,2024,88.0,nan
1194816,Surviving a Week at the Real Conjuring House,2023,68.0,nan
1200877,Crow,2023,45.0,nan
1208069,"End All, Say All",2024,71.0,nan
1214421,What's Wrong With You?,2024,82.0,nan
1226617,The Salvages,2024,70.0,nan
1227907,Redgate,2023,87.0,nan
1228463,Behind the Camera,2023,43.0,nan
1230431,The Bizarre Trial of Doctor victor Frankenstien,2025,70.0,nan
1234015,The Gocuyyeh Tapes,2024,70.0,nan
1239657,The Last Beta Player,2023,50.0,nan
1244062,Vimy Bridge,2024,93.0,nan
1245234,From The Other Side Of The Window,2023,57.0,nan
1255162,Question Mark (?),2024,115.0,nan
1256728,Short Shits,2024,98.0,nan
1263318,It's Only a Movie,2023,90.0,nan
1274566,The Demoniacal,2023,41.0,nan
1277003,Empath,2024,55.0,nan
1278989,Wake The Dead,2023,69.0,nan
1283609,Night Owls Episode 335,2024,70.0,nan
1284008,"Tales of the Twisted, True & Macabre",2024,69.0,nan
1290158,Ghost Adventures: Skinwalker Invasion,2024,83.0,nan
1293271,The Chef 2: The Aroma Of Vengeance,2024,52.0,nan
1294340,The Cloudvale Tapes,2024,41.0,nan
1298306,Tasmogor,2024,90.0,nan
1300379,YO-YO: Influence of a Murder,2023,94.0,nan
1301196,Frankie News 4,2023,63.0,nan
1302433,In Search of Gladys Glover,2024,89.0,nan
1305044,The Vacation Tapes,2024,59.0,nan
1310671,Wolf Awakened,2024,88.0,nan
1311488,The Porcelain Pianist,2024,60.0,nan
1312448,Adrenochrome,2024,49.0,nan
1321137,The Limestone Surveyors,2023,50.0,nan
1321451,InDIEpendence Day,2024,50.0,nan
1322374,OHSS Studios 2023 recap,2024,45.0,nan
1323351,Paryl,2024,54.0,nan
1326338,Photosynthesis,2024,120.0,nan
1328192,MalHare,2024,45.0,nan
1330059,Bad Ben 15: Poltergeist,2025,80.0,nan
1341400,MUNAA : THE LEGEND ( PART 1),2024,41.0,nan
1351591,Midwest Sessions,2024,85.0,nan
1355994,Weird Visions Society,2024,93.0,nan
1362472,Footprints of Fear,2024,57.0,nan
1362575,Koma: Berhenti Sebelum Mati,2024,85.0,nan
1365512,Ladder Man,2024,88.0,nan
1376188,Mawang: Jangan Sebut Namanya,2024,88.0,nan
1377314,Radha and Maeve Become Vampires,2024,57.0,nan
1377969,Tales From the Graveyard,2023,84.0,nan
1381049,No Escape (A Backrooms Film),2024,92.0,nan
1385156,The Hundred Voices of Harry Hoffman,2024,85.0,nan
1386947,Violated,2024,45.0,nan
1388524,Crimson Maw,2024,58.0,nan
1389514,She's a Bitch,2025,90.0,nan
1394063,Liquid Vinegar,2024,80.0,nan
1394697,Death O' Lantern: Corn on the Mac-Cob,2024,49.0,nan
1397440,Noise: Reflejo,2025,120.0,nan
1400500,The Moon King,2024,51.0,nan
1403029,Yaksha,2025,120.0,nan
1412171,The Bombay Halloween Special,2024,62.0,nan
1416731,The Edensphere Saga,2025,70.0,nan
1417569,The man in the window,2024,113.0,nan
1431516,The Haunting at St. Madeline,2024,77.0,nan
1436932,Satellite,2023,48.0,nan
1441202,Scrupulosity,2025,130.0,nan
1441969,Alienated,2023,264.0,nan
1442704,Heat Sig,2024,50.0,nan
1442912,To Be a Starfish,2025,45.0,nan
1445945,housofpsychoticmn.mp4,2025,48.0,nan
1450678,Xander,2025,69.0,nan
1451359,Heavily Pregnant Susan,2025,114.0,nan
1451570,The Beast of Bray Road,2025,55.0,nan
1452523,Ghost Stories,2025,90.0,nan
1453109,Hotel Attack,2025,122.0,nan
1457700,Stillness Spreads,2025,64.0,nan
1459933,Unlike You,2025,99.0,nan
1460565,Rec Nights At Freddys 2,2025,104.0,nan
1462224,Dendam Dalam Dosa,2025,89.0,nan
1463644,Viper Visionz,2024,60.0,nan
1466771,Welcome To Fredbear's,2025,78.0,nan
1468801,A Very Blood Sick Christmas Special,2024,51.0,nan
1473792,Dollar Store Killers,2025,60.0,nan
1478501,A Visitor in the Night,2025,60.0,nan
1478694,Wolf Moon Rising,2025,82.0,nan
1481393,The Dark House,2025,102.0,nan
1486392,The Birdwatcher,2025,76.0,nan
1498452,Edmonton To Milan,2025,78.0,nan
1498777,The ghost light of the Big Thicket,2025,107.0,nan
1499312,In The Land of Fish and Honey,2025,102.0,nan
1499363,Dawn Of The Dyer,2025,98.0,nan
1499799,Slop.,2024,70.0,nan
1502939,Harvest Brood,2025,53.0,nan
1505948,Whiteface,2025,222.0,nan
1506037,The Movie That Was Never Made,2025,90.0,nan
1514584,Blood Weekend,2025,72.0,nan
1519253,Ape,2025,127.0,nan
1525341,Kaycee Brown,2024,87.0,nan
1525910,Day of the Draugr,2025,42.0,nan
