id,source,status,in_w,in_h,out_w,out_h,error
226023,up,ok,1056,1500,1000,1500,
226257,orig,ok,1218,1827,1000,1500,
226269,orig,ok,1280,1920,1000,1500,
227002,orig,ok,1700,2550,1000,1500,
227070,orig,ok,1000,1500,1000,1500,
227071,orig,ok,1000,1500,1000,1500,
227172,up,ok,1404,2106,1000,1500,
227227,orig,ok,1000,1500,1000,1500,
227267,up,ok,1948,2940,1000,1500,
227285,orig,ok,2000,3000,1000,1500,
227369,up,ok,1000,1500,1000,1500,
227531,up,ok,1430,2000,1000,1500,
227553,orig,ok,1000,1425,1000,1500,
227565,up,ok,1400,2102,1000,1500,
227569,up,ok,1200,1790,1000,1500,
227571,up,ok,1920,2880,1000,1500,
227574,up,ok,1014,1546,1000,1500,
227603,up,ok,1200,1800,1000,1500,
227608,up,ok,1062,1594,1000,1500,
227611,orig,ok,2000,3000,1000,1500,
227619,up,ok,1000,1500,1000,1500,
227623,orig,ok,1113,1668,1000,1500,
227625,up,ok,1092,1532,1000,1500,
227662,up,ok,1186,1816,1000,1500,
227670,up,ok,1626,2424,1000,1500,
227739,up,ok,1200,1716,1000,1500,
227759,orig,ok,1055,1500,1000,1500,
227795,up,ok,1082,1622,1000,1500,
227798,up,ok,1000,1500,1000,1500,
227835,up,ok,1000,1500,1000,1500,
227841,up,ok,1000,1500,1000,1500,
227854,up,ok,1000,1500,1000,1500,
227856,orig,ok,1000,1500,1000,1500,
227858,up,ok,1300,1942,1000,1500,
227864,up,ok,1332,2000,1000,1500,
227866,up,ok,1056,1500,1000,1500,
227871,orig,ok,1000,1500,1000,1500,
227877,orig,ok,2000,3000,1000,1500,
227883,up,ok,1000,1500,1000,1500,
227907,orig,ok,1000,1500,1000,1500,
228496,orig,ok,1400,2100,1000,1500,
228550,orig,ok,1000,1500,1000,1500,
228562,up,ok,1680,2400,1000,1500,
228676,orig,ok,1000,1500,1000,1500,
228880,up,ok,1920,2880,1000,1500,
228915,orig,ok,2000,3000,1000,1500,
229078,orig,ok,2000,3000,1000,1500,
229138,orig,ok,1000,1500,1000,1500,
229154,up,ok,1000,1500,1000,1500,
229333,up,ok,1000,1500,1000,1500,
229335,orig,ok,1300,1950,1000,1500,
229375,up,ok,1334,2000,1000,1500,
229526,up,ok,1000,1500,1000,1500,
229761,up,ok,1200,1800,1000,1500,
230168,orig,ok,1000,1500,1000,1500,
230263,up,ok,1560,2340,1000,1500,
230264,up,ok,1408,2092,1000,1500,
230300,orig,ok,2000,3000,1000,1500,
230453,orig,ok,1400,2100,1000,1500,
230619,orig,ok,1000,1500,1000,1500,
230643,up,ok,1620,2400,1000,1500,
230688,up,ok,1200,1800,1000,1500,
230907,orig,ok,1000,1413,1000,1500,
230977,orig,ok,2000,3000,1000,1500,
231003,orig,ok,1000,1500,1000,1500,
231188,up,ok,1000,1544,1000,1500,
231384,up,ok,1012,1532,1000,1500,
231783,up,ok,1600,2400,1000,1500,
231809,orig,ok,1000,1500,1000,1500,
232194,orig,ok,1000,1500,1000,1500,
232232,orig,ok,1000,1500,1000,1500,
232406,orig,ok,1333,1975,1000,1500,
232731,orig,ok,1400,2100,1000,1500,
232789,orig,ok,1000,1500,1000,1500,
232802,orig,ok,1400,2100,1000,1500,
232804,orig,ok,1080,1440,1000,1500,
232888,up,ok,1200,1800,1000,1500,
232995,orig,ok,2000,3000,1000,1500,
233191,up,ok,1836,2754,1000,1500,
233208,up,ok,1200,1800,1000,1500,
233226,up,ok,1600,2400,1000,1500,
233734,orig,ok,1521,2158,1000,1500,
233934,up,ok,1920,2880,1000,1500,
234124,orig,ok,1276,1790,1000,1500,
234151,orig,ok,1057,1500,1000,1500,
234993,up,ok,1200,1600,1000,1500,
235046,orig,ok,1000,1500,1000,1500,
235339,orig,ok,1200,1800,1000,1500,
235493,orig,ok,1050,1575,1000,1500,
235537,orig,ok,1000,1500,1000,1500,
235692,orig,ok,2000,3000,1000,1500,
235733,up,ok,1600,2400,1000,1500,
235798,orig,ok,2000,3000,1000,1500,
236423,orig,ok,1875,2500,1000,1500,
236816,orig,ok,1000,1500,1000,1500,
237015,orig,ok,1000,1500,1000,1500,
237690,orig,ok,2000,3000,1000,1500,
237862,orig,ok,1566,2231,1000,1500,
238091,orig,ok,1211,1817,1000,1500,
238519,orig,ok,1400,2100,1000,1500,
238854,orig,ok,1200,1800,1000,1500,
238957,up,ok,1000,1500,1000,1500,
239019,orig,ok,1000,1500,1000,1500,
239076,orig,ok,1000,1500,1000,1500,
239352,up,ok,1646,2400,1000,1500,
239380,orig,ok,1057,1500,1000,1500,
239414,up,ok,1200,1800,1000,1500,
239628,up,ok,1238,1858,1000,1500,
239722,up,ok,1702,2552,1000,1500,
239728,up,ok,1920,2880,1000,1500,
239815,orig,ok,1000,1500,1000,1500,
240222,orig,ok,1000,1500,1000,1500,
240260,up,ok,1000,1500,1000,1500,
