hamming,id_a,title_a,id_b,title_b
1,610010,Killer Therapy,1648434,The Final Hour
1,625213,The Faceless Man,409582,7 Guardians of the Tomb
1,625213,The Faceless Man,578847,Skyman
1,625213,The Faceless Man,809347,The Haunting of Hell Hole Mine
1,640766,Beware,671324,World of Death
1,640766,Beware,1284041,id 1284041
1,645732,We Wait in the Woods,396550,Sickhouse
1,645732,We Wait in the Woods,1030460,Your Love Is Mine
1,699019,Hell Hole,68116,Incubus
1,705863,The Caretaker,892219,Blood House
1,709514,Cybernetic Showdown,13429,Donkey Punch
1,709514,Cybernetic Showdown,1127375,The Notorious Finster
1,715275,Beyond the Night,507700,Uncle David 2
1,715275,Beyond the Night,767615,Encounters
1,715275,Beyond the Night,1494294,Trail of the Werewolf
1,715275,Beyond the Night,1648434,The Final Hour
1,718292,The Bankrupt,423269,Halloween Spookies
1,718292,The Bankrupt,489456,Preylien: Alien Predators
1,718460,Roach,748853,In the Earth
1,741357,What Happens Next Will Scare You,1055783,The Disinvited
1,758511,Screambook,423269,Halloween Spookies
1,758511,Screambook,489456,Preylien: Alien Predators
1,767615,Encounters,805429,The Missing
1,767615,Encounters,1247436,The Uninvited
1,774108,The Dead… Will Rise!,507700,Uncle David 2
1,774108,The Dead… Will Rise!,767615,Encounters
1,774108,The Dead… Will Rise!,1494294,Trail of the Werewolf
1,774108,The Dead… Will Rise!,1648434,The Final Hour
1,777573,The Las Vegas Strangler,507700,Uncle David 2
1,794567,The Holy Ghost,488134,id 488134
1,794567,The Holy Ghost,981696,The Haunted Bedroom
1,794567,The Holy Ghost,1460572,"Blessed: Live, Laugh,Run!"
1,821783,Summer Horror Day,1261577,James O'Barr's THE CROW
1,840819,Staycation,423269,Halloween Spookies
1,840819,Staycation,489456,Preylien: Alien Predators
1,855197,Slot,216424,Empty Rooms
1,863371,2001 Faces,488134,id 488134
1,863371,2001 Faces,981696,The Haunted Bedroom
1,863371,2001 Faces,1460572,"Blessed: Live, Laugh,Run!"
1,878777,CRAM,132250,Hypothermia
1,878777,CRAM,384452,Cruel Summer
1,888368,id 888368,223376,Burndown
1,913062,Fraternity of Horror,488134,id 488134
1,913062,Fraternity of Horror,981696,The Haunted Bedroom
1,913062,Fraternity of Horror,1460572,"Blessed: Live, Laugh,Run!"
1,913772,The Severing,578,Jaws
1,913772,The Severing,325157,Haunters
1,913772,The Severing,398096,Freshwater
1,913772,The Severing,446101,Assassination Nation
1,913772,The Severing,1011207,Evil Lurks
1,922504,Blight,578847,Skyman
1,970806,In the Dead of Night,423269,Halloween Spookies
1,970806,In the Dead of Night,489456,Preylien: Alien Predators
1,979499,The AGFA Horror Trailer Show: Videorage,783233,The AGFA Horror Trailer Show: Videorage
1,981270,Spasm,578,Jaws
1,981270,Spasm,325157,Haunters
1,981270,Spasm,398096,Freshwater
1,981270,Spasm,446101,Assassination Nation
1,981270,Spasm,1011207,Evil Lurks
1,981696,The Haunted Bedroom,1346487,Paranormal Activity: The Mark of the Coven
1,1014932,Mothman,326247,The House on Pine Street
1,1014932,Mothman,740049,Enys Men
1,1014932,Mothman,1330421,Bone Lake
1,1014932,Mothman,1617221,Nuptials
1,1027933,Blight,578847,Skyman
1,1030460,Your Love Is Mine,109157,A Warning to the Curious
1,1038460,DVD 2,423269,Halloween Spookies
1,1038460,DVD 2,489456,Preylien: Alien Predators
1,1055783,The Disinvited,625213,The Faceless Man
1,1055783,The Disinvited,671324,World of Death
1,1077433,Wendigo,423269,Halloween Spookies
1,1077433,Wendigo,489456,Preylien: Alien Predators
1,1208388,Noclip,526917,Primal
1,1219267,White Gardenia: The King James Bible,1494294,Trail of the Werewolf
1,1219267,White Gardenia: The King James Bible,1648434,The Final Hour
1,1223121,id 1223121,488134,id 488134
1,1223121,id 1223121,981696,The Haunted Bedroom
1,1223121,id 1223121,1460572,"Blessed: Live, Laugh,Run!"
1,1237397,Territory,69277,Demon Hunters: Dead Camper Lake
1,1247436,The Uninvited,1648434,The Final Hour
1,1260867,Horror-Scopes: Volume Two - Chinese Zodiac,213396,Polymorph
1,1276472,The Strange Case of Dr. Jekyll and Mr. Hyde,423269,Halloween Spookies
1,1276472,The Strange Case of Dr. Jekyll and Mr. Hyde,489456,Preylien: Alien Predators
1,1284041,id 1284041,95099,Pathogen
1,1291661,Tide,24702,Shallow Ground
1,1313837,Jason Still Lives Part 2: The Ski Resort Murders,1494294,Trail of the Werewolf
1,1313842,Jason Part III: The Veiling,1494294,Trail of the Werewolf
1,1313842,Jason Part III: The Veiling,1648434,The Final Hour
1,1316071,Janus,625213,The Faceless Man
1,1318452,Damned If You Do,507700,Uncle David 2
1,1318452,Damned If You Do,767615,Encounters
1,1318452,Damned If You Do,1494294,Trail of the Werewolf
1,1318452,Damned If You Do,1648434,The Final Hour
1,1318933,Chain Reactions,13429,Donkey Punch
1,1318933,Chain Reactions,1127375,The Notorious Finster
1,1320921,The Night Is Young,1036239,Baby Oopsie 3: Burn Baby Burn
1,1328717,The Unknown,423269,Halloween Spookies
1,1328717,The Unknown,489456,Preylien: Alien Predators
1,1353226,The Dog From A Graveyard,625213,The Faceless Man
1,1353226,The Dog From A Graveyard,1500978,Sock
1,1375736,Return of the Corn Zombies,578,Jaws
1,1375736,Return of the Corn Zombies,325157,Haunters
1,1375736,Return of the Corn Zombies,398096,Freshwater
1,1375736,Return of the Corn Zombies,446101,Assassination Nation
1,1375736,Return of the Corn Zombies,1011207,Evil Lurks
1,1424883,Implanted,326247,The House on Pine Street
1,1424883,Implanted,740049,Enys Men
1,1424883,Implanted,1330421,Bone Lake
1,1424883,Implanted,1617221,Nuptials
1,1425891,id 1425891,1494294,Trail of the Werewolf
1,1432968,The Fun Room,326247,The House on Pine Street
1,1432968,The Fun Room,740049,Enys Men
1,1432968,The Fun Room,1330421,Bone Lake
1,1432968,The Fun Room,1617221,Nuptials
1,1442878,Three Miles Up,488134,id 488134
1,1442878,Three Miles Up,981696,The Haunted Bedroom
1,1442878,Three Miles Up,1460572,"Blessed: Live, Laugh,Run!"
1,1489362,Caiman,885683,White Sky
1,1497961,William Shakespeare's Titus Andronicus,1127375,The Notorious Finster
1,1506835,Blood Shine,787761,Oracle
1,1514057,The Fortunate Ones,578,Jaws
1,1514057,The Fortunate Ones,325157,Haunters
1,1514057,The Fortunate Ones,398096,Freshwater
1,1514057,The Fortunate Ones,446101,Assassination Nation
1,1514057,The Fortunate Ones,1011207,Evil Lurks
1,1524401,The Last,13429,Donkey Punch
1,1557115,Home Videos,187276,In Memorium
1,1569349,Last Month's Rent,849369,Superhost
1,1569349,Last Month's Rent,879689,Raging Grace
1,1646251,Tailbone,488134,id 488134
1,1646251,Tailbone,981696,The Haunted Bedroom
1,1646251,Tailbone,1460572,"Blessed: Live, Laugh,Run!"
1,1656845,Women's Playground,672582,The Deep House
1,1719565,The American Veteran Sleep Experiment: Test 2,1114928,Bad Things
1,1735325,JAWBREAKER,507700,Uncle David 2
1,1735325,JAWBREAKER,767615,Encounters
1,1735325,JAWBREAKER,1494294,Trail of the Werewolf
1,1735325,JAWBREAKER,1648434,The Final Hour
2,578,Jaws,398096,Freshwater
