id,title,year,decade,proxy,ocr_chars,n_lines,n_boxes,mean_conf,ocr_source,path
300143,The Rainbow Man,1949,1940,image_led,4,1,1,0.1125,easyocr,/22FFDLHqExTbuBNDc5ITIWexfW7.jpg
627840,Mortmain,1915,1910,image_led,4,1,1,0.94,easyocr,/AoSOIoZrYpIxiPOL6Ua0gChpbKe.jpg
28191,One Exciting Night,1922,1920,title_led,18,3,3,0.9888,easyocr,/5eHkEKS1eMQJ7Mu64SgiO96J8WX.jpg
1293715,Witches Brew,1960,1960,text_heavy,59,7,7,0.3072,easyocr,/xewHOVL2veR6KHUNGof223qempx.jpg
1373725,Devil in Human Being,1949,1940,text_heavy,41,9,9,0.1945,easyocr,/5hSQrEUYUrXPPJgDAgUCcpN1ukf.jpg
631697,Sam Body,2018,2010,text_heavy,231,19,19,0.465,easyocr,/s7t4ZTNpeKWNW3TcjX7gtmCJHqZ.jpg
212391,The Damnation of Faust,1898,1890,title_led,22,5,5,0.872,easyocr,/rzkp3LJZt491t2NkUBrtgAEpOIx.jpg
1494164,Unknown Treasures,1926,1920,image_led,0,0,0,0.0,easyocr,/ar1Gmkkf5jqtVNZWHEiVi3yvA5O.jpg
869071,Pappy's Graveyard,2021,2020,text_heavy,73,7,7,0.3982,easyocr,/4YOJIqvqurT0BcRLI9Asl7Pcr4b.jpg
41215,Black Death,2010,2010,title_led,11,1,1,0.8612,easyocr,/gXRERDpyT9s3m2yk6wNmrTWbZfG.jpg
1187548,Breathing Hole,2021,2020,text_heavy,95,12,12,0.158,easyocr,/5Qa9NOOY14oPjvvfzLLUBgyZehD.jpg
664862,The Dream Cheater,1920,1920,text_heavy,165,12,12,0.3897,easyocr,/p4lpQXQqc3mj54OPhJPzlj7TcWe.jpg
110175,Twisted,1986,1980,image_led,5,1,1,0.4969,easyocr,/4JB7RvvTsGbtVlSs87AMamvtoXQ.jpg
97974,The Loch Ness Horror,1981,1980,title_led,29,5,5,0.8407,easyocr,/wgnh49ijlYLXginEcFgZg7h8kkV.jpg
1318433,Shower Sharks,2018,2010,text_heavy,90,6,6,0.6429,easyocr,/8l1JicwDSi1ZYxFBHHVZC1nrLRP.jpg
1685907,Dissociation,2026,2020,text_heavy,95,7,7,0.1158,easyocr,/qy4Otg0eXDs3JFpOWSViVis95h0.jpg
28142,Glass Trap,2005,2000,title_led,39,5,5,0.2013,easyocr,/xHdNKif21z5YRV5JGQ9np5QSuXE.jpg
29368,A Place of One's Own,1945,1940,title_led,20,5,5,0.8672,easyocr,/bfsBdPN710GPxAuXcKQTVrHIGBR.jpg
226884,The Pit and the Pendulum,1913,1910,title_led,39,4,4,0.9234,easyocr,/mTy1Wbs0BS1t2VjfR4CMTQ4kYDY.jpg
1032710,As Darkness Sets In,1984,1980,text_heavy,80,7,7,0.229,easyocr,/5jzhJW6lLpGF8rbwjGbpXjTzLhP.jpg
295774,Once Upon a Midnight Scary,1979,1970,text_heavy,111,10,10,0.3447,easyocr,/9AHTilLEWNhIZLZeEmfX4lemfX0.jpg
1036432,Hurry Hurry Faster Faster,1965,1960,title_led,25,2,2,0.9412,easyocr,/wapxekH6En2PVlETaLENAJcnBY3.jpg
33754,Scared Stiff,1953,1950,title_led,12,1,1,0.5604,easyocr,/cnglxMYB0912uje2gC2VfMZRywo.jpg
732231,Castle Ghosts of England,1995,1990,text_heavy,112,10,10,0.766,easyocr,/xf0386kp9f547nr6HQFH8iTFPps.jpg
672043,Masque of the Red Death,1959,1950,image_led,1,1,0,0.0,textract,/pW49cYnHAgeTnXErIRU4CRMZ1Yl.jpg
245087,Pontianak Gua Musang,1964,1960,title_led,18,2,2,0.7011,easyocr,/hpTLVrhF7tTeTHesr6fft8gBV9d.jpg
136,Freaks,1932,1930,image_led,6,1,1,0.9734,easyocr,/fX2Wxd0W9E7eVClUd8kJTfennoV.jpg
681680,Repent Now,2017,2010,title_led,24,4,4,0.8769,easyocr,/sV0nHvowaa7GCbh93PP99SjM0hF.jpg
422340,Jungle of Death,1985,1980,text_heavy,68,7,7,0.4602,easyocr,/e9Ebs28ZiUbKuBpWWzXoANKCBrt.jpg
298347,Monkey Boy,1992,1990,title_led,9,1,1,0.1774,easyocr,/bvNefK5LavHMOQP4VZt7knkytSe.jpg
1265637,The Strange Fetishes,1967,1960,text_heavy,105,8,8,0.3201,easyocr,/qrjkfD8dDNe5q2JaHfDw8C8qPDF.jpg
1607698,Babybacks,9999,9990,title_led,9,1,1,0.9528,easyocr,/777USMw58Oah2hg0MuyFStgt49f.jpg
570025,Don’t Come Back Without Presents,2018,2010,title_led,31,4,4,0.2496,easyocr,/rXEirbnh64DF5Cg7YRZFdguTTb9.jpg
85498,The Maze,1953,1950,text_heavy,192,24,24,0.2334,easyocr,/xlfJKdjwUZNfT2QUEUv0RozVuEs.jpg
305511,The Craving,1918,1910,text_heavy,99,8,8,0.1875,easyocr,/xTLyyYb9OJ6USJemUGLxSO40Cu8.jpg
20121,Killdozer,1974,1970,image_led,5,1,1,0.2307,easyocr,/mcXmSQeqerpUEMJMJQ5TgW3aN0w.jpg
111461,Ghost Chasers,1951,1950,text_heavy,141,16,16,0.4743,easyocr,/tB7JCeNtNh9zL06Q7W9AT06fMAL.jpg
74110,Nicole,1976,1970,text_heavy,97,10,10,0.218,easyocr,/gr19vfKO1oPzOzjQ0OHW4T42zU4.jpg
418805,The Black Stork,1917,1910,text_heavy,222,25,25,0.6709,easyocr,/k9V2q9F5C9gyzlb0nXdyL0BsyuN.jpg
1263634,Don't Trust the Doll,2022,2020,image_led,0,0,0,0.0,easyocr,/3r6k9H0sfZum1fjTI1DvOolnRrq.jpg
752795,Araf 3: Cinler Kitabi,2019,2010,text_heavy,58,9,9,0.5811,easyocr,/hyABqqHQoaJg80ZR21ae59E5irT.jpg
264246,The Night of the Beast,1988,1980,title_led,17,3,3,0.2465,easyocr,/oRwLFAfkezLfIQHRIAzdOoq9QOG.jpg
565440,Frankenstein Meets Dracula,1957,1950,image_led,1,1,0,0.0,textract,/xpSG5GDC4HbF4afyY2kg8Ed3vKG.jpg
648291,Herzog Ferrantes Ende,1922,1920,text_heavy,82,7,7,0.242,easyocr,/64cMukS1w7UfETrljfqkEp7VoDa.jpg
445494,Black Waters,1929,1920,text_heavy,108,13,13,0.5854,easyocr,/rSquRVR3Q5Q9XlhP031dkSlniXA.jpg
779,Vampyr,1932,1930,image_led,6,1,1,0.2825,easyocr,/yt3JS5JSoZseSohYkhs6FLU9B0O.jpg
1280081,The Vivisectionist,1915,1910,image_led,3,1,0,0.0,textract,/3rqqTbmlPslJl62fqJRV7Rx8qA2.jpg
130523,Dr. Jekyll and Mr. Hyde,1912,1910,title_led,39,5,5,0.7958,easyocr,/YMTH07LSvYr4AgG0mjVfbg8tx2.jpg
727488,Ten Days,1925,1920,text_heavy,251,24,24,0.2776,easyocr,/oXR2RxQ8uuK6A5IvCZmToOTAMvC.jpg
48374,Piranha,1995,1990,image_led,7,1,1,0.6262,easyocr,/sUzAJwxeGiODOVmsIGrgXcy9aj1.jpg
361945,Sleepy Hollow,1911,1910,image_led,0,0,0,0.0,easyocr,/yvOClUlXpruMN3E4yzjStYA7Eh7.jpg
299423,The Ghost Cat and the Mysterious Shamisen,1938,1930,text_heavy,30,7,7,0.1347,easyocr,/2UQ5zl1Ld8TiAisIfhHT0HdQkUW.jpg
1363027,A Mother's Love,2025,2020,image_led,0,0,0,0.0,easyocr,/vazxT531r1dU8YHd7k3Ht9We4Er.jpg
1719153,Stain,9999,9990,image_led,0,0,0,0.0,easyocr,/qM6tAQ6UBm0PDUnPLHLo2eg9fcN.jpg
370204,Katawan,1999,1990,image_led,7,1,1,0.8421,easyocr,/mhji9IShbIj9oB06ykO5aZZe2Gt.jpg
1325821,Forlorn,2002,2000,image_led,7,1,1,0.8837,easyocr,/sh3cZ8udpaR5KSeSF9iCsz2Fasm.jpg
183841,Return to Glennascaul: A Story That Is Told in Dublin,1953,1950,text_heavy,44,6,6,0.7131,easyocr,/uAImJthnukKD8AJ2IOB4T07CJJv.jpg
1276468,The Quatermass Experiment,1967,1960,title_led,30,2,2,0.8736,easyocr,/kk1Wi9nLpGQlNddHgZE5bCiHKKu.jpg
1586823,The All-Nighter,9999,9990,image_led,7,1,1,0.1346,easyocr,/q7lWWQVJ5zXJgKihmmxY4qZdXHG.jpg
2969,A Daughter Of Destiny,1928,1920,image_led,4,1,1,0.131,easyocr,/x8AXrCFJ0BSTMx7tNy4ecu7xEvd.jpg
