id,title,year,decade,proxy,ocr_chars,n_lines,n_boxes,mean_conf,ocr_source,path
34791,Mindstorm,2001,2000,text_heavy,71,11,11,0.1309,easyocr,/6dGbImqWFLPeNJ5cBZUHYjp5XZ.jpg
875893,Video Psycho,1997,1990,image_led,5,1,1,0.2656,easyocr,/zw2vY4yJL2ojH8hCtADeNnvOE2u.jpg
29347,Fiend Without a Face,1958,1950,title_led,17,3,3,0.9458,easyocr,/mvy9fNmdFIMlStKVFWUvMP8JpNX.jpg
827064,Swine,9999,9990,title_led,30,2,2,0.9724,easyocr,/jb4WgT8c7SMYCkl6rD8FiOQxxbM.jpg
124124,Grave Secrets,1989,1980,image_led,6,1,1,0.1554,easyocr,/hYwMJnv9M2TIGDvN9EKdWPOQzPB.jpg
525148,The Gallows Man,1945,1940,text_heavy,97,9,9,0.2684,easyocr,/5RvwbbOeg0CmH0EHMBgUsi1e6iD.jpg
3006,Dr. Jekyll and Mr. Hyde,1908,1900,image_led,0,0,0,0.0,easyocr,/hYArtU4tx01bOBeBLrkH1lY4VGb.jpg
1285471,Lesions,2026,2020,text_heavy,31,6,6,0.7154,easyocr,/iW16eC5u6m5JQwtwRnG9m4LCLzb.jpg
951980,Glyphs II,1977,1970,image_led,1,1,0,0.0,textract,/1nTWDznQm44jJYVzYOGjb7HmKy2.jpg
552843,Beware the Inside,2018,2010,image_led,0,0,0,0.0,easyocr,/bShcRzatomrAJTBkRE32QulVEmW.jpg
84720,The Brute Man,1946,1940,title_led,12,3,3,0.8307,easyocr,/uzRslu8AbdUlxrb7NE56MGhQRw4.jpg
74072,"Simon, King of the Witches",1971,1970,title_led,16,3,3,0.0892,easyocr,/qFMOWWJb3EpnEG5QzzDqSmpgPKj.jpg
875875,Flesh,9999,9990,image_led,6,1,1,0.6132,easyocr,/wKQButGy7sfz7LHANQS24LdlJaM.jpg
1269479,Crimson Kisses,2000,2000,image_led,7,1,1,0.2793,easyocr,/xJT03uuiJcCNjjRH8Tvu6cEV0tj.jpg
363164,The Mummy,1911,1910,image_led,0,0,0,0.0,easyocr,/qb5bXnMDgdKT6rsEjhCFrxpyvzt.jpg
248039,The Macabre Trunk,1936,1930,title_led,34,4,4,0.2757,easyocr,/6IiVuCQ9jEcqfqGp36GI7shKtFc.jpg
1193314,Zombie Plane,9999,9990,text_heavy,45,7,7,0.7522,easyocr,/qnev6PZFqbvs2zBDIKjEZHffsZk.jpg
184940,The Phantom of the Monastery,1934,1930,title_led,28,4,4,0.9329,easyocr,/4ZldhnyaRelI6Y7yuhuq8O9Opsy.jpg
13784,Black Friday,1940,1940,title_led,12,2,2,0.8105,easyocr,/268GiPoyYmuNhrez1I7GXypKC6T.jpg
934630,A Midnight Episode,1899,1890,image_led,0,0,0,0.0,easyocr,/zMBVYJ0Ecl9DqA3P4haHaIBmfuo.jpg
852783,Protege Moi,2023,2020,image_led,3,1,0,0.0,textract,/3CzQv2ydjj1tumk7nj8ElVVAEVb.jpg
482322,Blood Stars,2014,2010,text_heavy,138,13,13,0.4134,easyocr,/vnLBn0wgNhmjMycnujxEQdNlxkA.jpg
33607,"I Killed My Lesbian Wife, Hung Her on a Meat Hook, and Now I Have a Three-Picture Deal at Disney",1993,1990,text_heavy,92,4,4,0.7279,easyocr,/iHbJz5HhdTYMnEkdmR68lomWzZt.jpg
86979,The Road Builder,1971,1970,title_led,14,1,1,0.5385,easyocr,/aiZQhG7yaxGGTNKAQZxmvQZMc3o.jpg
89654,Confessions of a Psycho Cat,1968,1960,title_led,18,3,3,0.1151,easyocr,/xfK9cDJ4MAdd36rdezPiyD8TAYa.jpg
249849,Gergasi,1958,1950,image_led,7,1,1,0.9606,easyocr,/xRIyYCigE3skfA3dPSXXjX2KVxx.jpg
28196,The Avenging Conscience,1914,1910,title_led,22,3,3,0.7781,easyocr,/3NwXxPM7f3mHdlF6YylD3cao8CS.jpg
1182330,Fake,2023,2020,title_led,19,3,3,0.3592,easyocr,/oN7N0q7HVnSKHM0fKdnMTgXix2y.jpg
831,This Island Earth,1955,1950,title_led,17,3,3,0.4773,easyocr,/2viRDpHmhzQoreZok2auLjkVbSE.jpg
1563145,Freak Shack,1994,1990,image_led,1,1,0,0.0,textract,/4dCViLfCJIPYSMR6nRUy6l0qb2F.jpg
741635,Stuck,2020,2020,image_led,4,1,1,0.1284,easyocr,/7M6MaA7xQyYEcxtfzGnLVMpVIgx.jpg
1237401,Lizzie Lazarus,2024,2020,title_led,14,2,2,0.8509,easyocr,/c4pKYrObwF5xd1Yc9O6SLY5G3xC.jpg
573966,The Mysterious Uncle Silas,1947,1940,text_heavy,71,10,10,0.4328,easyocr,/eZUIGvYJElZbbQ8JSUFbBENocws.jpg
226640,Black Noon,1971,1970,image_led,4,1,1,0.619,easyocr,/oG7nQ8zuJaW0qUeRinL60xiJlB1.jpg
878720,A Life Hereafter,2017,2010,image_led,0,0,0,0.0,easyocr,/sJ52MRyvIamemKTOt2f1yPl1Xvu.jpg
29476,Return of the Ape Man,1944,1940,text_heavy,93,10,10,0.5082,easyocr,/ck0mUmEPLWucslKDVUxhL5cQ5oW.jpg
40549,The Unnamable,1988,1980,title_led,8,1,1,0.4673,easyocr,/6A5cb9mMUkezHXs3iSYHRw1FyHv.jpg
70345,Sssssss,1973,1970,image_led,6,1,1,0.5044,easyocr,/fIKiHta0LrDpb2f80u7ybPFesoy.jpg
48950,It Came from Somewhere Else,1988,1980,text_heavy,73,11,11,0.2651,easyocr,/fvim8DYYZGwNEvz7kECw0USMUIU.jpg
105166,The X-Ray Fiend,1897,1890,title_led,45,5,5,0.5002,easyocr,/9W5EcN51j8eNrxqUwbQfoS6HUgZ.jpg
