id,title,original_title,year,current_stem,current_overlap,current_fuzzy,best_stem,best_file_path,best_overlap,best_fuzzy,gain_overlap,gain_fuzzy,n_variants,propose,reason
74650,Fantasmi,Fantasmi,2014,74650.jpg,0.0,0.0892,8ykbl5Ax5LRg5UjJu2vlmngXjmg,posters_multi/74650/8ykbl5Ax5LRg5UjJu2vlmngXjmg.jpg,0.0,0.4706,0.0,0.3814,2,0,no
76659,Beautiful Swordswomen: Double Seppuku,美女剣士・二人切腹,1990,76659.jpg,0.0,0.1591,bLXl3iBAUoDAVK7z3m8kXd7AAye,posters_multi/76659/bLXl3iBAUoDAVK7z3m8kXd7AAye.jpg,0.0,0.1364,0.0,-0.0227,2,0,no
80528,The Darkening,The Darkening,1995,80528.jpg,0.0,0.3429,wicP7cM37z3uhNdV5SwoPBZfib6,posters_multi/80528/wicP7cM37z3uhNdV5SwoPBZfib6.jpg,0.0,0.3429,0.0,0.0,1,0,no
81489,Carnivorous,Carnivorous,2007,81489.jpg,0.0,0.1026,uJw5Tb7oCoBoalWKfvTxwt9zVZE,posters_multi/81489/uJw5Tb7oCoBoalWKfvTxwt9zVZE.jpg,0.0,0.1026,0.0,0.0,1,0,no
82828,Melancholia,メランコリア,2004,82828.jpg,0.0,0.0138,vmXW0lTUEkjpLdOuzZ06kyTca4T,posters_multi/82828/vmXW0lTUEkjpLdOuzZ06kyTca4T.jpg,0.0,0.0138,0.0,0.0,1,0,no
82972,Curio,Curio,2010,82972.jpg,0.0,0.2286,pFupZQWYGKBaMg9dZhcfj88BZ4A,posters_multi/82972/pFupZQWYGKBaMg9dZhcfj88BZ4A.jpg,1.0,0.098,1.0,-0.1306,2,1,overlap_gain
83833,Nostrum,Nostrum,2010,83833.jpg,0.0,0.0,y33jBhkZAX8hw5WYwze44WCT2CE,posters_multi/83833/y33jBhkZAX8hw5WYwze44WCT2CE.jpg,0.0,0.0,0.0,0.0,1,0,no
84233,Don't Hang Up,Don't Hang Up,1974,84233.jpg,0.3333,0.1374,fccbAyx3DcSHwlR6iwEfwVFhvyD,posters_multi/84233/fccbAyx3DcSHwlR6iwEfwVFhvyD.jpg,1.0,0.241,0.6667,0.1036,5,1,overlap_gain
92312,Django the Bastard,Django il bastardo,1969,92312.jpg,0.3333,0.3429,mEgACOh9FGP9g9XoAp8T4kYVK96,posters_multi/92312/mEgACOh9FGP9g9XoAp8T4kYVK96.jpg,1.0,0.5,0.6667,0.1571,5,1,overlap_gain
95008,Scream... and Die!,Scream... and Die!,1973,95008.jpg,0.0,0.375,lASZNs0GbkObV1ErUhzwgfIpNj9,posters_multi/95008/lASZNs0GbkObV1ErUhzwgfIpNj9.jpg,1.0,1.0,1.0,0.625,6,1,overlap_gain
100467,The Hand That Feeds the Dead,La mano che nutre la morte,1974,100467.jpg,0.0,0.2439,wijtfpys0hHRi9ZGSYh7T3aJxCt,posters_multi/100467/wijtfpys0hHRi9ZGSYh7T3aJxCt.jpg,1.0,1.0,1.0,0.7561,2,1,overlap_gain
101730,Henge,Henge,2011,101730.jpg,0.0,0.1818,g1273UI7b05AxfIifNoW17oX5cf,posters_multi/101730/g1273UI7b05AxfIifNoW17oX5cf.jpg,0.0,0.2222,0.0,0.0404,2,0,no
102762,Awakening,Awakening,2006,102762.jpg,0.0,0.0,jUvlPAF8vCYtkmpus3LvwsQGwwd,posters_multi/102762/jUvlPAF8vCYtkmpus3LvwsQGwwd.jpg,0.0,0.0038,0.0,0.0038,1,0,no
109703,Cadaver Bay,Cadaver Bay,2003,109703.jpg,0.0,0.1205,fZfTcfIT3gAO39XXifraaIfkflO,posters_multi/109703/fZfTcfIT3gAO39XXifraaIfkflO.jpg,0.0,0.175,0.0,0.0545,2,0,no
109707,Flora,Flora,1989,109707.jpg,0.0,0.099,mgHbHHaclA8YfPvQBi6wRb8q1EY,posters_multi/109707/mgHbHHaclA8YfPvQBi6wRb8q1EY.jpg,1.0,1.0,1.0,0.901,5,1,overlap_gain
110772,Stille Nacht IV: Can't Go Wrong Without You,Stille Nacht IV: Can't Go Wrong Without You,1993,110772.jpg,0.0,0.2174,1CHe4IOSHYoZzb7oV7eh4lVUH1x,posters_multi/110772/1CHe4IOSHYoZzb7oV7eh4lVUH1x.jpg,0.875,0.6667,0.875,0.4493,3,1,overlap_gain
122742,El asesino del parking,El asesino del parking,2006,122742.jpg,0.25,0.1447,gEi29ztmZ5G8qvDn5MdYwYd4tpC,posters_multi/122742/gEi29ztmZ5G8qvDn5MdYwYd4tpC.jpg,0.0,0.0255,-0.25,-0.1192,1,0,no
124046,B.O.R.N.,B.O.R.N.,1989,124046.jpg,0.0,0.1,trUBdVKkA3K2G1czud2hejVlYGl,posters_multi/124046/trUBdVKkA3K2G1czud2hejVlYGl.jpg,0.0,0.1,0.0,0.0,2,0,no
125294,Rough Draft,Rough Draft,,125294.jpg,0.0,0.1446,w46brjapQYaZon6GHtiVeehmJ4T,posters_multi/125294/w46brjapQYaZon6GHtiVeehmJ4T.jpg,1.0,0.274,1.0,0.1294,2,1,overlap_gain
128655,Haunted High,Haunted High,2012,128655.jpg,0.0,0.1765,ifZy0E6ulw73yb2pbkaKiQAr07T,posters_multi/128655/ifZy0E6ulw73yb2pbkaKiQAr07T.jpg,0.5,0.1639,0.5,-0.0126,3,1,overlap_gain
