title,type,year,id,slug,url,rails
Piraña 3D,movie,2010,5d77687b51dd69001fe0cf92,piranha-3d,https://watch.plex.tv/movie/piranha-3d,Available on Plex
Posesión infernal. En llamas,clip,2026,6a0ae44bc5cfd0ced040e4c7,evil-dead-burn,https://watch.plex.tv/movie/evil-dead-burn,Trending Horror Trailers
Posesión infernal. En llamas,movie,2026,65c258d1c2bbf6a01e0af8a5,evil-dead-burn,https://watch.plex.tv/movie/evil-dead-burn,Trending in Horror|Recently Released in Horror|Most Watchlisted This Week
Possessor,clip,2020,62042461efb506ae3522c848,possessor,https://watch.plex.tv/movie/possessor,Trending Horror Trailers
Possessor,movie,2020,5d776ca596b655001fe37084,possessor,https://watch.plex.tv/movie/possessor,Most Watchlisted This Week
Predator: La presa,movie,2022,5f409b43c63b480040eed75f,prey-2022-8,https://watch.plex.tv/movie/prey-2022-8,Fan Favorites in Horror
Presence,clip,2025,67246ce4b366385647378cd1,presence-2025,https://watch.plex.tv/movie/presence-2025,Trending Horror Trailers
Pretty Fine Things,movie,2016,5d77706f81ba41001faf03e3,pretty-fine-things,https://watch.plex.tv/movie/pretty-fine-things,Surprise Me
Ragebait,movie,2026,6813a524749005eb8806b6a6,ragebait,https://watch.plex.tv/movie/ragebait,Recently Released in Horror
Red Days,movie,2019,5ecfabc861eac00040b26618,red-days,https://watch.plex.tv/movie/red-days,Surprise Me
Reflejos,movie,2008,5d776cecfb0d55001f592bd7,mirrors-2008,https://watch.plex.tv/movie/mirrors-2008,Available on Plex
Resident Evil,clip,2026,6a62c9f754e2814781536ae5,resident-evil-2026,https://watch.plex.tv/movie/resident-evil-2026,Trending Horror Trailers
Resident Evil,movie,2026,67a23f4861078f9079534716,resident-evil-2026,https://watch.plex.tv/movie/resident-evil-2026,Most Watchlisted This Week|Coming Soon in Horror
Resurrection,movie,2011,5d7768a80ea56a001e2a888c,resurrection,https://watch.plex.tv/movie/resurrection,Surprise Me
"Saudó, laberinto de almas",movie,2016,5d776c64fb0d55001f586a18,saudo-laberinto-de-almas,https://watch.plex.tv/movie/saudo-laberinto-de-almas,Surprise Me
Scary Movie,clip,2026,69aae2ae99fc9abd0b9f8875,scary-movie-2026,https://watch.plex.tv/movie/scary-movie-2026,Trending Horror Trailers
SEND HELP (Enviad ayuda),movie,2026,5f40d5d81ae7100041216ea5,send-help-2026,https://watch.plex.tv/movie/send-help-2026,Most Watchlisted This Week
Sewer Gators,movie,2022,61f52b84043de88e611ebbc8,sewer-gators,https://watch.plex.tv/movie/sewer-gators,Surprise Me
Shark Frenzy,movie,2026,69de5a3f2e813be4a03c0406,shark-frenzy,https://watch.plex.tv/movie/shark-frenzy,Recently Released in Horror
Silencio (Hush),clip,2016,6205522ce1509182b646ecc0,hush-2016,https://watch.plex.tv/movie/hush-2016,Trending Horror Trailers
Sleepy Hollow (El Jinete sin Cabeza),movie,1999,5d77682b85719b001f3a1a7a,sleepy-hollow,https://watch.plex.tv/movie/sleepy-hollow,Fan Favorites in Horror
Smile in the dark,movie,2026,68c6037238abf280042fc64e,smile-in-the-dark,https://watch.plex.tv/movie/smile-in-the-dark,Coming Soon in Horror
Soulm8te,clip,2026,6a4f7e748ea528175f20c853,soulm8te-2026-1,https://watch.plex.tv/movie/soulm8te-2026-1,Trending Horror Trailers
Sunset Strip Killers,movie,2026,68630ea76c307e7651ccc680,sunset-strip-killers,https://watch.plex.tv/movie/sunset-strip-killers,Recently Released in Horror
Suspiria,movie,1977,5d7768387228e5001f1defd0,suspiria,https://watch.plex.tv/movie/suspiria,Available on Plex
Sé lo que hicisteis el último verano,movie,2025,5d776bbdfb0d55001f5713ad,i-know-what-you-did-last-summer-2025,https://watch.plex.tv/movie/i-know-what-you-did-last-summer-2025,Trending in Horror
Terrifier,clip,2016,633f41bc722646bf56520eed,terrifier-2016,https://watch.plex.tv/movie/terrifier-2016,Trending Horror Trailers
Terrifier,movie,2016,5d776c7e51dd69001fe3bf27,terrifier-2016,https://watch.plex.tv/movie/terrifier-2016,Trending in Horror|Available on Plex
The Awakening of the Beast,movie,1970,5d7768edad5437001f753040,the-awakening-of-the-beast,https://watch.plex.tv/movie/the-awakening-of-the-beast,Trending in Horror
The Caretaker,movie,2026,665d83bd722433b5035fc320,the-caretaker-2026,https://watch.plex.tv/movie/the-caretaker-2026,Recently Released in Horror
