title,type,year,ratingKey,slug,url,is_free,price,guid,childCount,leafCount
NOS4A2 (Nosferatu),show,2019,5d9c0918e264b7001fc4eead,nos4a2,https://watch.plex.tv/show/nos4a2,,,plex://show/5d9c0918e264b7001fc4eead,2,20
Paranormal Encounters,show,2012,5fb93aa675c6ca002e5ab9ae,paranormal-encounters,https://watch.plex.tv/show/paranormal-encounters,,,plex://show/5fb93aa675c6ca002e5ab9ae,3,18
Pueblos malditos,show,2017,5d9c08e62df347001e3b9d15,haunted-towns,https://watch.plex.tv/show/haunted-towns,,,plex://show/5d9c08e62df347001e3b9d15,2,16
Red Iron Road,show,2022,63dc0c121cbc4645f7fd84e9,red-iron-road,https://watch.plex.tv/show/red-iron-road,,,plex://show/63dc0c121cbc4645f7fd84e9,1,6
Scare Tactics,show,2003,5d9c08063c3f87001f34567c,scare-tactics,https://watch.plex.tv/show/scare-tactics,,,plex://show/5d9c08063c3f87001f34567c,6,115
Serial (2024),show,2025,690f1aa37e009592973e030d,serial-2024,https://watch.plex.tv/show/serial-2024,,,plex://show/690f1aa37e009592973e030d,1,12
Sharp Candy,show,2019,61052906ab3338002c39beb1,sharp-candy,https://watch.plex.tv/show/sharp-candy,,,plex://show/61052906ab3338002c39beb1,1,4
Something Scary,show,2016,66fe50a471863ff493a1be1f,something-scary-1,https://watch.plex.tv/show/something-scary-1,,,plex://show/66fe50a471863ff493a1be1f,1,11
Soul Sista Chronicles,show,2024,683a183b62719fbcfe0bcc91,soul-sista-chronicles,https://watch.plex.tv/show/soul-sista-chronicles,,,plex://show/683a183b62719fbcfe0bcc91,1,2
South of Hell,show,2015,5d9c0810705e7a001e6d1570,south-of-hell,https://watch.plex.tv/show/south-of-hell,,,plex://show/5d9c0810705e7a001e6d1570,1,8
Testigos de lo Paranormal,show,2019,5d9c09192df347001e3bcda3,paranormal-caught-on-camera,https://watch.plex.tv/show/paranormal-caught-on-camera,,,plex://show/5d9c09192df347001e3bcda3,6,133
The Accused (2022),show,2022,638fa31db807b89ccccf948b,the-accused-2022,https://watch.plex.tv/show/the-accused-2022,,,plex://show/638fa31db807b89ccccf948b,1,2
The Fearing Mind,show,2000,5d9c0858d4f2a9001f7fff9c,the-fearing-mind,https://watch.plex.tv/show/the-fearing-mind,,,plex://show/5d9c0858d4f2a9001f7fff9c,1,13
The Holzer Files,show,2019,5e161a634bc3b4003e48816e,the-holzer-files,https://watch.plex.tv/show/the-holzer-files,,,plex://show/5e161a634bc3b4003e48816e,2,16
The Tipsy Mystery,show,2025,686fa1cb779fdf4c265676cf,the-tipsy-mystery,https://watch.plex.tv/show/the-tipsy-mystery,,,plex://show/686fa1cb779fdf4c265676cf,1,8
The Witching Season,show,2015,5d9c08fe3c3f87001f35a0a7,the-witching-season,https://watch.plex.tv/show/the-witching-season,,,plex://show/5d9c08fe3c3f87001f35a0a7,1,5
Ultraviolet (1998),show,1998,5d9c08013c3f87001f344ade,ultraviolet-1998,https://watch.plex.tv/show/ultraviolet-1998,,,plex://show/5d9c08013c3f87001f344ade,1,6
Vampire Princess Miyu,show,1997,61b88e792d091aec3d8f3dd4,vampire-princess-miyu-1,https://watch.plex.tv/show/vampire-princess-miyu-1,,,plex://show/61b88e792d091aec3d8f3dd4,1,4
Zombie Dumb,show,2019,5ea7fbccaf1d0a004190aac0,zombie-dumb,https://watch.plex.tv/show/zombie-dumb,,,plex://show/5ea7fbccaf1d0a004190aac0,1,57
