id,title,year,vote_count,imdb_id,reason
132232,Mama,2013,3667,tt2023587,tmdb_vote_count_gt_100
395,AVP: Alien vs. Predator,2004,3654,tt0370263,tmdb_vote_count_gt_100
214,Saw III,2006,3653,tt0489270,tmdb_vote_count_gt_100
1577,Resident Evil: Apocalypse,2004,3635,tt0318627,tmdb_vote_count_gt_100
1078605,Weapons,2025,3634,tt26581740,tmdb_vote_count_gt_100
1062722,Frankenstein,2025,3611,tt1312221,tmdb_vote_count_gt_100
3021,1408,2007,3579,tt0450385,tmdb_vote_count_gt_100
52520,Underworld: Awakening,2012,3573,tt1496025,tmdb_vote_count_gt_100
460019,Truth or Dare,2018,3562,tt6772950,tmdb_vote_count_gt_100
351460,Death Note,2017,3560,tt1241317,tmdb_vote_count_gt_100
9533,Red Dragon,2002,3538,tt0289765,tmdb_vote_count_gt_100
91586,Insidious: Chapter 2,2013,3528,tt2226417,tmdb_vote_count_gt_100
588,Silent Hill,2006,3519,tt0384537,tmdb_vote_count_gt_100
1562,28 Weeks Later,2007,3514,tt0463854,tmdb_vote_count_gt_100
9426,The Fly,1986,3512,tt0091064,tmdb_vote_count_gt_100
7737,Resident Evil: Extinction,2007,3492,tt0432021,tmdb_vote_count_gt_100
501170,Doctor Sleep,2019,3486,tt5606664,tmdb_vote_count_gt_100
762441,A Quiet Place: Day One,2024,3433,tt13433802,tmdb_vote_count_gt_100
397243,The Autopsy of Jane Doe,2016,3423,tt3289956,tmdb_vote_count_gt_100
71679,Resident Evil: Retribution,2012,3422,tt1855325,tmdb_vote_count_gt_100
442249,The First Purge,2018,3413,tt6133466,tmdb_vote_count_gt_100
345911,Lights Out,2016,3384,tt4786282,tmdb_vote_count_gt_100
321258,The Boy,2016,3346,tt3882082,tmdb_vote_count_gt_100
340837,A Cure for Wellness,2017,3345,tt4731136,tmdb_vote_count_gt_100
301365,The Neon Demon,2016,3325,tt1974419,tmdb_vote_count_gt_100
9358,Final Destination 2,2003,3321,tt0309593,tmdb_vote_count_gt_100
571,The Birds,1963,3311,tt0056869,tmdb_vote_count_gt_100
36648,Blade: Trinity,2004,3275,tt0359013,tmdb_vote_count_gt_100
35791,Resident Evil: Afterlife,2010,3274,tt1220634,tmdb_vote_count_gt_100
934433,Scream VI,2023,3260,tt17663992,tmdb_vote_count_gt_100
924,Dawn of the Dead,2004,3254,tt0363547,tmdb_vote_count_gt_100
503736,Army of the Dead,2021,3233,tt0993840,tmdb_vote_count_gt_100
