id,title,year,imdb_id,tmdb_genres,imdb_titleType,flag_tmdb_tv_movie,flag_imdb_tv_type,reason
21505,The Haunted Airman,2006,tt0810892,"Drama, Horror, Thriller",tvMovie,0,1,tv_horror_tmdb_or_imdb
21851,The Lost,2009,tt0831916,"Horror, Mystery, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
21922,Sea Beast,2008,tt1314248,"Horror, Science Fiction, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
22450,Red Water,2003,tt0365677,"Action, Horror",tvMovie,0,1,tv_horror_tmdb_or_imdb
22468,The Presence,1992,tt0104049,"Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
23691,The Initiation of Sarah,2006,tt0795403,"Drama, Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
23692,The Initiation of Sarah,1978,tt0077735,"Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
24643,Lost Colony: The Legend of Roanoke,2007,tt0875696,"Fantasy, Horror, Mystery, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
24778,Hydra,2009,tt1034447,"Action, Fantasy, Horror, Science Fiction, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
24799,Wolvesbayne,,tt1266121,,tvMovie,0,1,tv_horror_tmdb_or_imdb
24921,Rise of the Gargoyles,2009,tt1275786,Horror,tvMovie,0,1,tv_horror_tmdb_or_imdb
25754,Children of the Corn,2009,tt1290135,"Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
26015,Don't Be Afraid of the Dark,1973,tt0069992,"Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
26215,Quicksilver Highway,1997,tt0119975,"Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
26245,Dark Prince: The True Story of Dracula,2000,tt0240793,"Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
26301,The Hunt for the BTK Killer,2005,tt0475302,"Crime, Drama, Horror, Thriller, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
26702,Devil Dog: The Hound of Hell,1978,tt0077429,"Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
26894,Saint Sinner,2002,tt0313016,"Fantasy, Horror, Science Fiction, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
26962,Puppet Master vs Demonic Toys,2004,tt0431340,Horror,tvMovie,0,1,tv_horror_tmdb_or_imdb
27482,Burial of the Rats,1995,tt0112599,"Horror, TV Movie",tvMovie,1,1,tv_horror_tmdb_or_imdb
