id,imdb_id,title,year,tmdb_genres,imdb_genres,titleType,reason
301356,tt0224394,The Widower,,,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
301382,tt1702399,The Maniac Project,2010,Horror,"Action, Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
301711,tt2043992,Skunk Ape Hunters in Texas,,,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
302506,tt2064980,Theatre of the Deranged,2012,Horror,"Comedy, Horror, Thriller",movie,imdb_Comedy_not_tmdb_Comedy
302801,tt1641640,The Oatmeal Man,2014,Horror,"Comedy, Horror, Sci-Fi",movie,imdb_Comedy_not_tmdb_Comedy
306000,tt0362716,Head Games,1996,"Horror, Science Fiction","Action, Comedy, Sci-Fi",video,imdb_Comedy_not_tmdb_Comedy
306285,tt3844084,Zombie Isle,2014,Horror,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
306964,tt4163020,Tales of Halloween,2015,"Drama, Horror, Thriller","Adventure, Comedy, Fantasy",movie,imdb_Comedy_not_tmdb_Comedy
307719,tt0117997,id 307719,,,"Comedy, Mystery, Thriller",tvMovie,imdb_Comedy_not_tmdb_Comedy
308123,tt0757991,How to Slay a Vampire,,,"Comedy, Horror",video,imdb_Comedy_not_tmdb_Comedy
308125,tt2100533,id 308125,,,"Comedy, Horror, Thriller",video,imdb_Comedy_not_tmdb_Comedy
309439,tt0431402,Silo Killer 2: The Wrath of Kyle,,,"Comedy, Horror, Western",video,imdb_Comedy_not_tmdb_Comedy
310018,tt3904372,Dead Body Man 2: Separation Anxiety,,,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
310591,tt0451999,Actress Apocalypse,2005,Horror,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
312396,tt0085708,I Married a Vampire,1987,"Drama, Horror","Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
314071,tt4265962,There's Something in The Pilliga,2015,Horror,"Comedy, Fantasy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
315024,tt2905674,Jurassic City,2015,"Action, Horror, Science Fiction","Action, Adventure, Comedy",movie,imdb_Comedy_not_tmdb_Comedy
315039,tt0202052,The Vampire Raiders,1988,Horror,"Action, Comedy, Fantasy",movie,imdb_Comedy_not_tmdb_Comedy
315832,tt0431022,Dirtbags,,,Comedy,video,imdb_Comedy_not_tmdb_Comedy
318535,tt0272730,The Mesmerist,2002,Horror,"Comedy, Mystery",movie,imdb_Comedy_not_tmdb_Comedy
318947,tt1608612,The Hills Have Thighs,,,"Comedy, Horror, Mystery",video,imdb_Comedy_not_tmdb_Comedy
319396,tt3717324,Zombieworld,2015,Horror,"Comedy, Horror",movie,imdb_Comedy_not_tmdb_Comedy
321377,tt2014319,Plan 9,2015,"Horror, Science Fiction","Comedy, Drama, Fantasy",movie,imdb_Comedy_not_tmdb_Comedy
