md5,n,ids,titles,years,poster_paths
9322a783f2f6cfa8fdf452e2b44ae0ad,3,732231|732232|732234,Castle Ghosts of England | Castle Ghosts of Ireland | Castle Ghosts of Wales,1995|1996|1997,||
18462545f05db1d1b4dd08cb68d5a9de,2,952045|952054,Anal Paprika 2: Vampire Killers | Anal Paprika 3: Menage-A-Death,2000|2001,/hncPjNJdEPc1rydemEcjUQ71kak.jpg|/hncPjNJdEPc1rydemEcjUQ71kak.jpg
