id,title,year,file_path,iso_639_1,vote_average,vote_count,width,height,is_primary
664168,Fat Ass Zombies,2020,/d2UCD7xwWFKucozkKcKBiCayJC6.jpg,en,3.334,1,1067,1600,1
664168,Fat Ass Zombies,2020,/btrers8SNujMJhxjLvjh7AJpN3T.jpg,en,2.542,4,2000,3000,0
664168,Fat Ass Zombies,2020,/fXhdcg1xwglgKVNBaAQcPxWwAAN.jpg,en,2.278,3,1126,1689,0
664168,Fat Ass Zombies,2020,/rNoqxIsTALd8b9z5whtEfqlDYLB.jpg,en,1.75,2,751,999,0
664168,Fat Ass Zombies,2020,/nm900ydTny1u231XbpblHm6anmj.jpg,en,0.166,1,1550,2211,0
332689,Playing with Dolls,2015,/c2dgNpCRWc1zlgltuvqjyOuiJfY.jpg,en,3.334,2,1000,1500,0
332689,Playing with Dolls,2015,/3ZkvAVrjhaYgdf0T1e8Hcqq3AQE.jpg,en,3.334,1,1200,1600,1
332689,Playing with Dolls,2015,/9mTZw5FG99Qnb6KeSZ6clSJ73wm.jpg,en,0.0,0,1400,2100,0
332689,Playing with Dolls,2015,/mOJ9D6QGE1YEXGUdmT8ZZsxCjNx.jpg,en,0.0,0,750,1000,0
332689,Playing with Dolls,2015,/lxeZApxD3DXtaTpPnGQNMxGGrEn.jpg,en,0.0,0,546,804,0
927771,Guiltless,2022,/2GV86puP0Ny1SnhyLd9vnU8DSps.jpg,en,3.334,1,1438,2158,1
927771,Guiltless,2022,/1peOEwz3dbXUCEXABJukWykCbpT.jpg,en,1.75,2,2000,3000,0
927771,Guiltless,2022,/23hxhcMzi9nGkyWBdM3xk5UVdYi.jpg,en,0.0,0,2000,3000,0
927771,Guiltless,2022,/itVQzlwees7afigl19nHhK43uuP.jpg,en,0.0,0,2000,3000,0
309063,The Ouija Experiment 2: Theatre of Death,2015,/o3VMaDXxXc8VwvvX82sd418HCcx.jpg,en,5.238,0,2000,3000,1
309063,The Ouija Experiment 2: Theatre of Death,2015,/oqOvK0nyUCA32qp4xsNONzgMKkR.jpg,en,3.334,1,988,1442,0
309063,The Ouija Experiment 2: Theatre of Death,2015,/58TEIAI3ZITDt1n8R0D8bZLx2FW.jpg,en,0.0,0,500,750,0
20321,Doctor Sleep,2002,/eBRcmhQakzeYPU6AWLP1DtAoLtC.jpg,en,3.334,1,1000,1500,1
20321,Doctor Sleep,2002,/bWb7wrpWygWFEFlkkwU4cUTfE7V.jpg,en,0.0,0,580,852,0
20321,Doctor Sleep,2002,/mUp3SkA4U9biBUx95XkF4RI0jpk.jpg,,0.0,0,500,750,0
347855,Curtain,2015,/qVoBlKoBg4xfnBP6lIuozzQPAsi.jpg,,0.0,0,500,750,1
45511,Teacher's Pet,2000,/6tP0SNBPUWEFd4dz77p4JH2S574.jpg,en,3.334,1,2000,3000,1
45511,Teacher's Pet,2000,/rQp1gPdjPoUPTWZmnrrXpVZkt0G.jpg,en,1.75,2,1000,1500,0
45511,Teacher's Pet,2000,/9NCZNJFEq8FuoXOx9R0yXT7s1XP.jpg,en,0.166,1,1000,1500,0
128655,Haunted High,2012,/vvBldMlCmq7WDI6eoWIHSAe1JfE.jpg,en,3.334,1,960,1440,1
128655,Haunted High,2012,/ajyIf0vd4yxtC8l1bbwIbi16BKm.jpg,en,0.0,1,1280,1920,0
128655,Haunted High,2012,/ifZy0E6ulw73yb2pbkaKiQAr07T.jpg,en,0.0,0,1000,1500,0
204611,The McPherson Tape,1989,/Ap6zknBoIHaioieVfOLd5qaWd4X.jpg,en,3.334,1,1000,1500,1
204611,The McPherson Tape,1989,/7HT0pnqdIejrjciSnYDvVGL4rXB.jpg,en,3.334,1,1000,1500,0
204611,The McPherson Tape,1989,/g65RZ82jaxwDkVWBK1Dfs90rE80.jpg,en,2.278,3,1000,1500,0
204611,The McPherson Tape,1989,/eaXUved6yrQw98nzoyoNi9mETpE.jpg,en,0.0,0,1073,1500,0
204611,The McPherson Tape,1989,/4P1pxi5BVMoj7xn80RwSBkPYvSO.jpg,en,0.0,0,562,843,0
135973,Pennhurst,2012,/mFjoBkzeDbBmxM8jVfYcHOmmIac.jpg,en,3.334,1,960,1440,1
135973,Pennhurst,2012,/nB5XpTMsO6ukDV0vzjseM45sKFa.jpg,en,0.166,1,708,1000,0
477576,DeadThirsty,2017,/eYVtTc9ZUskLSquCFagrpvUoN5d.jpg,en,0.0,0,1000,1500,0
477576,DeadThirsty,2017,/sfPaaniYJTY2Gi8LPyS21FCPx2u.jpg,,0.0,0,716,1023,0
477576,DeadThirsty,2017,/yHKu3ntOnRyt8qZdeU35otnviIC.jpg,en,0.0,0,500,750,1
477576,DeadThirsty,2017,/2Ddo3KwPBP81P1aIcchF4Tl8DOl.jpg,en,0.0,0,500,750,0
