id,title,year,genre_names,reason
643550,Nocturne,2020,"Horror, Music, Mystery, Thriller",tmdb_genre_Music
656381,Fury,2009,"Comedy, Horror, Music",tmdb_genre_Music
667154,Uncle Peckerhead,2020,"Comedy, Horror, Music",tmdb_genre_Music
701909,Vampire Burt's Serenade,2020,"Comedy, Horror, Music",tmdb_genre_Music
706581,It's Only a Movie!,1990,"Comedy, Horror, Music",tmdb_genre_Music
713166,Zombies of Eureka,2008,"Horror, Music",tmdb_genre_Music
722571,Beneath Glass Trees,2014,"Fantasy, Horror, Music",tmdb_genre_Music
730426,The Strings,2020,"Horror, Music, Thriller",tmdb_genre_Music
738186,Sister Tempest,2020,"Comedy, Horror, Music, Science Fiction, Thriller",tmdb_genre_Music
741914,Kill Dolly Kill,2023,"Horror, Music",tmdb_genre_Music
754006,The Turn of the Screw,2020,"Drama, Fantasy, Horror, Music",tmdb_genre_Music
825751,Little Shop of Horrors,1987,"Comedy, Horror, Music, TV Movie",tmdb_genre_Music
852830,Torn Hearts,2022,"Horror, Music, Thriller",tmdb_genre_Music
855466,Nash the Slash Rises Again!,2025,"Documentary, Music, Horror",tmdb_genre_Music
860721,Til Death Do Us Part,2019,"Horror, Music",tmdb_genre_Music
881260,The Inferno Index,2021,"Drama, Horror, Music",tmdb_genre_Music
891811,The Copper Queen,2021,"Drama, History, Horror, Music, Romance, Western",tmdb_genre_Music
895744,Studio 666,2022,"Comedy, Horror, Music",tmdb_genre_Music
912872,Bring on the Damned!,2025,"Horror, Comedy, Science Fiction, Music, Crime",tmdb_genre_Music
913772,The Severing,2022,"Horror, Music",tmdb_genre_Music
928162,Powertool Cheerleaders vs the Boyband of the Screeching Dead,2022,"Horror, Music",tmdb_genre_Music
974558,Destroy All Neighbors,2024,"Horror, Comedy, Music",tmdb_genre_Music
1012520,Rock And Roll Fuck 'n' Lovely,2013,"Drama, Horror, Music",tmdb_genre_Music
1021950,Ed Gein: The Musical,2010,"Horror, Music",tmdb_genre_Music
1023371,The Monster of Phantom Lake: The Musical!,2017,"Comedy, Horror, Music",tmdb_genre_Music
1030247,Tripping The Dark Fantastic,2022,"Documentary, Horror, Music",tmdb_genre_Music
1031216,Black Lodge,2022,"Horror, Music, Mystery",tmdb_genre_Music
1048494,Death Metal,2023,"Horror, Music",tmdb_genre_Music
1061456,A Bold Voyage,2024,"Horror, Music",tmdb_genre_Music
1078743,The Good People of Orphan Ridge,2023,"Comedy, Horror, Music",tmdb_genre_Music
1100782,Smile 2,2024,"Horror, Music, Mystery, Thriller",tmdb_genre_Music
1102067,The Boulet Brothers' Halfway to Halloween TV Special,2023,"Horror, Comedy, Music",tmdb_genre_Music
1142275,Alter Ego Film Project,2024,"Music, Thriller, Drama, Fantasy, Horror, Romance",tmdb_genre_Music
1145817,"Eldritch, USA",2023,"Horror, Comedy, Music",tmdb_genre_Music
1160200,Frankenstein,2023,"Romance, Music, Horror, Drama",tmdb_genre_Music
1176130,Decibel,2024,"Horror, Thriller, Music, Science Fiction",tmdb_genre_Music
1195107,Murder Ballads: How to Make It in Rock 'n' Roll,2023,"Comedy, Horror, Music, Crime",tmdb_genre_Music
1224146,Art of a Hit,2024,"Music, Thriller, Horror",tmdb_genre_Music
1229915,Dead Mail,2024,"Crime, Thriller, Music, Mystery, Horror",tmdb_genre_Music
1291247,Director's Cut,2024,"Music, Horror, Thriller",tmdb_genre_Music
1380907,Dank Frank,2025,"Science Fiction, Comedy, Fantasy, Horror, Music, Crime, Thriller",tmdb_genre_Music
1400656,Sweet Meats,2024,"Horror, Comedy, Music",tmdb_genre_Music
1483251,The Threshold,2025,"Animation, Horror, Music",tmdb_genre_Music
1529805,The Blood Moon,2025,"Drama, Music, Fantasy, Horror",tmdb_genre_Music
1610073,Ice Nine Kills Presents: Welcome to Horrorwood,2024,"Horror, Music",tmdb_genre_Music
