id,title,year,source,stem,file_path,rek_labels,rek_top,rek_top_conf,rek_weapon,rek_animal,rek_person,rek_water,rek_fire,rek_silhouette,rek_n_boxes,rek_bright,rek_sharp,rek_contrast,rek_colors,latency_s,error
10676,Halloween III: Season of the Witch,1982,variant,4qDtn4RNIEY4OgitIxi3P1CtthO,posters_multi/10676/4qDtn4RNIEY4OgitIxi3P1CtthO.jpg,Book:1.00|Publication:1.00|Adult:0.96|Male:0.96|Man:0.96|Person:0.96|Female:0.95|Woman:0.95|Novel:0.57|Advertisement:0.56,Book,0.9997,0.0,0.0,0.9648,0.0,0.0,0.5353,12,43.96,77.35,81.93,#000000:42.4|#800000:38.7|#dc143c:14.6|#ffebcd:3.0|#808080:0.7,0.826,
10676,Halloween III: Season of the Witch,1982,variant,WABfdeaThFYXCySGIOvRNv2sSW,posters_multi/10676/WABfdeaThFYXCySGIOvRNv2sSW.jpg,Book:1.00|Publication:1.00|Adult:0.98|Female:0.98|Person:0.98|Woman:0.98|Advertisement:0.93|Poster:0.90|Bride:0.78|Glasses:0.72,Book,0.9972,0.0,0.0,0.9848,0.0,0.0,0.5519,18,3.75,77.15,78.02,#000000:77.1|#800000:9.8|#8b0000:9.8|#c0c0c0:2.4|#696969:0.9,0.49,
10692,Henry: Portrait of a Serial Killer,1986,variant,3avziywvIkPZR7sGerncZNRXKcm,posters_multi/10692/3avziywvIkPZR7sGerncZNRXKcm.jpg,Book:1.00|Publication:1.00|Advertisement:1.00|Poster:1.00|Adult:0.99|Male:0.99|Man:0.99|Person:0.99|Novel:0.81|Face:0.72,Book,0.9999,0.0,0.0,0.9862,0.0,0.0,0.0,4,50.61,78.13,87.18,#800000:42.8|#000000:20.7|#b22222:13.2|#daa520:7.4|#d2691e:7.1,0.525,
10692,Henry: Portrait of a Serial Killer,1986,variant,diVMzTarVLgjc3jyODyhZMadfwD,posters_multi/10692/diVMzTarVLgjc3jyODyhZMadfwD.jpg,Publication:1.00|Book:1.00|Adult:0.97|Male:0.97|Man:0.97|Person:0.97|Advertisement:0.96|Poster:0.96|Novel:0.57|Magazine:0.55,Publication,0.9996,0.0,0.0,0.9714,0.0,0.0,0.5238,4,10.33,75.53,88.64,#000000:59.9|#b22222:14.0|#c0c0c0:9.8|#808080:5.7|#2f4f4f:5.3,1.439,
10702,Ascension,2002,variant,bcI0rj63Qcx6kuwlZThNhAjnyLE,posters_multi/10702/bcI0rj63Qcx6kuwlZThNhAjnyLE.jpg,Lighting:1.00|House:1.00|Housing:1.00|Staircase:1.00|City:1.00|Street:1.00|Urban:1.00|Corridor:1.00|Indoors:1.00|Tunnel:0.99,Lighting,0.9997,0.0,0.0,0.9856,0.0,0.0,0.0,4,41.95,76.56,84.56,#000000:50.9|#2f4f4f:20.2|#556b2f:9.7|#008080:8.0|#808080:6.1,0.772,
10702,Ascension,2002,variant,bfHZNWnWgL0O7fdBmAyHpsogEUp,posters_multi/10702/bfHZNWnWgL0O7fdBmAyHpsogEUp.jpg,Advertisement:1.00|Poster:1.00|Adult:0.99|Female:0.99|Person:0.99|Woman:0.99|Scoreboard:0.84|Book:0.58|Publication:0.58|City:0.58,Advertisement,1.0,0.0,0.5187,0.9873,0.0,0.0,0.0,5,16.13,80.87,79.48,#000000:71.6|#2f4f4f:12.2|#696969:7.4|#556b2f:4.7|#808080:2.6,0.794,
10725,Wolfen,1981,variant,hb4TJBeElGyIa7tmF2466iwwItB,posters_multi/10725/hb4TJBeElGyIa7tmF2466iwwItB.jpg,Electronics:0.93|Hardware:0.93|Person:0.90|Smoke Pipe:0.82|Mouth:0.81|Teeth:0.81|Head:0.65|Animal:0.58|Logo:0.58|Mammal:0.56,Electronics,0.932,0.0,0.5791,0.9035,0.0,0.0,0.0,2,0.0,83.76,89.4,#000000:80.9|#dcdcdc:6.7|#696969:3.6|#778899:3.6|#2f4f4f:3.5,0.456,
10725,Wolfen,1981,variant,moUFIySnC5zhKoVeEcR4liyvstm,posters_multi/10725/moUFIySnC5zhKoVeEcR4liyvstm.jpg,Logo:0.89|Nature:0.88|Night:0.88|Outdoors:0.88|Astronomy:0.79|Moon:0.79|Book:0.74|Lighting:0.70|Electronics:0.58|Advertisement:0.57,Logo,0.8935,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,77.94,80.4,#000000:87.6|#800000:3.7|#87ceeb:3.7|#2f4f4f:3.5|#c0c0c0:1.5,0.722,
10726,American Psycho II: All American Girl,2002,variant,mUkuaPoC21Dtemnx583THBEdHG0,posters_multi/10726/mUkuaPoC21Dtemnx583THBEdHG0.jpg,Book:1.00|Publication:1.00|Adult:0.99|Female:0.99|Person:0.99|Woman:0.99|Weapon:0.70|Blade:0.62|Dagger:0.62|Advertisement:0.61,Book,0.9998,0.7037,0.0,0.9949,0.0,0.0,0.0,5,6.56,80.87,89.8,#000000:63.0|#ffb6c1:10.9|#800000:10.1|#2f4f4f:7.4|#a0522d:4.4,0.712,
10726,American Psycho II: All American Girl,2002,variant,mYBvrIV78mckZGdT5gpHtXOKVc2,posters_multi/10726/mYBvrIV78mckZGdT5gpHtXOKVc2.jpg,Book:1.00|Publication:1.00|Adult:0.99|Female:0.99|Person:0.99|Woman:0.99|Advertisement:0.87|Novel:0.85|Poster:0.84|Blade:0.68,Book,1.0,0.6836,0.0,0.993,0.0,0.0,0.0,5,1.31,83.76,90.37,#000000:66.9|#800000:14.4|#ffb6c1:9.2|#e9967a:4.9|#a0522d:4.6,0.528,
10766,Damien: Omen II,1978,variant,nZBPvfAgy0GBTEw9YxAuWhoPj96,posters_multi/10766/nZBPvfAgy0GBTEw9YxAuWhoPj96.jpg,Book:1.00|Publication:1.00|Adult:1.00|Male:1.00|Man:1.00|Person:1.00|Face:0.99|Head:0.99|Photography:0.99|Portrait:0.99,Book,1.0,0.0,0.0,0.996,0.0,0.0,0.5343,4,7.84,77.24,100.0,#000000:54.4|#ffffff:36.2|#a9a9a9:5.4|#2f4f4f:2.5|#800000:1.3,0.459,
10766,Damien: Omen II,1978,variant,ocsi8SlODWkVX6O4E8Ncfgnretw,posters_multi/10766/ocsi8SlODWkVX6O4E8Ncfgnretw.jpg,Book:1.00|Publication:1.00|Advertisement:1.00|Poster:1.00|Adult:0.96|Bride:0.96|Female:0.96|Person:0.96|Woman:0.96|Male:0.95,Book,1.0,0.0,0.5034,0.9647,0.0,0.0,0.0,13,18.53,84.22,96.97,#000000:57.0|#dcdcdc:18.1|#2f4f4f:9.9|#808080:7.7|#800000:3.8,0.37,
10768,Omen III: The Final Conflict,1981,variant,1n1PeGni0hOo2Jz81fWXKbrxA9Q,posters_multi/10768/1n1PeGni0hOo2Jz81fWXKbrxA9Q.jpg,Face:1.00|Head:1.00|Person:1.00|Photography:1.00|Portrait:1.00|Formal Wear:1.00|Accessories:1.00|Tie:1.00|Suit:1.00|Adult:0.97,Face,1.0,0.0,0.0,1.0,0.0,0.0,0.0,7,0.0,52.76,83.16,#000000:85.9|#a9a9a9:3.8|#e9967a:2.9|#a0522d:2.9|#dcdcdc:1.9,0.504,
10768,Omen III: The Final Conflict,1981,variant,9Mq8a8yIoSgOkSRcXaRiR8Mupzo,posters_multi/10768/9Mq8a8yIoSgOkSRcXaRiR8Mupzo.jpg,Book:1.00|Publication:1.00|Sword:1.00|Weapon:1.00|Adult:0.97|Female:0.97|Person:0.97|Woman:0.97|Formal Wear:0.94|Tie:0.94,Book,1.0,0.997,0.0,0.9745,0.0,0.0,0.0,7,0.66,76.72,80.17,#000000:90.0|#d8bfd8:2.6|#bc8f8f:2.4|#800000:2.2|#2f4f4f:1.7,0.459,
10768,Omen III: The Final Conflict,1981,variant,crGp23RpdSk1sRyo9I8aVRMg9tk,posters_multi/10768/crGp23RpdSk1sRyo9I8aVRMg9tk.jpg,Art:0.99|Accessories:0.99|Bird:0.98|Ornament:0.97|Dog:0.84|Adult:0.83|Female:0.83|Person:0.83|Woman:0.83|Sculpture:0.78,Art,0.995,0.0,0.9768,0.8331,0.0,0.0,0.0,7,53.92,53.33,75.83,#000000:42.3|#b22222:25.5|#ff0000:14.0|#8b4513:9.8|#696969:5.0,0.925,
10768,Omen III: The Final Conflict,1981,variant,e4eOyQAKBS6ZpJWCcNldZuoSv9t,posters_multi/10768/e4eOyQAKBS6ZpJWCcNldZuoSv9t.jpg,Book:1.00|Publication:1.00|Adult:0.97|Male:0.97|Man:0.97|Person:0.97|Novel:0.94|Advertisement:0.88|Poster:0.88|Face:0.66,Book,1.0,0.0,0.0,0.9739,0.0,0.0,0.5107,4,57.48,78.03,100.0,#000000:51.6|#ffffff:33.3|#dcdcdc:8.9|#2f4f4f:6.0|#cd5c5c:0.3,0.345,
10768,Omen III: The Final Conflict,1981,variant,jDW2C77QNMQe6Lp2jeqAQXe2uaX,posters_multi/10768/jDW2C77QNMQe6Lp2jeqAQXe2uaX.jpg,Book:1.00|Publication:1.00|Face:0.99|Person:0.99|Photography:0.99|Portrait:0.99|Advertisement:0.99|Poster:0.99|Adult:0.99|Male:0.99,Book,0.9981,0.5301,0.0,0.9942,0.0,0.0,0.0,5,4.18,89.41,93.83,#000000:60.4|#c0c0c0:17.4|#2f4f4f:8.9|#bc8f8f:8.3|#f4a460:4.9,0.76,
10768,Omen III: The Final Conflict,1981,variant,tqOcnlryzomia1CPQu3VjLJwy6s,posters_multi/10768/tqOcnlryzomia1CPQu3VjLJwy6s.jpg,Accessories:0.99|Ornament:0.98|Art:0.97|Book:0.96|Publication:0.96|Bird:0.92|Dog:0.87|Fire Hydrant:0.83|Person:0.82|Sculpture:0.75,Accessories,0.9915,0.0,0.9188,0.8156,0.0,0.0,0.5118,4,50.32,76.1,76.16,#000000:47.2|#b22222:23.6|#ff0000:11.4|#8b4513:10.4|#696969:4.9,0.751,
10779,The Frighteners,1996,variant,y35gx5ElAWa9Jhq6O0QrmbiS3lz,posters_multi/10779/y35gx5ElAWa9Jhq6O0QrmbiS3lz.jpg,Jar:0.92|Pottery:0.75|Face:0.66|Head:0.66|Text:0.62|Mouth:0.62|Teeth:0.62|Accessories:0.61|Logo:0.57|Outdoors:0.56,Jar,0.921,0.0,0.0,0.6616,0.0,0.0,0.0,0,100.0,23.1,75.18,#ffffff:66.9|#dcdcdc:14.9|#c0c0c0:8.6|#a9a9a9:8.1|#2f4f4f:1.5,0.359,
10779,The Frighteners,1996,variant,zcJbCMwFLJdn5OLjhYwMVaSB32R,posters_multi/10779/zcJbCMwFLJdn5OLjhYwMVaSB32R.jpg,Book:1.00|Publication:1.00|Text:0.75|White Board:0.74|Outdoors:0.68|Nature:0.57|Snow:0.57|Novel:0.57|Page:0.57|Advertisement:0.56,Book,0.9993,0.0,0.0,0.0,0.0,0.0,0.0,1,92.77,44.03,76.12,#dcdcdc:49.1|#c0c0c0:40.6|#a9a9a9:4.5|#2f4f4f:3.1|#808080:1.6,0.785,
10781,The Texas Chainsaw Massacre: The Beginning,2006,variant,hTBueN0Ru3R7brwtONenDyEMNYe,posters_multi/10781/hTBueN0Ru3R7brwtONenDyEMNYe.jpg,Book:1.00|Publication:1.00|Adult:0.99|Male:0.99|Man:0.99|Person:0.99|Shoe:0.99|Novel:0.99|Handbag:0.95|Silhouette:0.95,Book,1.0,0.7946,0.0,0.9925,0.0,0.0,0.9508,10,8.08,77.72,79.99,#000000:78.2|#2f4f4f:8.4|#696969:5.3|#d2b48c:3.7|#cd853f:2.0,0.561,
10781,The Texas Chainsaw Massacre: The Beginning,2006,variant,opp8YKQB2rEcLZPBBG39H2r8MUS,posters_multi/10781/opp8YKQB2rEcLZPBBG39H2r8MUS.jpg,Book:1.00|Publication:1.00|Adult:0.98|Female:0.98|Person:0.98|Woman:0.98|Novel:0.88|Silhouette:0.57|Weapon:0.54|Advertisement:0.54,Book,1.0,0.5371,0.0,0.9753,0.0,0.0,0.5655,4,53.97,83.52,86.25,#000000:33.3|#bdb76b:17.5|#556b2f:16.2|#696969:11.9|#800000:11.7,0.559,
10824,Candyman: Farewell to the Flesh,1995,variant,2rQ6q7PjHrMQALXpPl7ExhQIvb4,posters_multi/10824/2rQ6q7PjHrMQALXpPl7ExhQIvb4.jpg,Advertisement:1.00|Publication:0.99|Face:0.99|Head:0.99|Person:0.99|Portrait:0.99|Poster:0.98|Book:0.98|Adult:0.65|Male:0.65,Advertisement,0.9959,0.0,0.5423,0.987,0.0,0.0,0.0,5,22.33,60.56,62.0,#000000:75.1|#2f4f4f:20.4|#808080:3.7|#c0c0c0:0.8,0.693,
10824,Candyman: Farewell to the Flesh,1995,variant,2scgM9dFaHEppWb3tS99gCAh8KX,posters_multi/10824/2scgM9dFaHEppWb3tS99gCAh8KX.jpg,Book:1.00|Publication:1.00|Face:0.99|Head:0.99|Person:0.99|Portrait:0.99|Adult:0.98|Female:0.98|Woman:0.98|Novel:0.97,Book,1.0,0.0,0.5684,0.9868,0.0,0.0,0.0,9,8.69,78.16,78.48,#000000:80.6|#800000:7.7|#a0522d:3.5|#cd853f:2.6|#696969:2.1,0.614,
10829,Tremors 3: Back to Perfection,2001,variant,2dpgRy7ekDUNNk2FxYPkxBcG8li,posters_multi/10829/2dpgRy7ekDUNNk2FxYPkxBcG8li.jpg,Glove:1.00|Adult:0.98|Male:0.98|Man:0.98|Person:0.98|Gun:0.96|Weapon:0.96|Female:0.93|Woman:0.93|Book:0.93,Glove,0.9989,0.9572,0.0,0.9759,0.0,0.0,0.0,18,56.13,84.6,90.65,#000000:28.9|#2f4f4f:27.4|#bdb76b:17.1|#a0522d:8.6|#bc8f8f:4.2,0.943,
10829,Tremors 3: Back to Perfection,2001,variant,mnMryfLgC2fuW3nfY36QfWx0hBL,posters_multi/10829/mnMryfLgC2fuW3nfY36QfWx0hBL.jpg,Book:0.98|Publication:0.98|Gun:0.96|Adult:0.94|Male:0.94|Man:0.94|Person:0.94|Guitar:0.92|Musical Instrument:0.92|Advertisement:0.89,Book,0.9764,0.9631,0.0,0.9354,0.0,0.0,0.0,10,57.41,86.92,94.42,#000000:29.1|#f0e68c:20.0|#2f4f4f:16.6|#800000:12.6|#b22222:6.5,1.136,
10836,Dagon,2001,variant,8S648eMKObi8ERFS7cSYDocxSaZ,posters_multi/10836/8S648eMKObi8ERFS7cSYDocxSaZ.jpg,Advertisement:0.98|Poster:0.98|Book:0.95|Publication:0.95|Adult:0.93|Male:0.93|Man:0.93|Person:0.93|Shoe:0.63|Mouth:0.60,Advertisement,0.9843,0.0,0.5619,0.9348,0.0,0.0,0.0,5,9.95,86.61,90.76,#000000:56.2|#191970:20.4|#f0e68c:7.1|#b0c4de:5.7|#696969:4.4,0.713,
10836,Dagon,2001,variant,nstavzVn4XWkHjAGjBs2BsCZXZp,posters_multi/10836/nstavzVn4XWkHjAGjBs2BsCZXZp.jpg,Book:1.00|Publication:1.00|Novel:0.94|Adult:0.87|Male:0.87|Man:0.87|Person:0.87|Bird:0.83|Gun:0.78|Comics:0.73,Book,1.0,0.7809,0.8346,0.8703,0.0,0.0,0.0,15,51.97,81.64,81.29,#2f4f4f:43.8|#000000:23.0|#808080:11.7|#696969:10.8|#a9a9a9:7.8,0.488,
10838,Dracula 3000,2004,variant,ucrvSJIoxw1D2SZ2p6J9EIHzFPg,posters_multi/10838/ucrvSJIoxw1D2SZ2p6J9EIHzFPg.jpg,Book:0.99|Publication:0.99|Adult:0.99|Male:0.99|Man:0.99|Person:0.99|Advertisement:0.97|Poster:0.94|Face:0.84|Head:0.84,Book,0.9888,0.5399,0.0,0.9868,0.0,0.0,0.0,4,6.56,81.57,85.64,#000000:68.9|#2f4f4f:12.6|#bc8f8f:10.1|#c0c0c0:4.3|#800000:2.4,0.837,
10838,Dracula 3000,2004,variant,vHClROtgcoHWiUUEmynGtlU15v6,posters_multi/10838/vHClROtgcoHWiUUEmynGtlU15v6.jpg,Alien:1.00|Book:0.99|Publication:0.99|Adult:0.97|Male:0.97|Man:0.97|Person:0.97|Head:0.83|Face:0.68|Advertisement:0.58,Alien,0.9955,0.0,0.5498,0.9701,0.0,0.0,0.0,4,47.3,79.13,83.16,#2f4f4f:42.4|#000000:34.8|#808080:12.6|#a9a9a9:6.1|#dcdcdc:1.5,0.45,
10845,2001 Maniacs,2005,variant,bVGq9FOV1uoBzfO0ntou3fE7tvR,posters_multi/10845/bVGq9FOV1uoBzfO0ntou3fE7tvR.jpg,Book:1.00|Publication:1.00|Novel:0.99|Adult:0.98|Male:0.98|Man:0.98|Person:0.98|Bride:0.90|Female:0.90|Woman:0.90,Book,1.0,0.0,0.0,0.9777,0.0,0.0,0.0,34,71.18,87.33,84.9,#a0522d:32.6|#000000:19.7|#c0c0c0:11.3|#808080:9.7|#d2b48c:6.3,0.992,
10845,2001 Maniacs,2005,variant,y2jZOd7C5zWEcFKJWlYkmf5eUlE,posters_multi/10845/y2jZOd7C5zWEcFKJWlYkmf5eUlE.jpg,Adult:0.99|Bride:0.99|Female:0.99|Person:0.99|Woman:0.99|Dress:0.98|Book:0.95|Publication:0.95|Advertisement:0.91|Tie:0.82,Adult,0.9931,0.0,0.0,0.9931,0.0,0.0,0.0,13,85.82,87.02,82.47,#c0c0c0:52.0|#cd853f:11.9|#d2b48c:8.9|#a0522d:6.6|#800000:5.6,0.679,
10873,Shadow of the Vampire,2000,variant,nWm7DWi8X4D87XkM5qr9BhTJHq6,posters_multi/10873/nWm7DWi8X4D87XkM5qr9BhTJHq6.jpg,Face:1.00|Head:1.00|Person:1.00|Photography:1.00|Portrait:1.00|Advertisement:1.00|Poster:1.00|Adult:0.99|Male:0.99|Man:0.99,Face,0.9995,0.0,0.0,0.9995,0.0,0.0,0.0,8,42.13,78.09,85.18,#000000:48.7|#d2691e:15.4|#800000:13.9|#f4a460:12.0|#8b4513:7.9,0.595,
10873,Shadow of the Vampire,2000,variant,ooe8qfwSvmFdlf6FtSFaqErdM8g,posters_multi/10873/ooe8qfwSvmFdlf6FtSFaqErdM8g.jpg,Art:0.98|Painting:0.98|Adult:0.96|Female:0.96|Person:0.96|Woman:0.96|Photography:0.94|Portrait:0.94|Advertisement:0.83|Poster:0.83,Art,0.98,0.0,0.0,0.9598,0.0,0.0,0.5525,4,2.38,77.81,76.84,#000000:67.7|#800000:20.1|#a0522d:10.4|#c0c0c0:1.1|#696969:0.7,0.586,
10885,Shutter,2008,variant,3p8I113JbDxk1sMRUPPOmYusGgn,posters_multi/10885/3p8I113JbDxk1sMRUPPOmYusGgn.jpg,Art:1.00|Painting:1.00|Person:0.97|Fireplace:0.75|Indoors:0.75|Face:0.63|Crypt:0.57|Book:0.57|Publication:0.57|Dungeon:0.56,Art,1.0,0.0,0.0,0.9731,0.0,0.0,0.0,10,17.82,47.27,82.42,#000000:69.7|#2f4f4f:10.0|#800000:7.4|#a9a9a9:5.7|#696969:5.0,0.676,
10885,Shutter,2008,variant,bft6OyITsxSZuTxu2oJipApLran,posters_multi/10885/bft6OyITsxSZuTxu2oJipApLran.jpg,Art:1.00|Painting:1.00|Book:0.99|Publication:0.99|Person:0.98|Adult:0.96|Bride:0.96|Female:0.96|Woman:0.96|Fireplace:0.81,Art,0.9998,0.0,0.0,0.9762,0.0,0.0,0.0,19,26.74,75.85,83.1,#000000:67.1|#800000:12.1|#696969:7.1|#a9a9a9:5.3|#2f4f4f:4.2,0.545,
10885,Shutter,2008,variant,lAI86YsbqSbhkLCPCbF0JejrwwM,posters_multi/10885/lAI86YsbqSbhkLCPCbF0JejrwwM.jpg,Book:1.00|Publication:1.00|Novel:1.00|Female:0.99|Girl:0.99|Person:0.99|Teen:0.99|Face:0.69|Photography:0.61|Portrait:0.55,Book,1.0,0.0,0.5136,0.9899,0.0,0.0,0.0,4,8.68,44.79,58.43,#000000:84.1|#800000:12.5|#bc8f8f:1.6|#2f4f4f:0.9|#c0c0c0:0.8,0.934,
10885,Shutter,2008,variant,t5AEelR6nS0ISwaSZCcUrF2GKZi,posters_multi/10885/t5AEelR6nS0ISwaSZCcUrF2GKZi.jpg,Art:1.00|Painting:1.00|Book:1.00|Publication:1.00|Adult:0.98|Male:0.98|Man:0.98|Person:0.98|Bride:0.93|Female:0.93,Art,0.9999,0.0,0.0,0.9793,0.0,0.0,0.0,34,32.12,75.02,91.0,#000000:60.0|#2f4f4f:11.0|#dcdcdc:10.4|#696969:6.9|#808080:4.7,0.658,
10885,Shutter,2008,variant,ygcNivlF6cpyctlhVcqKW2bktEm,posters_multi/10885/ygcNivlF6cpyctlhVcqKW2bktEm.jpg,Book:1.00|Publication:1.00|Art:1.00|Painting:1.00|Person:0.95|Adult:0.91|Bride:0.91|Female:0.91|Woman:0.91|Advertisement:0.68,Book,0.9997,0.0,0.0,0.9526,0.0,0.0,0.0,28,29.51,71.83,80.52,#000000:61.8|#800000:12.5|#2f4f4f:10.0|#696969:7.3|#a9a9a9:6.0,0.728,
10894,May,2003,variant,4aj8xe67rnmGfMIt5tmf67KI7yG,posters_multi/10894/4aj8xe67rnmGfMIt5tmf67KI7yG.jpg,Face:1.00|Head:1.00|Person:1.00|Photography:1.00|Portrait:1.00|Book:1.00|Publication:1.00|Adult:0.98|Female:0.98|Woman:0.98,Face,0.9995,0.0,0.0,0.9995,0.0,0.0,0.0,5,49.18,81.7,97.12,#000000:49.1|#dcdcdc:21.7|#a0522d:8.2|#daa520:7.6|#800000:6.5,0.468,
10894,May,2003,variant,oFXhJYTax1cnNtgvLdKlXuYiWPV,posters_multi/10894/oFXhJYTax1cnNtgvLdKlXuYiWPV.jpg,Advertisement:1.00|Poster:1.00|Book:1.00|Publication:1.00|Face:1.00|Head:1.00|Person:1.00|Photography:1.00|Portrait:1.00|Adult:0.99,Advertisement,0.9992,0.0,0.0,0.9955,0.0,0.0,0.0,6,20.01,81.71,98.2,#000000:56.4|#ffebcd:19.8|#cd853f:9.2|#a0522d:4.4|#ff8c00:3.9,0.455,
10906,Pet Sematary II,1992,variant,5xo2qTJkH5rgCNBpXiKmfMp8hzm,posters_multi/10906/5xo2qTJkH5rgCNBpXiKmfMp8hzm.jpg,Advertisement:1.00|Poster:1.00|Adult:0.98|Male:0.98|Man:0.98|Person:0.98|Book:0.97|Publication:0.97|Face:0.75|Disk:0.62,Advertisement,0.9997,0.5185,0.5537,0.9803,0.0,0.5157,0.5188,6,23.03,47.4,82.98,#000000:67.8|#daa520:8.4|#b22222:7.1|#800000:6.1|#8b4513:5.3,0.88,
10906,Pet Sematary II,1992,variant,9g6ngNlHOfMfQnaKkw9468p67d4,posters_multi/10906/9g6ngNlHOfMfQnaKkw9468p67d4.jpg,Book:1.00|Publication:1.00|Advertisement:0.99|Poster:0.98|Adult:0.98|Male:0.98|Man:0.98|Person:0.98|Photography:0.97|Portrait:0.97,Book,1.0,0.0,0.0,0.9751,0.0,0.0,0.5322,9,47.8,84.13,89.41,#000000:42.8|#800000:19.6|#8b4513:14.2|#cd853f:8.7|#ffebcd:7.6,0.959,
10906,Pet Sematary II,1992,variant,r2yeZ0ktKuUTrWaLj58kTbZNLxW,posters_multi/10906/r2yeZ0ktKuUTrWaLj58kTbZNLxW.jpg,Book:1.00|Publication:1.00|Advertisement:0.96|Poster:0.96|Cross:0.96|Outdoors:0.89|Nature:0.88|Person:0.86|Adult:0.79|Male:0.79,Book,0.9999,0.0,0.0,0.8638,0.0,0.5496,0.5674,7,1.77,78.88,86.6,#000000:79.7|#800000:5.5|#daa520:4.3|#dcdcdc:3.1|#ffd700:2.7,0.46,
10906,Pet Sematary II,1992,variant,s5UXXYDEb1prH4OIaYiou3prC2S,posters_multi/10906/s5UXXYDEb1prH4OIaYiou3prC2S.jpg,Book:1.00|Publication:1.00|Person:0.98|Face:0.97|Photography:0.97|Portrait:0.97|Adult:0.96|Male:0.96|Man:0.96|Advertisement:0.85,Book,1.0,0.0,0.0,0.9757,0.0,0.0,0.0,6,41.96,88.28,96.97,#000000:52.7|#ffdead:13.5|#d2691e:11.7|#f4a460:9.0|#800000:6.3,0.678,
10906,Pet Sematary II,1992,variant,zjuYd5MUfX2qkb2BltVA9JHkiNm,posters_multi/10906/zjuYd5MUfX2qkb2BltVA9JHkiNm.jpg,Book:1.00|Publication:1.00|Adult:0.98|Male:0.98|Man:0.98|Person:0.98|Face:0.97|Photography:0.97|Portrait:0.97|Advertisement:0.90,Book,0.9985,0.5673,0.0,0.9849,0.0,0.0,0.0,13,90.65,82.9,97.22,#2f4f4f:31.5|#ffffff:22.1|#dcdcdc:19.3|#000000:10.3|#c0c0c0:9.0,0.472,
10925,The Return of the Living Dead,1985,variant,oNsV9BychAe4Sk6xFKp558Rlpyz,posters_multi/10925/oNsV9BychAe4Sk6xFKp558Rlpyz.jpg,Advertisement:0.99|Poster:0.98|Person:0.96|Adult:0.93|Bride:0.93|Female:0.93|Woman:0.93|Necklace:0.88|Book:0.85|Publication:0.85,Advertisement,0.9918,0.0,0.5416,0.9628,0.0,0.0,0.0,29,24.74,87.72,94.81,#000000:59.9|#2f4f4f:12.4|#ffffff:10.5|#a9a9a9:8.1|#808080:4.5,0.549,
10925,The Return of the Living Dead,1985,variant,qVTFBabgnWz4jZ8wOQRYZI5EITF,posters_multi/10925/qVTFBabgnWz4jZ8wOQRYZI5EITF.jpg,Alien:0.98|Adult:0.92|Male:0.92|Man:0.92|Person:0.92|Art:0.85|Painting:0.85|Female:0.80|Woman:0.80|Monkey:0.79,Alien,0.9784,0.0,0.0,0.917,0.0,0.0,0.0,15,9.89,81.92,83.5,#000000:64.9|#cd853f:12.3|#2f4f4f:12.0|#a0522d:6.6|#483d8b:1.6,0.542,
10929,Willard,2003,variant,6FMNo5aBX7tAiNigmFGeopPBBqh,posters_multi/10929/6FMNo5aBX7tAiNigmFGeopPBBqh.jpg,Adult:0.97|Male:0.97|Man:0.97|Person:0.97|Book:0.89|Publication:0.89|Animal:0.84|Mammal:0.84|Photography:0.67|Head:0.58,Adult,0.9676,0.0,0.8409,0.9676,0.0,0.0,0.0,4,0.0,66.05,81.82,#000000:85.6|#cd853f:4.1|#800000:3.6|#ffebcd:3.6|#8b4513:2.2,0.602,
10929,Willard,2003,variant,hRVP8Ud9ehv7tp5WWQ4CHk2XNus,posters_multi/10929/hRVP8Ud9ehv7tp5WWQ4CHk2XNus.jpg,Photography:0.98|Face:0.98|Head:0.98|Person:0.98|Portrait:0.98|Finger:0.98|Hand:0.98|Adult:0.97|Male:0.97|Man:0.97,Photography,0.9843,0.0,0.7438,0.9824,0.0,0.0,0.0,4,0.0,41.96,80.33,#000000:87.4|#800000:3.5|#a0522d:3.2|#cd853f:2.9|#ffdead:2.9,0.607,
10943,The Gathering,2001,variant,vkzhBNcjpE5BhxaxzrY4U5nLMQ3,posters_multi/10943/vkzhBNcjpE5BhxaxzrY4U5nLMQ3.jpg,Book:1.00|Publication:1.00|Novel:1.00|Person:0.99|Photography:0.99|Portrait:0.99|Adult:0.97|Female:0.97|Woman:0.97|Outdoors:0.69,Book,1.0,0.0,0.0,0.9929,0.0,0.0,0.0,4,22.25,76.19,75.73,#000000:61.8|#800000:19.6|#8b4513:13.3|#a0522d:3.3|#d2b48c:1.6,0.562,
10943,The Gathering,2001,variant,zIlPzicLM5NQgUriVgPZrAofmsv,posters_multi/10943/zIlPzicLM5NQgUriVgPZrAofmsv.jpg,Book:1.00|Publication:1.00|Person:1.00|Photography:1.00|Portrait:1.00|Adult:1.00|Female:1.00|Woman:1.00|Novel:0.98|Advertisement:0.56,Book,1.0,0.5134,0.0,0.9989,0.0,0.0,0.0,4,25.18,80.76,79.19,#000000:60.4|#800000:23.1|#b22222:9.9|#e9967a:3.7|#a0522d:1.9,0.943,
