imdb_id,primaryTitle,originalTitle,startYear,titleType,runtimeMinutes,genres
tt43599552,Untitled Curry Barker Universal/Blumhouse-Atomic Monster Film,Untitled Curry Barker Universal/Blumhouse-Atomic Monster Film,,movie,,Horror
tt43599752,Dracula meets Sherlock Holmes,Dracula meets Sherlock Holmes,,movie,,"Horror,Mystery"
tt43601348,Herança Canibal,Herança Canibal,,movie,,Horror
tt43601656,1920: Cold Winter,1920: Cold Winter,,movie,,Horror
tt43601673,The Long Way Through,The Long Way Through,,movie,,"Action,Drama,Horror"
tt43602193,Untitled Curry Barker's third film,Untitled Curry Barker's third film,,movie,,Horror
tt43602222,Remote,Remote,,movie,,"Horror,Thriller"
tt43602394,Scar from the Bite Two,Scar from the Bite Two,,movie,,Horror
tt43602395,Shutterbug,Shutterbug,,movie,,"Horror,Mystery"
tt43602503,Fish,Fish,,movie,,Horror
tt43603495,Sheltered,Sheltered,,movie,,Horror
tt43603931,The Swamp,The Swamp,,movie,,Horror
tt4360472,Summer Lasts All Season Long,Summer Lasts All Season Long,,movie,,"Comedy,Horror"
tt43606586,Visitor,Visitor,,movie,,Horror
tt43607499,Echoes at the Lake,Echoes at the Lake,,movie,,"Drama,Horror"
tt43608060,Lights On,Lights On,,movie,,"Horror,Thriller"
tt43608308,Coma,Coma,,movie,,"Comedy,Drama,Horror"
tt43608981,Napoleonic,Napoleonic,,movie,,Horror
tt43609911,Sadie Snaps,Sadie Snaps,,movie,,Horror
tt4361080,The Cabinet,The Cabinet,,movie,,Horror
tt43610834,Bloodsucking Bitches from Battle Creek,Bloodsucking Bitches from Battle Creek,,movie,,Horror
tt43611512,Seasons,Seasons,,movie,,"Horror,Thriller"
tt43611648,El Sello,El Sello,,movie,,"Action,Crime,Horror"
tt43611836,Venari,Venari,,movie,,Horror
tt43611870,Stow Wolf,Stow Wolf,,movie,,Horror
tt43611943,Survive: The Game,Survive: The Game,,movie,,Horror
tt43612488,The Casebook of Dr Greaves,The Casebook of Dr Greaves,,movie,,Horror
tt43612968,Summoner,Summoner,,movie,,Horror
tt43613256,Untitled Krishand/Prithviraj Sukumaran,Untitled Krishand/Prithviraj Sukumaran,,movie,,"Comedy,Horror"
