id,title,ocr_chars,overlap_max,ocr_lang,original_language
704245,,566,0.0,en,
1681289,BREATHE,251,0.0,es,
1056581,,276,0.0,et,
383148,,316,0.0,fi,
809379,Krishnankutty Pani Thudangi,552,0.0,en,ml
1028296,,508,0.0,en,
344760,,306,0.0,en,
462504,htr2b: Transformation,570,0.0,en,en
1721296,MALWARE,560,0.0,en,
746689,Siren,265,0.0,id,en
1524107,,612,0.0,en,
944997,Cursed,607,0.0,en,en
1716589,Grilled Cheese,283,0.0,no,
1497730,Haint,288,0.0,en,en
277500,,539,0.0,en,
877260,Contorted,292,0.0,en,ko
1061519,,593,0.0,en,
1474233,DIY,639,0.0,en,en
766785,Wake Up,257,0.0,pt,pt
1255337,,545,0.0,en,
1257866,,268,0.0,id,
761848,Imposter,242,0.0,nl,en
486773,,568,0.0,en,
1645485,Spiral,296,0.0,en,
403214,Milwood,558,0.0,en,en
623814,Toilet,335,0.0,en,th
249418,Yambaó,220,0.0,es,es
933726,Weredeer,320,0.0,et,
1226092,,521,0.0,en,
1724170,D3STRO,386,0.0,nl,
188633,Sembunyi: Amukan Azazil,392,0.0,ms,ms
315256,Terror,259,0.0,en,hi
648171,Stomach,615,0.0,en,it
742312,The Pasturage,240,0.0,pt,en
1513650,,407,0.0,en,
1159500,,245,0.0,en,
693567,The Trail of Death 2: Redemption,251,0.0,cv,ru
923404,Captum,435,0.0,lt,en
1658267,Pinwydd,312,0.0,en,en
1124777,Grasshopper!,298,0.0,en,
412998,Mo,538,0.0,en,ta
854526,Khiabane Bisto Chaharom,381,0.0,ar,fa
492509,Chimera,510,0.0,id,en
825594,Level 05,510,0.0,en,en
441063,Puen Tee Raluek,522,0.0,id,th
702743,Fome,309,0.0,es,pt
221245,Tremendous Sunset,606,0.0,en,es
773789,"I, Adonis",580,0.0,en,nl
543785,Shehita,378,0.0,en,yi
1736330,,645,0.0,id,
1356356,Cluster,409,0.0,tl,
497891,Arumi,458,0.0,id,id
29771,Goblin,465,0.0,no,en
1393798,,641,0.0,et,
1332850,Pizza Guy 8,658,0.0,et,en
654718,,584,0.0,en,
43729,Reflections,315,0.0,de,en
182307,Plastic Tree,263,0.0,nl,ko
883057,诡影迷情,274,0.0,en,zh
654636,Psikopat,680,0.0,id,id
1005501,8,241,0.0,en,es
1575007,,450,0.0,en,
574492,Evil,233,0.0,en,en
647055,NOM,542,0.0,en,es
566896,Destino das Sombras,579,0.0,et,en
882405,Génesis,331,0.0,es,es
336357,Domo,608,0.0,es,es
1474708,Ghosted,332,0.0,et,en
356891,37,539,0.0,en,en
489584,Bestia,362,0.0,en,es
1328529,Ortolan,714,0.0,en,en
306634,Insane,657,0.0,en,en
47431,To Make a Killing,592,0.0,ro,en
1060604,,528,0.0,et,
1296350,Jokhini,585,0.0,en,en
495569,Solit4ire,629,0.0,en,id
1315114,,381,0.0,en,
850918,Aquí espantan,573,0.0,es,es
869089,Adiala,535,0.0,en,ar
115445,Goatsucker,285,0.0,en,en
244453,Penanggal,375,0.0,ms,en
513247,Атака советских зомби,320,0.0,gd,ru
296932,บ้านขังวิญญาณ,515,0.0,fi,th
785130,Gassal,467,0.0,tr,tr
950307,FOMO,606,0.0,en,nl
516023,Hi-Death,637,0.0,en,en
1480494,,416,0.0,en,
29409,22 Weeks,575,0.0,en,en
1124696,,603,0.0,en,
776236,Phobic,295,0.0,en,en
271744,Goregasm,675,0.0,en,en
848927,A Sickness,222,0.0,en,en
414145,Lo siniestro,604,0.0,es,es
1400879,,396,0.0,nl,
1668962,,289,0.0,en,
1277170,Lady Parts,252,0.0,en,en
138860,Sword of Blood,293,0.0,en,ja
905004,Final Exam,242,0.0,es,es
121572,Toad Road,598,0.0,en,en
988208,Jayamahal,244,0.0,en,kn
1288932,Lockdown,263,0.0,en,en
927041,Grandmafia,280,0.0,id,en
477266,Kapıdaki Sır,524,0.0,id,tr
1173070,,455,0.0,et,
1629915,,427,0.0,et,
550210,A Haunting,259,0.0,cy,en
463478,5 A.M. Cinco ante los miedos,459,0.0,es,es
812074,Jenglot Redemption,514,0.0,en,id
1315515,Shoes,704,0.0,en,en
1380868,Her,653,0.0,en,en
1640113,,343,0.0,en,
147807,Kirksdale,509,0.0,et,en
645753,,423,0.0,en,
1461275,,298,0.0,en,
1117389,Octophobia,290,0.0,id,
1542706,,274,0.0,en,
1253664,Compliance,533,0.0,es,
1446261,Obscura,289,0.0,nl,en
1213114,Dream Creep,381,0.0,nl,en
1068423,,319,0.0,et,
615926,Behind Me,594,0.0,en,id
402579,A Little Change,681,0.0,de,de
950680,,594,0.0,en,
1413003,,553,0.0,en,
550208,Gharasarapa,271,0.0,en,si
1417478,,487,0.0,en,
730407,Bohemian Moon,343,0.0,en,
1225418,Polybius,542,0.0,en,en
801102,Zombitopia,509,0.0,ms,ms
1297599,,501,0.0,en,
990471,Buy 1 Get 1 Free,414,0.0,en,kn
133980,Dog Lay Afternoon,344,0.0,it,it
1298081,Chimera,324,0.0,en,en
994734,,306,0.0,en,
