id,title,year,status,latency_s,title_text,credits_text,other_text,languages,mood,fear_labels,weapon,monster,person,animal,blood_gore,violence,sexual_content,sensitive,moderation_notes,description,model_id,input_tokens,output_tokens,error
56814,,,error: ModelErrorException: An error occurred (ModelErrorException) when calling,1.092,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ModelErrorException: An error occurred (ModelErrorException) when calling the Converse operation: The system encountered an unexpected error during processing. Try your request again.
56832,,,error: ModelErrorException: An error occurred (ModelErrorException) when calling,1.309,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ModelErrorException: An error occurred (ModelErrorException) when calling the Converse operation: The system encountered an unexpected error during processing. Try your request again.
57224,,,error: ModelErrorException: An error occurred (ModelErrorException) when calling,0.101,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ModelErrorException: An error occurred (ModelErrorException) when calling the Converse operation: The system encountered an unexpected error during processing. Try your request again.
57238,,,error: ModelErrorException: An error occurred (ModelErrorException) when calling,0.897,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ModelErrorException: An error occurred (ModelErrorException) when calling the Converse operation: The system encountered an unexpected error during processing. Try your request again.
57326,,,error: ModelErrorException: An error occurred (ModelErrorException) when calling,1.06,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ModelErrorException: An error occurred (ModelErrorException) when calling the Converse operation: The system encountered an unexpected error during processing. Try your request again.
57632,,,error: ModelErrorException: An error occurred (ModelErrorException) when calling,1.571,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ModelErrorException: An error occurred (ModelErrorException) when calling the Converse operation: The system encountered an unexpected error during processing. Try your request again.
58405,,,error: ModelErrorException: An error occurred (ModelErrorException) when calling,0.36,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ModelErrorException: An error occurred (ModelErrorException) when calling the Converse operation: The system encountered an unexpected error during processing. Try your request again.
58520,,,error: ModelErrorException: An error occurred (ModelErrorException) when calling,1.59,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ModelErrorException: An error occurred (ModelErrorException) when calling the Converse operation: The system encountered an unexpected error during processing. Try your request again.
58970,,,error: ModelErrorException: An error occurred (ModelErrorException) when calling,0.497,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ModelErrorException: An error occurred (ModelErrorException) when calling the Converse operation: The system encountered an unexpected error during processing. Try your request again.
59008,,,error: ModelErrorException: An error occurred (ModelErrorException) when calling,0.913,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ModelErrorException: An error occurred (ModelErrorException) when calling the Converse operation: The system encountered an unexpected error during processing. Try your request again.
59802,,,error: ModelErrorException: An error occurred (ModelErrorException) when calling,0.693,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ModelErrorException: An error occurred (ModelErrorException) when calling the Converse operation: The system encountered an unexpected error during processing. Try your request again.
60065,,,error: ModelErrorException: An error occurred (ModelErrorException) when calling,1.188,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ModelErrorException: An error occurred (ModelErrorException) when calling the Converse operation: The system encountered an unexpected error during processing. Try your request again.
60159,,,error: ModelErrorException: An error occurred (ModelErrorException) when calling,1.028,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ModelErrorException: An error occurred (ModelErrorException) when calling the Converse operation: The system encountered an unexpected error during processing. Try your request again.
205686,,,error: ModelErrorException: An error occurred (ModelErrorException) when calling,0.083,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ModelErrorException: An error occurred (ModelErrorException) when calling the Converse operation: The system encountered an unexpected error during processing. Try your request again.
208621,,,error: ModelErrorException: An error occurred (ModelErrorException) when calling,0.737,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ModelErrorException: An error occurred (ModelErrorException) when calling the Converse operation: The system encountered an unexpected error during processing. Try your request again.
208693,,,error: ModelErrorException: An error occurred (ModelErrorException) when calling,0.627,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,us.amazon.nova-2-lite-v1:0,,,ModelErrorException: An error occurred (ModelErrorException) when calling the Converse operation: The system encountered an unexpected error during processing. Try your request again.
