id,title,year,prior_qwen_overlap,prior_qwen_overlap_stored,old_title
10283,Friday the 13th Part VIII: Jason Takes Manhattan,1989,0.625,0.75,Friday the 13th Part VIII: Jason Takes Manhattan
26921,The Mystery of the Mary Celeste,1935,0.2,0.2,The Mystery of the Mary Celeste
28265,Lovesick: Sick Love,2004,0.3333,0.3333,Lovesick: Sick Love
233194,8 Butterflies,2010,0.0,0.0,8 Butterflies
286452,Varsity Blood,2014,0.0,0.5,Varsity Blood
653537,Whispers,2019,0.0,0.0,Whispers
1405670,xOxExFx,2024,0.0,0.0,xOxExFx
1483743,"up here, disappear",2025,0.6667,0.6667,"up here, disappear"
1578643,Cymophane,2024,0.0,0.0,Cymophane
